ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0Angle@common@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::common::Angle::Angle(class osgeo::proj::common::Angle const &),method,osgeo::proj::common,Angle,Angle,class osgeo::proj::common::Angle const &,False,False,False,False,False,False,True
2,1,0x1,??0Angle@common@proj@osgeo@@QEAA@N@Z,public: __cdecl osgeo::proj::common::Angle::Angle(double),method,osgeo::proj::common,Angle,Angle,double,False,False,False,False,False,False,True
3,2,0x2,??0Angle@common@proj@osgeo@@QEAA@NAEBVUnitOfMeasure@123@@Z,"public: __cdecl osgeo::proj::common::Angle::Angle(double, class osgeo::proj::common::UnitOfMeasure const &)",method,osgeo::proj::common,Angle,Angle,"double, class osgeo::proj::common::UnitOfMeasure const &",False,False,False,False,False,False,True
4,3,0x3,??0BoxedValue@util@proj@osgeo@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"public: __cdecl osgeo::proj::util::BoxedValue::BoxedValue(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &)",method,osgeo::proj::util,BoxedValue,BoxedValue,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &",False,False,False,False,False,False,True
5,4,0x4,??0BoxedValue@util@proj@osgeo@@QEAA@H@Z,public: __cdecl osgeo::proj::util::BoxedValue::BoxedValue(int),method,osgeo::proj::util,BoxedValue,BoxedValue,int,False,False,False,False,False,False,True
6,5,0x5,??0BoxedValue@util@proj@osgeo@@QEAA@PEBD@Z,public: __cdecl osgeo::proj::util::BoxedValue::BoxedValue(char const *),method,osgeo::proj::util,BoxedValue,BoxedValue,char const *,False,False,False,False,False,False,True
7,6,0x6,??0BoxedValue@util@proj@osgeo@@QEAA@_N@Z,public: __cdecl osgeo::proj::util::BoxedValue::BoxedValue(bool),method,osgeo::proj::util,BoxedValue,BoxedValue,bool,False,False,False,False,False,False,True
8,7,0x7,??0Citation@metadata@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::metadata::Citation::Citation(class osgeo::proj::metadata::Citation const &),method,osgeo::proj::metadata,Citation,Citation,class osgeo::proj::metadata::Citation const &,False,False,False,False,False,False,True
9,8,0x8,??0Citation@metadata@proj@osgeo@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"public: __cdecl osgeo::proj::metadata::Citation::Citation(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &)",method,osgeo::proj::metadata,Citation,Citation,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &",False,False,False,False,False,False,True
10,9,0x9,??0Citation@metadata@proj@osgeo@@QEAA@XZ,public: __cdecl osgeo::proj::metadata::Citation::Citation(void),method,osgeo::proj::metadata,Citation,Citation,void,False,False,False,False,False,False,True
11,10,0xA,??0DataEpoch@common@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::common::DataEpoch::DataEpoch(class osgeo::proj::common::DataEpoch const &),method,osgeo::proj::common,DataEpoch,DataEpoch,class osgeo::proj::common::DataEpoch const &,False,False,False,False,False,False,True
12,11,0xB,??0DataEpoch@common@proj@osgeo@@QEAA@AEBVMeasure@123@@Z,public: __cdecl osgeo::proj::common::DataEpoch::DataEpoch(class osgeo::proj::common::Measure const &),method,osgeo::proj::common,DataEpoch,DataEpoch,class osgeo::proj::common::Measure const &,False,False,False,False,False,False,True
13,12,0xC,??0DateTime@common@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::common::DateTime::DateTime(class osgeo::proj::common::DateTime const &),method,osgeo::proj::common,DateTime,DateTime,class osgeo::proj::common::DateTime const &,False,False,False,False,False,False,True
14,13,0xD,??0Exception@util@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::util::Exception::Exception(class osgeo::proj::util::Exception const &),method,osgeo::proj::util,Exception,Exception,class osgeo::proj::util::Exception const &,False,False,False,False,False,False,True
15,14,0xE,??0Extent@metadata@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::metadata::Extent::Extent(class osgeo::proj::metadata::Extent const &),method,osgeo::proj::metadata,Extent,Extent,class osgeo::proj::metadata::Extent const &,False,False,False,False,False,False,True
16,15,0xF,??0FactoryException@io@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::io::FactoryException::FactoryException(class osgeo::proj::io::FactoryException const &),method,osgeo::proj::io,FactoryException,FactoryException,class osgeo::proj::io::FactoryException const &,False,False,False,False,False,False,True
17,16,0x10,??0FactoryException@io@proj@osgeo@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"public: __cdecl osgeo::proj::io::FactoryException::FactoryException(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &)",method,osgeo::proj::io,FactoryException,FactoryException,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &",False,False,False,False,False,False,True
18,17,0x11,??0FactoryException@io@proj@osgeo@@QEAA@PEBD@Z,public: __cdecl osgeo::proj::io::FactoryException::FactoryException(char const *),method,osgeo::proj::io,FactoryException,FactoryException,char const *,False,False,False,False,False,False,True
19,18,0x12,??0FormattingException@io@proj@osgeo@@QEAA@AEBV0123@@Z,public: __cdecl osgeo::proj::io::FormattingException::FormattingException(class osgeo::proj::io::FormattingException const &),method,osgeo::proj::io,FormattingException,FormattingException,class osgeo::proj::io::FormattingException const &,False,False,False,False,False,False,True
20,19,0x13,??0GenericShiftGrid@proj@osgeo@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HHAEBUExtentAndRes@12@@Z,"public: __cdecl osgeo::proj::GenericShiftGrid::GenericShiftGrid(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, int, int, struct osgeo::proj::ExtentAndRes const &)",method,osgeo::proj,GenericShiftGrid,GenericShiftGrid,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, int, int, struct osgeo::proj::ExtentAndRes const &",False,False,False,False,False,False,True
21,20,0x14,??0GridDescription@operation@proj@osgeo@@QEAA@$$QEAU0123@@Z,public: __cdecl osgeo::proj::operation::GridDescription::GridDescription(struct osgeo::proj::operation::GridDescription &&),method,osgeo::proj::operation,GridDescription,GridDescription,struct osgeo::proj::operation::GridDescription &&,False,False,False,False,False,False,True
22,21,0x15,??0GridDescription@operation@proj@osgeo@@QEAA@AEBU0123@@Z,public: __cdecl osgeo::proj::operation::GridDescription::GridDescription(struct osgeo::proj::operation::GridDescription const &),method,osgeo::proj::operation,GridDescription,GridDescription,struct osgeo::proj::operation::GridDescription const &,False,False,False,False,False,False,True
23,22,0x16,??0GridDescription@operation@proj@osgeo@@QEAA@XZ,public: __cdecl osgeo::proj::operation::GridDescription::GridDescription(void),method,osgeo::proj::operation,GridDescription,GridDescription,void,False,False,False,False,False,False,True
24,23,0x17,??0HorizontalShiftGrid@proj@osgeo@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HHAEBUExtentAndRes@12@@Z,"public: __cdecl osgeo::proj::HorizontalShiftGrid::HorizontalShiftGrid(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, int, int, struct osgeo::proj::ExtentAndRes const &)",method,osgeo::proj,HorizontalShiftGrid,HorizontalShiftGrid,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, int, int, struct osgeo::proj::ExtentAndRes const &",False,False,False,False,False,False,True
