ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??getGpuQuery@StubRenderer@RenderAPI@@UEAAAEAVIGpuQuery@render@@XZ@4HA,int `public: virtual class render::IGpuQuery & __cdecl RenderAPI::StubRenderer::getGpuQuery(void)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??getStatistics@StubRenderer@RenderAPI@@UEAAAEAVIStatistics@render@@XZ@4HA,int `public: virtual class render::IStatistics & __cdecl RenderAPI::StubRenderer::getStatistics(void)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,??0StubRenderer@RenderAPI@@QEAA@$$QEAV01@@Z,public: __cdecl RenderAPI::StubRenderer::StubRenderer(class RenderAPI::StubRenderer &&),method,RenderAPI,StubRenderer,StubRenderer,class RenderAPI::StubRenderer &&,False,False,False,False,False,False,True
4,3,0x3,??0StubRenderer@RenderAPI@@QEAA@XZ,public: __cdecl RenderAPI::StubRenderer::StubRenderer(void),method,RenderAPI,StubRenderer,StubRenderer,void,False,False,False,False,False,False,True
5,4,0x4,??1StubRenderer@RenderAPI@@QEAA@XZ,public: __cdecl RenderAPI::StubRenderer::~StubRenderer(void),method,RenderAPI,StubRenderer,~StubRenderer,void,False,False,False,False,False,False,True
6,5,0x5,??4StubRenderer@RenderAPI@@QEAAAEAV01@$$QEAV01@@Z,public: class RenderAPI::StubRenderer & __cdecl RenderAPI::StubRenderer::operator=(class RenderAPI::StubRenderer &&),symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,??_7StubRenderer@RenderAPI@@6B@,const RenderAPI::StubRenderer::`vftable',vftable,,,,,False,False,False,True,False,False,True
8,7,0x7,?addTextureDriver@StubRenderer@RenderAPI@@UEAA_NPEBD@Z,public: virtual bool __cdecl RenderAPI::StubRenderer::addTextureDriver(char const *),method,RenderAPI,StubRenderer,addTextureDriver,char const *,False,False,True,False,False,False,True
9,8,0x8,?beginDebugEvent@StubRenderer@RenderAPI@@UEAAXPEB_W@Z,public: virtual void __cdecl RenderAPI::StubRenderer::beginDebugEvent(wchar_t const *),method,RenderAPI,StubRenderer,beginDebugEvent,wchar_t const *,False,False,True,False,False,False,True
10,9,0x9,?beginFrame@StubRenderer@RenderAPI@@UEAAXXZ,public: virtual void __cdecl RenderAPI::StubRenderer::beginFrame(void),method,RenderAPI,StubRenderer,beginFrame,void,False,False,True,False,False,False,True
11,10,0xA,?bindResource@StubRenderer@RenderAPI@@UEAAXIPEAUITexture@2@@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::bindResource(unsigned int, struct RenderAPI::ITexture *)",method,RenderAPI,StubRenderer,bindResource,"unsigned int, struct RenderAPI::ITexture *",False,False,True,False,False,False,True
12,11,0xB,?bindResource@StubRenderer@RenderAPI@@UEAAXIPEBUIConstantBuffer@2@@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::bindResource(unsigned int, struct RenderAPI::IConstantBuffer const *)",method,RenderAPI,StubRenderer,bindResource,"unsigned int, struct RenderAPI::IConstantBuffer const *",False,False,True,False,False,False,True
13,12,0xC,?bindResource@StubRenderer@RenderAPI@@UEAAXIPEBUIStructuredBuffer@2@@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::bindResource(unsigned int, struct RenderAPI::IStructuredBuffer const *)",method,RenderAPI,StubRenderer,bindResource,"unsigned int, struct RenderAPI::IStructuredBuffer const *",False,False,True,False,False,False,True
14,13,0xD,?bindResourceAsStencil@StubRenderer@RenderAPI@@UEAAXIPEAUITexture@2@@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::bindResourceAsStencil(unsigned int, struct RenderAPI::ITexture *)",method,RenderAPI,StubRenderer,bindResourceAsStencil,"unsigned int, struct RenderAPI::ITexture *",False,False,True,False,False,False,True
15,14,0xE,?clearColor@StubRenderer@RenderAPI@@UEAAXPEBVVec4f@osg@@H@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::clearColor(class osg::Vec4f const *, int)",method,RenderAPI,StubRenderer,clearColor,"class osg::Vec4f const *, int",False,False,True,False,False,False,True
16,15,0xF,?clearDepth@StubRenderer@RenderAPI@@UEAAXM@Z,public: virtual void __cdecl RenderAPI::StubRenderer::clearDepth(float),method,RenderAPI,StubRenderer,clearDepth,float,False,False,True,False,False,False,True
17,16,0x10,?clearFrameBuffer@StubRenderer@RenderAPI@@UEAAXAEBVVec4f@osg@@MI@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::clearFrameBuffer(class osg::Vec4f const &, float, unsigned int)",method,RenderAPI,StubRenderer,clearFrameBuffer,"class osg::Vec4f const &, float, unsigned int",False,False,True,False,False,False,True
18,17,0x11,?clearStencil@StubRenderer@RenderAPI@@UEAAXI@Z,public: virtual void __cdecl RenderAPI::StubRenderer::clearStencil(unsigned int),method,RenderAPI,StubRenderer,clearStencil,unsigned int,False,False,True,False,False,False,True
19,18,0x12,?clearUAV@StubRenderer@RenderAPI@@UEAA_NPEAUITexture@2@AEBVVec4f@osg@@@Z,"public: virtual bool __cdecl RenderAPI::StubRenderer::clearUAV(struct RenderAPI::ITexture *, class osg::Vec4f const &)",method,RenderAPI,StubRenderer,clearUAV,"struct RenderAPI::ITexture *, class osg::Vec4f const &",False,False,True,False,False,False,True
20,19,0x13,?clearUAV@StubRenderer@RenderAPI@@UEAA_NPEAUITexture@2@AEBVVec4ui@osg@@@Z,"public: virtual bool __cdecl RenderAPI::StubRenderer::clearUAV(struct RenderAPI::ITexture *, class osg::Vec4ui const &)",method,RenderAPI,StubRenderer,clearUAV,"struct RenderAPI::ITexture *, class osg::Vec4ui const &",False,False,True,False,False,False,True
21,20,0x14,?compute@StubRenderer@RenderAPI@@UEAAXHPEAUIShader@2@HHH@Z,"public: virtual void __cdecl RenderAPI::StubRenderer::compute(int, struct RenderAPI::IShader *, int, int, int)",method,RenderAPI,StubRenderer,compute,"int, struct RenderAPI::IShader *, int, int, int",False,False,True,False,False,False,True
