ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0RTSDCS@rtsdcs@@QEAA@XZ,public: __cdecl rtsdcs::RTSDCS::RTSDCS(void),method,rtsdcs,RTSDCS,RTSDCS,void,False,False,False,False,False,False,True
2,1,0x1,??0RTSDCSEdit@rtsdcs@@QEAA@XZ,public: __cdecl rtsdcs::RTSDCSEdit::RTSDCSEdit(void),method,rtsdcs,RTSDCSEdit,RTSDCSEdit,void,False,False,False,False,False,False,True
3,2,0x2,??1RTSDCS@rtsdcs@@UEAA@XZ,public: virtual __cdecl rtsdcs::RTSDCS::~RTSDCS(void),method,rtsdcs,RTSDCS,~RTSDCS,void,False,False,True,False,False,False,True
4,3,0x3,??1RTSDCSEdit@rtsdcs@@QEAA@XZ,public: __cdecl rtsdcs::RTSDCSEdit::~RTSDCSEdit(void),method,rtsdcs,RTSDCSEdit,~RTSDCSEdit,void,False,False,False,False,False,False,True
5,4,0x4,?addArmamentToConfig@RTSDCSEdit@rtsdcs@@IEAAXPEBDI@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addArmamentToConfig(char const *, unsigned int)",method,rtsdcs,RTSDCSEdit,addArmamentToConfig,"char const *, unsigned int",False,False,False,False,False,False,True
6,5,0x5,?addCity@RTSDCSEdit@rtsdcs@@IEAAXPEBD00@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addCity(char const *, char const *, char const *)",method,rtsdcs,RTSDCSEdit,addCity,"char const *, char const *, char const *",False,False,False,False,False,False,True
7,6,0x6,?addConfig@RTSDCSEdit@rtsdcs@@IEAAXPEBD0MMNM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addConfig(char const *, char const *, float, float, double, float)",method,rtsdcs,RTSDCSEdit,addConfig,"char const *, char const *, float, float, double, float",False,False,False,False,False,False,True
8,7,0x7,?addFormation@RTSDCSEdit@rtsdcs@@IEAAXPEBD0000000IM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addFormation(char const *, char const *, char const *, char const *, char const *, char const *, char const *, char const *, unsigned int, float)",method,rtsdcs,RTSDCSEdit,addFormation,"char const *, char const *, char const *, char const *, char const *, char const *, char const *, char const *, unsigned int, float",False,False,False,False,False,False,True
9,8,0x8,?addFormation@RTSDCSEdit@rtsdcs@@IEAAXPEBD000NN0000IM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addFormation(char const *, char const *, char const *, char const *, double, double, char const *, char const *, char const *, char const *, unsigned int, float)",method,rtsdcs,RTSDCSEdit,addFormation,"char const *, char const *, char const *, char const *, double, double, char const *, char const *, char const *, char const *, unsigned int, float",False,False,False,False,False,False,True
10,9,0x9,?addGroupUnit@RTSDCSEdit@rtsdcs@@IEAAXPEBD00000MI@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addGroupUnit(char const *, char const *, char const *, char const *, char const *, char const *, float, unsigned int)",method,rtsdcs,RTSDCSEdit,addGroupUnit,"char const *, char const *, char const *, char const *, char const *, char const *, float, unsigned int",False,False,False,False,False,False,True
11,10,0xA,?addGroupUnit@RTSDCSEdit@rtsdcs@@IEAAXPEBD0000NNAEBV?$vector@NV?$allocator@N@ed@@@ed@@MI@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addGroupUnit(char const *, char const *, char const *, char const *, char const *, double, double, class ed::vector<double, class ed::allocator<double>> const &, float, unsigned int)",method,rtsdcs,RTSDCSEdit,addGroupUnit,"char const *, char const *, char const *, char const *, char const *, double, double, class ed::vector<double, class ed::allocator<double>> const &, float, unsigned int",False,False,False,False,False,False,True
12,11,0xB,?addHeightMap@RTSDCSEdit@rtsdcs@@IEAAXII@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addHeightMap(unsigned int, unsigned int)",method,rtsdcs,RTSDCSEdit,addHeightMap,"unsigned int, unsigned int",False,False,False,False,False,False,True
13,12,0xC,?addNode@RTSDCSEdit@rtsdcs@@IEAAXPEBD0NNM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addNode(char const *, char const *, double, double, float)",method,rtsdcs,RTSDCSEdit,addNode,"char const *, char const *, double, double, float",False,False,False,False,False,False,True
14,13,0xD,?addPOI@RTSDCSEdit@rtsdcs@@IEAAXPEBD0000NNNAEBV?$list@V?$basic_string@D@ed@@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addPOI(char const *, char const *, char const *, char const *, char const *, double, double, double, class ed::list<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &)",method,rtsdcs,RTSDCSEdit,addPOI,"char const *, char const *, char const *, char const *, char const *, double, double, double, class ed::list<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &",False,False,False,False,False,False,True
15,14,0xE,?addParamToConfig@RTSDCSEdit@rtsdcs@@IEAAXPEBDM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addParamToConfig(char const *, float)",method,rtsdcs,RTSDCSEdit,addParamToConfig,"char const *, float",False,False,False,False,False,False,True
16,15,0xF,?addParamToWeaponConfig@RTSDCSEdit@rtsdcs@@IEAAXPEBDM@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addParamToWeaponConfig(char const *, float)",method,rtsdcs,RTSDCSEdit,addParamToWeaponConfig,"char const *, float",False,False,False,False,False,False,True
17,16,0x10,?addPerformer@RTSDCS@rtsdcs@@QEAAXAEBV?$basic_string@D@ed@@0_N@Z,"public: void __cdecl rtsdcs::RTSDCS::addPerformer(class ed::basic_string<char> const &, class ed::basic_string<char> const &, bool)",method,rtsdcs,RTSDCS,addPerformer,"class ed::basic_string<char> const &, class ed::basic_string<char> const &, bool",False,False,False,False,False,False,True
18,17,0x11,?addPointOnSurface@RTSDCSEdit@rtsdcs@@IEAAXNNMM_N@Z,"protected: void __cdecl rtsdcs::RTSDCSEdit::addPointOnSurface(double, double, float, float, bool)",method,rtsdcs,RTSDCSEdit,addPointOnSurface,"double, double, float, float, bool",False,False,False,False,False,False,True
