ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,soundtouch_clear,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,soundtouch_createInstance,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,soundtouch_destroyInstance,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,soundtouch_flush,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,soundtouch_getSetting,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,soundtouch_getVersionId,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,soundtouch_getVersionString,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,soundtouch_getVersionString2,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,soundtouch_isEmpty,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,soundtouch_numSamples,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,soundtouch_numUnprocessedSamples,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,soundtouch_putSamples,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,soundtouch_receiveSamples,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,soundtouch_setChannels,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,soundtouch_setPitch,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,soundtouch_setPitchOctaves,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,soundtouch_setPitchSemiTones,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,soundtouch_setRate,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,soundtouch_setRateChange,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,soundtouch_setSampleRate,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,soundtouch_setSetting,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,soundtouch_setTempo,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,soundtouch_setTempoChange,,unknown,,,,,False,False,False,False,False,False,False
