ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??RandomFloat@CWind@SpeedTree@@IEBAMMM@Z@4HA,"int `protected: float __cdecl SpeedTree::CWind::RandomFloat(float, float) const'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,??0?$CArray@D$00@SpeedTree@@QEAA@XZ,"public: __cdecl SpeedTree::CArray<char, 1>::CArray<char, 1>(void)",function,,,1>,void,False,False,False,False,False,False,True
3,2,0x2,??0?$CArray@PEAUSNode@CScopeTrace@SpeedTree@@$00@SpeedTree@@QEAA@XZ,"public: __cdecl SpeedTree::CArray<struct SpeedTree::CScopeTrace::SNode *, 1>::CArray<struct SpeedTree::CScopeTrace::SNode *, 1>(void)",function,,,1>,void,False,False,False,False,False,False,True
4,3,0x3,??0?$CArray@V?$CBasicFixedString@$0BAA@@SpeedTree@@$00@SpeedTree@@QEAA@AEBV01@@Z,"public: __cdecl SpeedTree::CArray<class SpeedTree::CBasicFixedString<256>, 1>::CArray<class SpeedTree::CBasicFixedString<256>, 1>(class SpeedTree::CArray<class SpeedTree::CBasicFixedString<256>, 1> const &)",function,,,1>,"class SpeedTree::CArray<class SpeedTree::CBasicFixedString<256>, 1> const &",False,False,False,False,False,False,True
5,4,0x4,??0?$CArray@V?$CBasicFixedString@$0BAA@@SpeedTree@@$00@SpeedTree@@QEAA@XZ,"public: __cdecl SpeedTree::CArray<class SpeedTree::CBasicFixedString<256>, 1>::CArray<class SpeedTree::CBasicFixedString<256>, 1>(void)",function,,,1>,void,False,False,False,False,False,False,True
6,5,0x5,??0?$CArray@V?$CBasicFixedString@$0EAA@@SpeedTree@@$0A@@SpeedTree@@QEAA@XZ,"public: __cdecl SpeedTree::CArray<class SpeedTree::CBasicFixedString<1024>, 0>::CArray<class SpeedTree::CBasicFixedString<1024>, 0>(void)",function,,,0>,void,False,False,False,False,False,False,True
7,6,0x6,??0?$CBasicFixedString@$0BAA@@SpeedTree@@QEAA@AEBV01@@Z,public: __cdecl SpeedTree::CBasicFixedString<256>::CBasicFixedString<256>(class SpeedTree::CBasicFixedString<256> const &),method,SpeedTree,CBasicFixedString<256>,CBasicFixedString<256>,class SpeedTree::CBasicFixedString<256> const &,False,False,False,False,False,False,True
8,7,0x7,??0?$CBasicFixedString@$0BAA@@SpeedTree@@QEAA@PEBD@Z,public: __cdecl SpeedTree::CBasicFixedString<256>::CBasicFixedString<256>(char const *),method,SpeedTree,CBasicFixedString<256>,CBasicFixedString<256>,char const *,False,False,False,False,False,False,True
9,8,0x8,??0?$CBasicFixedString@$0BAA@@SpeedTree@@QEAA@XZ,public: __cdecl SpeedTree::CBasicFixedString<256>::CBasicFixedString<256>(void),method,SpeedTree,CBasicFixedString<256>,CBasicFixedString<256>,void,False,False,False,False,False,False,True
10,9,0x9,??0?$CBasicFixedString@$0EAA@@SpeedTree@@QEAA@PEBD@Z,public: __cdecl SpeedTree::CBasicFixedString<1024>::CBasicFixedString<1024>(char const *),method,SpeedTree,CBasicFixedString<1024>,CBasicFixedString<1024>,char const *,False,False,False,False,False,False,True
