ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,sqlite3_aggregate_context,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,sqlite3_aggregate_count,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,sqlite3_auto_extension,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,sqlite3_autovacuum_pages,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,sqlite3_backup_finish,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,sqlite3_backup_init,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,sqlite3_backup_pagecount,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,sqlite3_backup_remaining,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,sqlite3_backup_step,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,sqlite3_bind_blob,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,sqlite3_bind_blob64,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,sqlite3_bind_double,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,sqlite3_bind_int,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,sqlite3_bind_int64,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,sqlite3_bind_null,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,sqlite3_bind_parameter_count,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,sqlite3_bind_parameter_index,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,sqlite3_bind_parameter_name,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,sqlite3_bind_pointer,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,sqlite3_bind_text,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,sqlite3_bind_text16,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,sqlite3_bind_text64,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,sqlite3_bind_value,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,sqlite3_bind_zeroblob,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,sqlite3_bind_zeroblob64,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,sqlite3_blob_bytes,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,sqlite3_blob_close,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,sqlite3_blob_open,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,sqlite3_blob_read,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,sqlite3_blob_reopen,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,sqlite3_blob_write,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,sqlite3_busy_handler,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,sqlite3_busy_timeout,,unknown,,,,,False,False,False,False,False,False,False
