ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0concurrent_queue_base@internal@tbb@@IEAA@_K@Z,protected: __cdecl tbb::internal::concurrent_queue_base::concurrent_queue_base(unsigned __int64),method,tbb::internal,concurrent_queue_base,concurrent_queue_base,unsigned __int64,False,False,False,False,False,False,True
2,1,0x1,??0concurrent_queue_base_v3@internal@tbb@@IEAA@_K@Z,protected: __cdecl tbb::internal::concurrent_queue_base_v3::concurrent_queue_base_v3(unsigned __int64),method,tbb::internal,concurrent_queue_base_v3,concurrent_queue_base_v3,unsigned __int64,False,False,False,False,False,False,True
3,2,0x2,??0concurrent_queue_iterator_base@internal@tbb@@IEAA@AEBVconcurrent_queue_base@12@@Z,protected: __cdecl tbb::internal::concurrent_queue_iterator_base::concurrent_queue_iterator_base(class tbb::internal::concurrent_queue_base const &),method,tbb::internal,concurrent_queue_iterator_base,concurrent_queue_iterator_base,class tbb::internal::concurrent_queue_base const &,False,False,False,False,False,False,True
4,3,0x3,??0concurrent_queue_iterator_base_v3@internal@tbb@@IEAA@AEBVconcurrent_queue_base_v3@12@@Z,protected: __cdecl tbb::internal::concurrent_queue_iterator_base_v3::concurrent_queue_iterator_base_v3(class tbb::internal::concurrent_queue_base_v3 const &),method,tbb::internal,concurrent_queue_iterator_base_v3,concurrent_queue_iterator_base_v3,class tbb::internal::concurrent_queue_base_v3 const &,False,False,False,False,False,False,True
5,4,0x4,??0concurrent_queue_iterator_base_v3@internal@tbb@@IEAA@AEBVconcurrent_queue_base_v3@12@_K@Z,"protected: __cdecl tbb::internal::concurrent_queue_iterator_base_v3::concurrent_queue_iterator_base_v3(class tbb::internal::concurrent_queue_base_v3 const &, unsigned __int64)",method,tbb::internal,concurrent_queue_iterator_base_v3,concurrent_queue_iterator_base_v3,"class tbb::internal::concurrent_queue_base_v3 const &, unsigned __int64",False,False,False,False,False,False,True
6,5,0x5,??0pipeline@tbb@@QEAA@XZ,public: __cdecl tbb::pipeline::pipeline(void),method,tbb,pipeline,pipeline,void,False,False,False,False,False,False,True
7,6,0x6,??1captured_exception@tbb@@UEAA@XZ,public: virtual __cdecl tbb::captured_exception::~captured_exception(void),method,tbb,captured_exception,~captured_exception,void,False,False,True,False,False,False,True
8,7,0x7,??1concurrent_queue_base@internal@tbb@@MEAA@XZ,protected: virtual __cdecl tbb::internal::concurrent_queue_base::~concurrent_queue_base(void),method,tbb::internal,concurrent_queue_base,~concurrent_queue_base,void,False,False,True,False,False,False,True
9,8,0x8,??1concurrent_queue_base_v3@internal@tbb@@MEAA@XZ,protected: virtual __cdecl tbb::internal::concurrent_queue_base_v3::~concurrent_queue_base_v3(void),method,tbb::internal,concurrent_queue_base_v3,~concurrent_queue_base_v3,void,False,False,True,False,False,False,True
10,9,0x9,??1concurrent_queue_iterator_base@internal@tbb@@IEAA@XZ,protected: __cdecl tbb::internal::concurrent_queue_iterator_base::~concurrent_queue_iterator_base(void),method,tbb::internal,concurrent_queue_iterator_base,~concurrent_queue_iterator_base,void,False,False,False,False,False,False,True
11,10,0xA,??1concurrent_queue_iterator_base_v3@internal@tbb@@IEAA@XZ,protected: __cdecl tbb::internal::concurrent_queue_iterator_base_v3::~concurrent_queue_iterator_base_v3(void),method,tbb::internal,concurrent_queue_iterator_base_v3,~concurrent_queue_iterator_base_v3,void,False,False,False,False,False,False,True
12,11,0xB,??1concurrent_vector_base_v3@internal@tbb@@IEAA@XZ,protected: __cdecl tbb::internal::concurrent_vector_base_v3::~concurrent_vector_base_v3(void),method,tbb::internal,concurrent_vector_base_v3,~concurrent_vector_base_v3,void,False,False,False,False,False,False,True
13,12,0xC,??1filter@tbb@@UEAA@XZ,public: virtual __cdecl tbb::filter::~filter(void),method,tbb,filter,~filter,void,False,False,True,False,False,False,True
14,13,0xD,??1pipeline@tbb@@UEAA@XZ,public: virtual __cdecl tbb::pipeline::~pipeline(void),method,tbb,pipeline,~pipeline,void,False,False,True,False,False,False,True
15,14,0xE,??1task_group_context@tbb@@QEAA@XZ,public: __cdecl tbb::task_group_context::~task_group_context(void),method,tbb,task_group_context,~task_group_context,void,False,False,False,False,False,False,True
16,15,0xF,??_7pipeline@tbb@@6B@,const tbb::pipeline::`vftable',vftable,,,,,False,False,False,True,False,False,True
17,16,0x10,?NFS_Allocate@internal@tbb@@YAPEAX_K0PEAX@Z,"void * __cdecl tbb::internal::NFS_Allocate(unsigned __int64, unsigned __int64, void *)",method,tbb,internal,NFS_Allocate,"unsigned __int64, unsigned __int64, void *",False,False,False,False,False,False,True
18,17,0x11,?NFS_Free@internal@tbb@@YAXPEAX@Z,void __cdecl tbb::internal::NFS_Free(void *),method,tbb,internal,NFS_Free,void *,False,False,False,False,False,False,True
19,18,0x12,?NFS_GetLineSize@internal@tbb@@YA_KXZ,unsigned __int64 __cdecl tbb::internal::NFS_GetLineSize(void),method,tbb,internal,NFS_GetLineSize,void,False,False,False,False,False,False,True
20,19,0x13,?acquire@scoped_lock@queuing_mutex@tbb@@QEAAXAEAV23@@Z,public: void __cdecl tbb::queuing_mutex::scoped_lock::acquire(class tbb::queuing_mutex &),method,tbb::queuing_mutex,scoped_lock,acquire,class tbb::queuing_mutex &,False,False,False,False,False,False,True
21,20,0x14,?acquire@scoped_lock@queuing_rw_mutex@tbb@@QEAAXAEAV23@_N@Z,"public: void __cdecl tbb::queuing_rw_mutex::scoped_lock::acquire(class tbb::queuing_rw_mutex &, bool)",method,tbb::queuing_rw_mutex,scoped_lock,acquire,"class tbb::queuing_rw_mutex &, bool",False,False,False,False,False,False,True
22,21,0x15,?active_value@global_control@interface9@tbb@@CA_KH@Z,private: static unsigned __int64 __cdecl tbb::interface9::global_control::active_value(int),method,tbb::interface9,global_control,active_value,int,False,True,False,False,False,False,True
23,22,0x16,?add_filter@pipeline@tbb@@QEAAXAEAVfilter@2@@Z,public: void __cdecl tbb::pipeline::add_filter(class tbb::filter &),method,tbb,pipeline,add_filter,class tbb::filter &,False,False,False,False,False,False,True
24,23,0x17,?advance@concurrent_queue_iterator_base@internal@tbb@@IEAAXXZ,protected: void __cdecl tbb::internal::concurrent_queue_iterator_base::advance(void),method,tbb::internal,concurrent_queue_iterator_base,advance,void,False,False,False,False,False,False,True
25,24,0x18,?advance@concurrent_queue_iterator_base_v3@internal@tbb@@IEAAXXZ,protected: void __cdecl tbb::internal::concurrent_queue_iterator_base_v3::advance(void),method,tbb::internal,concurrent_queue_iterator_base_v3,advance,void,False,False,False,False,False,False,True
26,25,0x19,?allocate@allocate_additional_child_of_proxy@internal@tbb@@QEBAAEAVtask@3@_K@Z,public: class tbb::task & __cdecl tbb::internal::allocate_additional_child_of_proxy::allocate(unsigned __int64) const,method,tbb::internal,allocate_additional_child_of_proxy,allocate,unsigned __int64,True,False,False,False,False,False,True
