ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,th_comment_add,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,th_comment_add_tag,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,th_comment_clear,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,th_comment_init,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,th_comment_query,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,th_comment_query_count,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,th_decode_alloc,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,th_decode_ctl,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,th_decode_free,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,th_decode_headerin,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,th_decode_packetin,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,th_decode_ycbcr_out,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,th_encode_alloc,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,th_encode_ctl,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,th_encode_flushheader,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,th_encode_free,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,th_encode_packetout,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,th_encode_ycbcr_in,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,th_granule_frame,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,th_granule_time,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,th_info_clear,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,th_info_init,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,th_packet_isheader,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,th_packet_iskeyframe,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,th_setup_free,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,th_version_number,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,th_version_string,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,theora_clear,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,theora_comment_add,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,theora_comment_add_tag,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,theora_comment_clear,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,theora_comment_init,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,theora_comment_query,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,theora_comment_query_count,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,theora_control,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,theora_decode_YUVout,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,theora_decode_header,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,theora_decode_init,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,theora_decode_packetin,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,theora_encode_YUVin,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,theora_encode_comment,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,theora_encode_header,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,theora_encode_init,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,theora_encode_packetout,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,theora_encode_tables,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,theora_granule_frame,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,theora_granule_shift,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,theora_granule_time,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,theora_info_clear,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,theora_info_init,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,theora_packet_isheader,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,theora_packet_iskeyframe,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,theora_version_number,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,theora_version_string,,unknown,,,,,False,False,False,False,False,False,False
