ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,TIFFAccessTagMethods,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,TIFFCIELabToRGBInit,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,TIFFCIELabToXYZ,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,TIFFCheckTile,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,TIFFCheckpointDirectory,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,TIFFCleanup,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,TIFFClientOpen,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,TIFFClientdata,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,TIFFClose,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,TIFFComputeStrip,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,TIFFComputeTile,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,TIFFCreateCustomDirectory,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,TIFFCreateDirectory,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,TIFFCreateEXIFDirectory,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,TIFFCreateGPSDirectory,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,TIFFCurrentDirOffset,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,TIFFCurrentDirectory,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,TIFFCurrentRow,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,TIFFCurrentStrip,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,TIFFCurrentTile,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,TIFFDataWidth,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,TIFFDefaultStripSize,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,TIFFDefaultTileSize,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,TIFFDeferStrileArrayWriting,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,TIFFError,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,TIFFErrorExt,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,TIFFFdOpen,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,TIFFFieldDataType,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,TIFFFieldName,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,TIFFFieldPassCount,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,TIFFFieldReadCount,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,TIFFFieldTag,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,TIFFFieldWithName,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,TIFFFieldWithTag,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,TIFFFieldWriteCount,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,TIFFFileName,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,TIFFFileno,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,TIFFFindCODEC,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,TIFFFindField,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,TIFFFlush,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,TIFFFlushData,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,TIFFForceStrileArrayWriting,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,TIFFFreeDirectory,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,TIFFGetBitRevTable,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,TIFFGetClientInfo,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,TIFFGetCloseProc,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,TIFFGetConfiguredCODECs,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,TIFFGetField,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,TIFFGetFieldDefaulted,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,TIFFGetMapFileProc,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,TIFFGetMode,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,TIFFGetReadProc,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,TIFFGetSeekProc,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,TIFFGetSizeProc,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,TIFFGetStrileByteCount,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,TIFFGetStrileByteCountWithErr,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,TIFFGetStrileOffset,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,TIFFGetStrileOffsetWithErr,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,TIFFGetTagListCount,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,TIFFGetTagListEntry,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,TIFFGetUnmapFileProc,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,TIFFGetVersion,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,TIFFGetWriteProc,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,TIFFIsBigEndian,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,TIFFIsByteSwapped,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,TIFFIsCODECConfigured,,unknown,,,,,False,False,False,False,False,False,False
