ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0XMLAttribute@tinyxml2@@AEAA@XZ,private: __cdecl tinyxml2::XMLAttribute::XMLAttribute(void),method,tinyxml2,XMLAttribute,XMLAttribute,void,False,False,False,False,False,False,True
2,1,0x1,??0XMLComment@tinyxml2@@IEAA@PEAVXMLDocument@1@@Z,protected: __cdecl tinyxml2::XMLComment::XMLComment(class tinyxml2::XMLDocument *),method,tinyxml2,XMLComment,XMLComment,class tinyxml2::XMLDocument *,False,False,False,False,False,False,True
3,2,0x2,??0XMLConstHandle@tinyxml2@@QEAA@AEBV01@@Z,public: __cdecl tinyxml2::XMLConstHandle::XMLConstHandle(class tinyxml2::XMLConstHandle const &),method,tinyxml2,XMLConstHandle,XMLConstHandle,class tinyxml2::XMLConstHandle const &,False,False,False,False,False,False,True
4,3,0x3,??0XMLConstHandle@tinyxml2@@QEAA@AEBVXMLNode@1@@Z,public: __cdecl tinyxml2::XMLConstHandle::XMLConstHandle(class tinyxml2::XMLNode const &),method,tinyxml2,XMLConstHandle,XMLConstHandle,class tinyxml2::XMLNode const &,False,False,False,False,False,False,True
5,4,0x4,??0XMLConstHandle@tinyxml2@@QEAA@PEBVXMLNode@1@@Z,public: __cdecl tinyxml2::XMLConstHandle::XMLConstHandle(class tinyxml2::XMLNode const *),method,tinyxml2,XMLConstHandle,XMLConstHandle,class tinyxml2::XMLNode const *,False,False,False,False,False,False,True
6,5,0x5,??0XMLDeclaration@tinyxml2@@IEAA@PEAVXMLDocument@1@@Z,protected: __cdecl tinyxml2::XMLDeclaration::XMLDeclaration(class tinyxml2::XMLDocument *),method,tinyxml2,XMLDeclaration,XMLDeclaration,class tinyxml2::XMLDocument *,False,False,False,False,False,False,True
7,6,0x6,??0XMLDocument@tinyxml2@@QEAA@_NW4Whitespace@1@@Z,"public: __cdecl tinyxml2::XMLDocument::XMLDocument(bool, enum tinyxml2::Whitespace)",method,tinyxml2,XMLDocument,XMLDocument,"bool, enum tinyxml2::Whitespace",False,False,False,False,False,False,True
8,7,0x7,??0XMLElement@tinyxml2@@AEAA@PEAVXMLDocument@1@@Z,private: __cdecl tinyxml2::XMLElement::XMLElement(class tinyxml2::XMLDocument *),method,tinyxml2,XMLElement,XMLElement,class tinyxml2::XMLDocument *,False,False,False,False,False,False,True
9,8,0x8,??0XMLHandle@tinyxml2@@QEAA@AEAVXMLNode@1@@Z,public: __cdecl tinyxml2::XMLHandle::XMLHandle(class tinyxml2::XMLNode &),method,tinyxml2,XMLHandle,XMLHandle,class tinyxml2::XMLNode &,False,False,False,False,False,False,True
10,9,0x9,??0XMLHandle@tinyxml2@@QEAA@AEBV01@@Z,public: __cdecl tinyxml2::XMLHandle::XMLHandle(class tinyxml2::XMLHandle const &),method,tinyxml2,XMLHandle,XMLHandle,class tinyxml2::XMLHandle const &,False,False,False,False,False,False,True
