ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?CallTrace@tracy@@YAPEA_KH@Z,unsigned __int64 * __cdecl tracy::CallTrace(int),method,,tracy,CallTrace,int,False,False,False,False,False,False,True
2,1,0x1,?GetFrequencyQpc@tracy@@YA_JXZ,__int64 __cdecl tracy::GetFrequencyQpc(void),method,,tracy,GetFrequencyQpc,void,False,False,False,False,False,False,True
3,2,0x2,?GetGpuCtx@tracy@@YAAEAUGpuCtxWrapper@1@XZ,struct tracy::GpuCtxWrapper & __cdecl tracy::GetGpuCtx(void),method,,tracy,GetGpuCtx,void,False,False,False,False,False,False,True
4,3,0x3,?GetGpuCtxCounter@tracy@@YAAEAU?$atomic@E@std@@XZ,struct std::atomic<unsigned char> & __cdecl tracy::GetGpuCtxCounter(void),method,,tracy,GetGpuCtxCounter,void,False,False,False,False,False,False,True
5,4,0x4,?GetInitTime@tracy@@YA_JXZ,__int64 __cdecl tracy::GetInitTime(void),method,,tracy,GetInitTime,void,False,False,False,False,False,False,True
6,5,0x5,?GetLockCounter@tracy@@YAAEAU?$atomic@I@std@@XZ,struct std::atomic<unsigned int> & __cdecl tracy::GetLockCounter(void),method,,tracy,GetLockCounter,void,False,False,False,False,False,False,True
7,6,0x6,?GetProfiler@tracy@@YAAEAVProfiler@1@XZ,class tracy::Profiler & __cdecl tracy::GetProfiler(void),method,,tracy,GetProfiler,void,False,False,False,False,False,False,True
8,7,0x7,?GetQueue@tracy@@YAAEAV?$ConcurrentQueue@UQueueItem@tracy@@UConcurrentQueueDefaultTraits@moodycamel@2@@moodycamel@1@XZ,"class tracy::moodycamel::ConcurrentQueue<struct tracy::QueueItem, struct tracy::moodycamel::ConcurrentQueueDefaultTraits> & __cdecl tracy::GetQueue(void)",method,,tracy,GetQueue,void,False,False,False,False,False,False,True
9,8,0x8,?GetThreadHandle@tracy@@YA_KXZ,unsigned __int64 __cdecl tracy::GetThreadHandle(void),method,,tracy,GetThreadHandle,void,False,False,False,False,False,False,True
10,9,0x9,?GetThreadHandleImpl@detail@tracy@@YA_KXZ,unsigned __int64 __cdecl tracy::detail::GetThreadHandleImpl(void),method,tracy,detail,GetThreadHandleImpl,void,False,False,False,False,False,False,True
11,10,0xA,?GetThreadName@tracy@@YAPEBD_K@Z,char const * __cdecl tracy::GetThreadName(unsigned __int64),method,,tracy,GetThreadName,unsigned __int64,False,False,False,False,False,False,True
12,11,0xB,?GetToken@tracy@@YAPEAUExplicitProducer@?$ConcurrentQueue@UQueueItem@tracy@@UConcurrentQueueDefaultTraits@moodycamel@2@@moodycamel@1@XZ,"struct tracy::moodycamel::ConcurrentQueue<struct tracy::QueueItem, struct tracy::moodycamel::ConcurrentQueueDefaultTraits>::ExplicitProducer * __cdecl tracy::GetToken(void)",method,,tracy,GetToken,void,False,False,False,False,False,False,True
13,12,0xC,?InitRPMallocThread@tracy@@YAXXZ,void __cdecl tracy::InitRPMallocThread(void),method,,tracy,InitRPMallocThread,void,False,False,False,False,False,False,True
14,13,0xD,?ProfilerAvailable@tracy@@YA_NXZ,bool __cdecl tracy::ProfilerAvailable(void),method,,tracy,ProfilerAvailable,void,False,False,False,False,False,False,True
15,14,0xE,?SetThreadName@tracy@@YAXPEBD@Z,void __cdecl tracy::SetThreadName(char const *),method,,tracy,SetThreadName,char const *,False,False,False,False,False,False,True
16,15,0xF,?rpfree@tracy@@YAXPEAX@Z,void __cdecl tracy::rpfree(void *),method,,tracy,rpfree,void *,False,False,False,False,False,False,True
17,16,0x10,?rpmalloc@tracy@@YAPEAX_K@Z,void * __cdecl tracy::rpmalloc(unsigned __int64),method,,tracy,rpmalloc,unsigned __int64,False,False,False,False,False,False,True
18,17,0x11,?rpmalloc_finalize@tracy@@YAXXZ,void __cdecl tracy::rpmalloc_finalize(void),method,,tracy,rpmalloc_finalize,void,False,False,False,False,False,False,True
19,18,0x12,?rpmalloc_initialize@tracy@@YAHXZ,int __cdecl tracy::rpmalloc_initialize(void),method,,tracy,rpmalloc_initialize,void,False,False,False,False,False,False,True
20,19,0x13,?rpmalloc_thread_finalize@tracy@@YAXXZ,void __cdecl tracy::rpmalloc_thread_finalize(void),method,,tracy,rpmalloc_thread_finalize,void,False,False,False,False,False,False,True
21,20,0x14,?rpmalloc_thread_initialize@tracy@@YAXXZ,void __cdecl tracy::rpmalloc_thread_initialize(void),method,,tracy,rpmalloc_thread_initialize,void,False,False,False,False,False,False,True
22,21,0x15,?rprealloc@tracy@@YAPEAXPEAX_K@Z,"void * __cdecl tracy::rprealloc(void *, unsigned __int64)",method,,tracy,rprealloc,"void *, unsigned __int64",False,False,False,False,False,False,True
23,22,0x16,___tracy_alloc_srcloc,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,___tracy_alloc_srcloc_name,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,___tracy_emit_frame_image,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,___tracy_emit_frame_mark,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,___tracy_emit_frame_mark_end,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,___tracy_emit_frame_mark_start,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,___tracy_emit_memory_alloc,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,___tracy_emit_memory_alloc_callstack,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,___tracy_emit_memory_alloc_callstack_named,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,___tracy_emit_memory_alloc_named,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,___tracy_emit_memory_free,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,___tracy_emit_memory_free_callstack,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,___tracy_emit_memory_free_callstack_named,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,___tracy_emit_memory_free_named,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,___tracy_emit_message,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,___tracy_emit_messageC,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,___tracy_emit_messageL,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,___tracy_emit_messageLC,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,___tracy_emit_message_appinfo,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,___tracy_emit_plot,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,___tracy_emit_zone_begin,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,___tracy_emit_zone_begin_alloc,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,___tracy_emit_zone_begin_alloc_callstack,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,___tracy_emit_zone_begin_callstack,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,___tracy_emit_zone_color,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,___tracy_emit_zone_end,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,___tracy_emit_zone_name,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,___tracy_emit_zone_text,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,___tracy_emit_zone_value,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,___tracy_init_thread,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,___tracy_set_thread_name,,unknown,,,,,False,False,False,False,False,False,False
