ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,vkAcquireNextImage2KHR,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,vkAcquireNextImageKHR,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,vkAllocateCommandBuffers,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,vkAllocateDescriptorSets,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,vkAllocateMemory,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,vkBeginCommandBuffer,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,vkBindBufferMemory,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,vkBindBufferMemory2,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,vkBindImageMemory,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,vkBindImageMemory2,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,vkCmdBeginQuery,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,vkCmdBeginRenderPass,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,vkCmdBeginRenderPass2,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,vkCmdBeginRendering,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,vkCmdBindDescriptorSets,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,vkCmdBindIndexBuffer,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,vkCmdBindPipeline,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,vkCmdBindVertexBuffers,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,vkCmdBindVertexBuffers2,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,vkCmdBlitImage,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,vkCmdBlitImage2,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,vkCmdClearAttachments,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,vkCmdClearColorImage,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,vkCmdClearDepthStencilImage,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,vkCmdCopyBuffer,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,vkCmdCopyBuffer2,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,vkCmdCopyBufferToImage,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,vkCmdCopyBufferToImage2,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,vkCmdCopyImage,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,vkCmdCopyImage2,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,vkCmdCopyImageToBuffer,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,vkCmdCopyImageToBuffer2,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,vkCmdCopyQueryPoolResults,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,vkCmdDispatch,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,vkCmdDispatchBase,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,vkCmdDispatchIndirect,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,vkCmdDraw,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,vkCmdDrawIndexed,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,vkCmdDrawIndexedIndirect,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,vkCmdDrawIndexedIndirectCount,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,vkCmdDrawIndirect,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,vkCmdDrawIndirectCount,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,vkCmdEndQuery,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,vkCmdEndRenderPass,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,vkCmdEndRenderPass2,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,vkCmdEndRendering,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,vkCmdExecuteCommands,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,vkCmdFillBuffer,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,vkCmdNextSubpass,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,vkCmdNextSubpass2,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,vkCmdPipelineBarrier,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,vkCmdPipelineBarrier2,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,vkCmdPushConstants,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,vkCmdResetEvent,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,vkCmdResetEvent2,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,vkCmdResetQueryPool,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,vkCmdResolveImage,,unknown,,,,,False,False,False,False,False,False,False
