ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,_floor_P,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,_mapping_P,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,_residue_P,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,vorbis_analysis,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,vorbis_analysis_blockout,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,vorbis_analysis_buffer,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,vorbis_analysis_headerout,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,vorbis_analysis_init,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,vorbis_analysis_wrote,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,vorbis_bitrate_addblock,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,vorbis_bitrate_flushpacket,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,vorbis_block_clear,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,vorbis_block_init,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,vorbis_comment_add,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,vorbis_comment_add_tag,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,vorbis_comment_clear,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,vorbis_comment_init,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,vorbis_comment_query,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,vorbis_comment_query_count,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,vorbis_commentheader_out,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,vorbis_dsp_clear,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,vorbis_encode_ctl,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,vorbis_encode_init,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,vorbis_encode_init_vbr,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,vorbis_encode_setup_init,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,vorbis_encode_setup_managed,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,vorbis_encode_setup_vbr,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,vorbis_granule_time,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,vorbis_info_blocksize,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,vorbis_info_clear,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,vorbis_info_init,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,vorbis_packet_blocksize,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,vorbis_synthesis,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,vorbis_synthesis_blockin,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,vorbis_synthesis_halfrate,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,vorbis_synthesis_halfrate_p,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,vorbis_synthesis_headerin,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,vorbis_synthesis_idheader,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,vorbis_synthesis_init,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,vorbis_synthesis_lapout,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,vorbis_synthesis_pcmout,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,vorbis_synthesis_read,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,vorbis_synthesis_restart,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,vorbis_synthesis_trackonly,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,vorbis_version_string,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,vorbis_window,,unknown,,,,,False,False,False,False,False,False,False
