ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,ov_bitrate,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,ov_bitrate_instant,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,ov_clear,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,ov_comment,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,ov_crosslap,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,ov_fopen,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,ov_halfrate,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,ov_halfrate_p,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,ov_info,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,ov_open,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,ov_open_callbacks,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,ov_pcm_seek,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,ov_pcm_seek_lap,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,ov_pcm_seek_page,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,ov_pcm_seek_page_lap,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,ov_pcm_tell,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,ov_pcm_total,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,ov_raw_seek,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,ov_raw_seek_lap,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,ov_raw_tell,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,ov_raw_total,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,ov_read,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,ov_read_float,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,ov_seekable,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,ov_serialnumber,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,ov_streams,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,ov_test,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,ov_test_callbacks,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,ov_test_open,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,ov_time_seek,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,ov_time_seek_lap,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,ov_time_seek_page,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,ov_time_seek_page_lap,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,ov_time_tell,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,ov_time_total,,unknown,,,,,False,False,False,False,False,False,False
