ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,AddDataChannel,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,AddIceCandidate,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,AddMixerSample,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,AddSamplePlayout,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,AddSourceSample,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,AddStream,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,AddTrack,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,Add_STUN_server,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,Add_TURN_server,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,ClearMixerSources,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,CloseAllPeerConnections,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,CloseAudioDeviceModule,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,CloseAudioMixer,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,ClosePeerConnection,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,ClosePeerConnectionFactory,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,CreateAnswer,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,CreateAudioDeviceModule,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,CreateAudioMixer,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,CreateExteranlSocketServer,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,CreateOffer,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,CreatePeerConnection,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,CreatePeerConnectionFactory,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,CreatePeerConnectionOffer,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,GetAudioDataObserver,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,GetPeerCallback,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,GetPlayoutDeviceData,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,GetPlayoutDevicesCount,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,GetRecordingDeviceData,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,GetRecordingDevicesCount,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,InitAudioDeviceModule,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,InitLoopBack,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,InitPlayout,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,InitRecording,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,Initialize,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,IsAudioModuleInitialized,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,IsPeerConnections,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,MicrophoneVolumeIsAvailable,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,OnOffOnAudioDataCallback,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,OnOffOnCaptureData,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,PeekMeterOnOff,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,Playing,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,PlayoutIsInitialized,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,PlayoutVolume,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,Recording,,unknown,,,,,False,False,False,False,False,False,False
