ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,adler32,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,adler32_combine,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,adler32_z,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,compress,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,compress2,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,compressBound,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,crc32,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,crc32_combine,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,crc32_combine_gen,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,crc32_combine_op,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,crc32_z,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,deflate,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,deflateBound,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,deflateCopy,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,deflateEnd,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,deflateGetDictionary,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,deflateInit2_,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,deflateInit_,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,deflateParams,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,deflatePending,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,deflatePrime,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,deflateReset,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,deflateResetKeep,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,deflateSetDictionary,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,deflateSetHeader,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,deflateTune,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,get_crc_table,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,gzbuffer,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,gzclearerr,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,gzclose,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,gzclose_r,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,gzclose_w,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,gzdirect,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,gzdopen,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,gzeof,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,gzerror,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,gzflush,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,gzfread,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,gzfwrite,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,gzgetc,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,gzgetc_,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,gzgets,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,gzoffset,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,gzopen,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,gzopen_w,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,gzprintf,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,gzputc,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,gzputs,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,gzread,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,gzrewind,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,gzseek,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,gzsetparams,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,gztell,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,gzungetc,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,gzvprintf,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,gzwrite,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,inflate,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,inflateBack,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,inflateBackEnd,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,inflateBackInit_,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,inflateCodesUsed,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,inflateCopy,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,inflateEnd,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,inflateGetDictionary,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,inflateGetHeader,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,inflateInit2_,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,inflateInit_,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,inflateMark,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,inflatePrime,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,inflateReset,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,inflateReset2,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,inflateResetKeep,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,inflateSetDictionary,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,inflateSync,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,inflateSyncPoint,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,inflateUndermine,,unknown,,,,,False,False,False,False,False,False,False
