ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,ZBUFF_compressContinue,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,ZBUFF_compressEnd,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,ZBUFF_compressFlush,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,ZBUFF_compressInit,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,ZBUFF_compressInitDictionary,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,ZBUFF_compressInit_advanced,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,ZBUFF_createCCtx,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,ZBUFF_createCCtx_advanced,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,ZBUFF_createDCtx,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,ZBUFF_createDCtx_advanced,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,ZBUFF_decompressContinue,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,ZBUFF_decompressInit,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,ZBUFF_decompressInitDictionary,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,ZBUFF_freeCCtx,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,ZBUFF_freeDCtx,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,ZBUFF_getErrorName,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,ZBUFF_isError,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,ZBUFF_recommendedCInSize,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,ZBUFF_recommendedCOutSize,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,ZBUFF_recommendedDInSize,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,ZBUFF_recommendedDOutSize,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,ZDICT_addEntropyTablesFromBuffer,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,ZDICT_finalizeDictionary,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,ZDICT_getDictHeaderSize,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,ZDICT_getDictID,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,ZDICT_getErrorName,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,ZDICT_isError,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,ZDICT_optimizeTrainFromBuffer_cover,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,ZDICT_optimizeTrainFromBuffer_fastCover,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,ZDICT_trainFromBuffer,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,ZDICT_trainFromBuffer_cover,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,ZDICT_trainFromBuffer_fastCover,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,ZDICT_trainFromBuffer_legacy,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,ZSTD_CCtxParams_getParameter,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,ZSTD_CCtxParams_init,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,ZSTD_CCtxParams_init_advanced,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,ZSTD_CCtxParams_reset,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,ZSTD_CCtxParams_setParameter,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,ZSTD_CCtx_getParameter,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,ZSTD_CCtx_loadDictionary,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,ZSTD_CCtx_loadDictionary_advanced,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,ZSTD_CCtx_loadDictionary_byReference,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,ZSTD_CCtx_refCDict,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,ZSTD_CCtx_refPrefix,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,ZSTD_CCtx_refPrefix_advanced,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,ZSTD_CCtx_refThreadPool,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,ZSTD_CCtx_reset,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,ZSTD_CCtx_setParameter,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,ZSTD_CCtx_setParametersUsingCCtxParams,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,ZSTD_CCtx_setPledgedSrcSize,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,ZSTD_CStreamInSize,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,ZSTD_CStreamOutSize,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,ZSTD_DCtx_getParameter,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,ZSTD_DCtx_loadDictionary,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,ZSTD_DCtx_loadDictionary_advanced,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,ZSTD_DCtx_loadDictionary_byReference,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,ZSTD_DCtx_refDDict,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,ZSTD_DCtx_refPrefix,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,ZSTD_DCtx_refPrefix_advanced,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,ZSTD_DCtx_reset,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,ZSTD_DCtx_setFormat,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,ZSTD_DCtx_setMaxWindowSize,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,ZSTD_DCtx_setParameter,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,ZSTD_DStreamInSize,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,ZSTD_DStreamOutSize,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,ZSTD_adjustCParams,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,ZSTD_cParam_getBounds,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,ZSTD_checkCParams,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,ZSTD_compress,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,ZSTD_compress2,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,ZSTD_compressBegin,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,ZSTD_compressBegin_advanced,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,ZSTD_compressBegin_usingCDict,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,ZSTD_compressBegin_usingCDict_advanced,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,ZSTD_compressBegin_usingDict,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,ZSTD_compressBlock,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,ZSTD_compressBound,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,ZSTD_compressCCtx,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,ZSTD_compressContinue,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,ZSTD_compressEnd,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,ZSTD_compressSequences,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,ZSTD_compressStream,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,ZSTD_compressStream2,,unknown,,,,,False,False,False,False,False,False,False
84,83,0x53,ZSTD_compressStream2_simpleArgs,,unknown,,,,,False,False,False,False,False,False,False
85,84,0x54,ZSTD_compress_advanced,,unknown,,,,,False,False,False,False,False,False,False
86,85,0x55,ZSTD_compress_usingCDict,,unknown,,,,,False,False,False,False,False,False,False
87,86,0x56,ZSTD_compress_usingCDict_advanced,,unknown,,,,,False,False,False,False,False,False,False
88,87,0x57,ZSTD_compress_usingDict,,unknown,,,,,False,False,False,False,False,False,False
89,88,0x58,ZSTD_copyCCtx,,unknown,,,,,False,False,False,False,False,False,False
90,89,0x59,ZSTD_copyDCtx,,unknown,,,,,False,False,False,False,False,False,False
91,90,0x5A,ZSTD_createCCtx,,unknown,,,,,False,False,False,False,False,False,False
92,91,0x5B,ZSTD_createCCtxParams,,unknown,,,,,False,False,False,False,False,False,False
93,92,0x5C,ZSTD_createCCtx_advanced,,unknown,,,,,False,False,False,False,False,False,False
94,93,0x5D,ZSTD_createCDict,,unknown,,,,,False,False,False,False,False,False,False
95,94,0x5E,ZSTD_createCDict_advanced,,unknown,,,,,False,False,False,False,False,False,False
96,95,0x5F,ZSTD_createCDict_advanced2,,unknown,,,,,False,False,False,False,False,False,False
97,96,0x60,ZSTD_createCDict_byReference,,unknown,,,,,False,False,False,False,False,False,False
98,97,0x61,ZSTD_createCStream,,unknown,,,,,False,False,False,False,False,False,False
99,98,0x62,ZSTD_createCStream_advanced,,unknown,,,,,False,False,False,False,False,False,False
100,99,0x63,ZSTD_createDCtx,,unknown,,,,,False,False,False,False,False,False,False
101,100,0x64,ZSTD_createDCtx_advanced,,unknown,,,,,False,False,False,False,False,False,False
102,101,0x65,ZSTD_createDDict,,unknown,,,,,False,False,False,False,False,False,False
103,102,0x66,ZSTD_createDDict_advanced,,unknown,,,,,False,False,False,False,False,False,False
104,103,0x67,ZSTD_createDDict_byReference,,unknown,,,,,False,False,False,False,False,False,False
105,104,0x68,ZSTD_createDStream,,unknown,,,,,False,False,False,False,False,False,False
106,105,0x69,ZSTD_createDStream_advanced,,unknown,,,,,False,False,False,False,False,False,False
107,106,0x6A,ZSTD_createThreadPool,,unknown,,,,,False,False,False,False,False,False,False
108,107,0x6B,ZSTD_dParam_getBounds,,unknown,,,,,False,False,False,False,False,False,False
109,108,0x6C,ZSTD_decodingBufferSize_min,,unknown,,,,,False,False,False,False,False,False,False
110,109,0x6D,ZSTD_decompress,,unknown,,,,,False,False,False,False,False,False,False
111,110,0x6E,ZSTD_decompressBegin,,unknown,,,,,False,False,False,False,False,False,False
112,111,0x6F,ZSTD_decompressBegin_usingDDict,,unknown,,,,,False,False,False,False,False,False,False
113,112,0x70,ZSTD_decompressBegin_usingDict,,unknown,,,,,False,False,False,False,False,False,False
114,113,0x71,ZSTD_decompressBlock,,unknown,,,,,False,False,False,False,False,False,False
115,114,0x72,ZSTD_decompressBound,,unknown,,,,,False,False,False,False,False,False,False
116,115,0x73,ZSTD_decompressContinue,,unknown,,,,,False,False,False,False,False,False,False
117,116,0x74,ZSTD_decompressDCtx,,unknown,,,,,False,False,False,False,False,False,False
118,117,0x75,ZSTD_decompressStream,,unknown,,,,,False,False,False,False,False,False,False
119,118,0x76,ZSTD_decompressStream_simpleArgs,,unknown,,,,,False,False,False,False,False,False,False
120,119,0x77,ZSTD_decompress_usingDDict,,unknown,,,,,False,False,False,False,False,False,False
121,120,0x78,ZSTD_decompress_usingDict,,unknown,,,,,False,False,False,False,False,False,False
122,121,0x79,ZSTD_endStream,,unknown,,,,,False,False,False,False,False,False,False
123,122,0x7A,ZSTD_estimateCCtxSize,,unknown,,,,,False,False,False,False,False,False,False
124,123,0x7B,ZSTD_estimateCCtxSize_usingCCtxParams,,unknown,,,,,False,False,False,False,False,False,False
125,124,0x7C,ZSTD_estimateCCtxSize_usingCParams,,unknown,,,,,False,False,False,False,False,False,False
126,125,0x7D,ZSTD_estimateCDictSize,,unknown,,,,,False,False,False,False,False,False,False
127,126,0x7E,ZSTD_estimateCDictSize_advanced,,unknown,,,,,False,False,False,False,False,False,False
128,127,0x7F,ZSTD_estimateCStreamSize,,unknown,,,,,False,False,False,False,False,False,False
129,128,0x80,ZSTD_estimateCStreamSize_usingCCtxParams,,unknown,,,,,False,False,False,False,False,False,False
130,129,0x81,ZSTD_estimateCStreamSize_usingCParams,,unknown,,,,,False,False,False,False,False,False,False
131,130,0x82,ZSTD_estimateDCtxSize,,unknown,,,,,False,False,False,False,False,False,False
132,131,0x83,ZSTD_estimateDDictSize,,unknown,,,,,False,False,False,False,False,False,False
133,132,0x84,ZSTD_estimateDStreamSize,,unknown,,,,,False,False,False,False,False,False,False
134,133,0x85,ZSTD_estimateDStreamSize_fromFrame,,unknown,,,,,False,False,False,False,False,False,False
135,134,0x86,ZSTD_findDecompressedSize,,unknown,,,,,False,False,False,False,False,False,False
136,135,0x87,ZSTD_findFrameCompressedSize,,unknown,,,,,False,False,False,False,False,False,False
137,136,0x88,ZSTD_flushStream,,unknown,,,,,False,False,False,False,False,False,False
138,137,0x89,ZSTD_frameHeaderSize,,unknown,,,,,False,False,False,False,False,False,False
139,138,0x8A,ZSTD_freeCCtx,,unknown,,,,,False,False,False,False,False,False,False
140,139,0x8B,ZSTD_freeCCtxParams,,unknown,,,,,False,False,False,False,False,False,False
141,140,0x8C,ZSTD_freeCDict,,unknown,,,,,False,False,False,False,False,False,False
142,141,0x8D,ZSTD_freeCStream,,unknown,,,,,False,False,False,False,False,False,False
143,142,0x8E,ZSTD_freeDCtx,,unknown,,,,,False,False,False,False,False,False,False
144,143,0x8F,ZSTD_freeDDict,,unknown,,,,,False,False,False,False,False,False,False
145,144,0x90,ZSTD_freeDStream,,unknown,,,,,False,False,False,False,False,False,False
146,145,0x91,ZSTD_freeThreadPool,,unknown,,,,,False,False,False,False,False,False,False
147,146,0x92,ZSTD_generateSequences,,unknown,,,,,False,False,False,False,False,False,False
148,147,0x93,ZSTD_getBlockSize,,unknown,,,,,False,False,False,False,False,False,False
149,148,0x94,ZSTD_getCParams,,unknown,,,,,False,False,False,False,False,False,False
150,149,0x95,ZSTD_getDecompressedSize,,unknown,,,,,False,False,False,False,False,False,False
151,150,0x96,ZSTD_getDictID_fromCDict,,unknown,,,,,False,False,False,False,False,False,False
152,151,0x97,ZSTD_getDictID_fromDDict,,unknown,,,,,False,False,False,False,False,False,False
153,152,0x98,ZSTD_getDictID_fromDict,,unknown,,,,,False,False,False,False,False,False,False
154,153,0x99,ZSTD_getDictID_fromFrame,,unknown,,,,,False,False,False,False,False,False,False
155,154,0x9A,ZSTD_getErrorCode,,unknown,,,,,False,False,False,False,False,False,False
156,155,0x9B,ZSTD_getErrorName,,unknown,,,,,False,False,False,False,False,False,False
157,156,0x9C,ZSTD_getErrorString,,unknown,,,,,False,False,False,False,False,False,False
158,157,0x9D,ZSTD_getFrameContentSize,,unknown,,,,,False,False,False,False,False,False,False
159,158,0x9E,ZSTD_getFrameHeader,,unknown,,,,,False,False,False,False,False,False,False
160,159,0x9F,ZSTD_getFrameHeader_advanced,,unknown,,,,,False,False,False,False,False,False,False
161,160,0xA0,ZSTD_getFrameProgression,,unknown,,,,,False,False,False,False,False,False,False
162,161,0xA1,ZSTD_getParams,,unknown,,,,,False,False,False,False,False,False,False
163,162,0xA2,ZSTD_initCStream,,unknown,,,,,False,False,False,False,False,False,False
164,163,0xA3,ZSTD_initCStream_advanced,,unknown,,,,,False,False,False,False,False,False,False
