ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AIAerodyneFM@AIFM@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::AIFM::AIAerodyneFM::AIAerodyneFM(class EagleFM::AIFM::AIAerodyneFM const &),method,EagleFM::AIFM,AIAerodyneFM,AIAerodyneFM,class EagleFM::AIFM::AIAerodyneFM const &,False,False,False,False,False,False,True
2,1,0x1,??0AIAerodyneFM@AIFM@EagleFM@@QEAA@N@Z,public: __cdecl EagleFM::AIFM::AIAerodyneFM::AIAerodyneFM(double),method,EagleFM::AIFM,AIAerodyneFM,AIAerodyneFM,double,False,False,False,False,False,False,True
3,2,0x2,??0AIAerodyneFM@AIFM@EagleFM@@QEAA@PEAVIwoLA@@AEBVAIAerodyneInit@12@N@Z,"public: __cdecl EagleFM::AIFM::AIAerodyneFM::AIAerodyneFM(class IwoLA *, class EagleFM::AIFM::AIAerodyneInit const &, double)",method,EagleFM::AIFM,AIAerodyneFM,AIAerodyneFM,"class IwoLA *, class EagleFM::AIFM::AIAerodyneInit const &, double",False,False,False,False,False,False,True
4,3,0x3,??0AIAerodyneInit@AIFM@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AIFM::AIAerodyneInit::AIAerodyneInit(void),method,EagleFM::AIFM,AIAerodyneInit,AIAerodyneInit,void,False,False,False,False,False,False,True
5,4,0x4,??0AIGearPost@AIFM@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::AIFM::AIGearPost::AIGearPost(class EagleFM::AIFM::AIGearPost const &),method,EagleFM::AIFM,AIGearPost,AIGearPost,class EagleFM::AIFM::AIGearPost const &,False,False,False,False,False,False,True
6,5,0x5,??0AIGearPost@AIFM@EagleFM@@QEAA@PEAVDynamicBody@2@@Z,public: __cdecl EagleFM::AIFM::AIGearPost::AIGearPost(class EagleFM::DynamicBody *),method,EagleFM::AIFM,AIGearPost,AIGearPost,class EagleFM::DynamicBody *,False,False,False,False,False,False,True
7,6,0x6,??0AIGearPost@AIFM@EagleFM@@QEAA@PEAVDynamicBody@2@AEBUAIGearPostInit@12@@Z,"public: __cdecl EagleFM::AIFM::AIGearPost::AIGearPost(class EagleFM::DynamicBody *, struct EagleFM::AIFM::AIGearPostInit const &)",method,EagleFM::AIFM,AIGearPost,AIGearPost,"class EagleFM::DynamicBody *, struct EagleFM::AIFM::AIGearPostInit const &",False,False,False,False,False,False,True
8,7,0x7,??0AIGearPostInit@AIFM@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AIFM::AIGearPostInit::AIGearPostInit(void),method,EagleFM::AIFM,AIGearPostInit,AIGearPostInit,void,False,False,False,False,False,False,True
9,8,0x8,??0AIHAirplane@AIFM@EagleFM@@QEAA@$$QEAV012@@Z,public: __cdecl EagleFM::AIFM::AIHAirplane::AIHAirplane(class EagleFM::AIFM::AIHAirplane &&),method,EagleFM::AIFM,AIHAirplane,AIHAirplane,class EagleFM::AIFM::AIHAirplane &&,False,False,False,False,False,False,True
10,9,0x9,??0AIHAirplane@AIFM@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::AIFM::AIHAirplane::AIHAirplane(class EagleFM::AIFM::AIHAirplane const &),method,EagleFM::AIFM,AIHAirplane,AIHAirplane,class EagleFM::AIFM::AIHAirplane const &,False,False,False,False,False,False,True
11,10,0xA,??0AIHAirplane@AIFM@EagleFM@@QEAA@PEAVDynamicBody@2@@Z,public: __cdecl EagleFM::AIFM::AIHAirplane::AIHAirplane(class EagleFM::DynamicBody *),method,EagleFM::AIFM,AIHAirplane,AIHAirplane,class EagleFM::DynamicBody *,False,False,False,False,False,False,True
12,11,0xB,??0AIHAirplane@AIFM@EagleFM@@QEAA@PEAVDynamicBody@2@AEBVAIHAirplaneInit@12@@Z,"public: __cdecl EagleFM::AIFM::AIHAirplane::AIHAirplane(class EagleFM::DynamicBody *, class EagleFM::AIFM::AIHAirplaneInit const &)",method,EagleFM::AIFM,AIHAirplane,AIHAirplane,"class EagleFM::DynamicBody *, class EagleFM::AIFM::AIHAirplaneInit const &",False,False,False,False,False,False,True
13,12,0xC,??0AIHAirplaneInit@AIFM@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AIFM::AIHAirplaneInit::AIHAirplaneInit(void),method,EagleFM::AIFM,AIHAirplaneInit,AIHAirplaneInit,void,False,False,False,False,False,False,True
14,13,0xD,??0AIHelicopterFM@AIFM@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::AIFM::AIHelicopterFM::AIHelicopterFM(class EagleFM::AIFM::AIHelicopterFM const &),method,EagleFM::AIFM,AIHelicopterFM,AIHelicopterFM,class EagleFM::AIFM::AIHelicopterFM const &,False,False,False,False,False,False,True
15,14,0xE,??0AIHelicopterFM@AIFM@EagleFM@@QEAA@PEAVIwoLA@@AEBVAIHelicopterInit@12@@Z,"public: __cdecl EagleFM::AIFM::AIHelicopterFM::AIHelicopterFM(class IwoLA *, class EagleFM::AIFM::AIHelicopterInit const &)",method,EagleFM::AIFM,AIHelicopterFM,AIHelicopterFM,"class IwoLA *, class EagleFM::AIFM::AIHelicopterInit const &",False,False,False,False,False,False,True
16,15,0xF,??0AIHelicopterFM@AIFM@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AIFM::AIHelicopterFM::AIHelicopterFM(void),method,EagleFM::AIFM,AIHelicopterFM,AIHelicopterFM,void,False,False,False,False,False,False,True
17,16,0x10,??0AIHelicopterInit@AIFM@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AIFM::AIHelicopterInit::AIHelicopterInit(void),method,EagleFM::AIFM,AIHelicopterInit,AIHelicopterInit,void,False,False,False,False,False,False,True
18,17,0x11,??0AIPlaneEngine@AIFM@EagleFM@@QEAA@$$QEAV012@@Z,public: __cdecl EagleFM::AIFM::AIPlaneEngine::AIPlaneEngine(class EagleFM::AIFM::AIPlaneEngine &&),method,EagleFM::AIFM,AIPlaneEngine,AIPlaneEngine,class EagleFM::AIFM::AIPlaneEngine &&,False,False,False,False,False,False,True
19,18,0x12,??0AIPlaneEngine@AIFM@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::AIFM::AIPlaneEngine::AIPlaneEngine(class EagleFM::AIFM::AIPlaneEngine const &),method,EagleFM::AIFM,AIPlaneEngine,AIPlaneEngine,class EagleFM::AIFM::AIPlaneEngine const &,False,False,False,False,False,False,True
20,19,0x13,??0AIPlaneEngine@AIFM@EagleFM@@QEAA@AEBVAIPlaneFM@12@@Z,public: __cdecl EagleFM::AIFM::AIPlaneEngine::AIPlaneEngine(class EagleFM::AIFM::AIPlaneFM const &),method,EagleFM::AIFM,AIPlaneEngine,AIPlaneEngine,class EagleFM::AIFM::AIPlaneFM const &,False,False,False,False,False,False,True
