ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??class_name@ceBoundingMeshBox@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceBoundingMeshBox::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??class_name@ceBoundingTexBox@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceBoundingTexBox::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,?$TSS0@?1??class_name@ceCircle@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceCircle::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,?$TSS0@?1??class_name@ceGeometryClone@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceGeometryClone::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
5,4,0x4,?$TSS0@?1??class_name@ceHWLine@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceHWLine::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
6,5,0x5,?$TSS0@?1??class_name@ceHWSector@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceHWSector::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,?$TSS0@?1??class_name@ceHint@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceHint::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
8,7,0x7,?$TSS0@?1??class_name@ceMeshPoly@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceMeshPoly::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
9,8,0x8,?$TSS0@?1??class_name@ceParsedElement@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceParsedElement::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
10,9,0x9,?$TSS0@?1??class_name@ceSCircle@cockpit@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl cockpit::ceSCircle::class_name(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
