ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0BuilderRenderer@FumeFX@@QEAA@AEAVBuilder@1@@Z,public: __cdecl FumeFX::BuilderRenderer::BuilderRenderer(class FumeFX::Builder &),method,FumeFX,BuilderRenderer,BuilderRenderer,class FumeFX::Builder &,False,False,False,False,False,False,True
2,1,0x1,??0OMesh@Effects@@QEAA@AEBV01@@Z,public: __cdecl Effects::OMesh::OMesh(class Effects::OMesh const &),method,Effects,OMesh,OMesh,class Effects::OMesh const &,False,False,False,False,False,False,True
3,2,0x2,??0OMesh@Effects@@QEAA@XZ,public: __cdecl Effects::OMesh::OMesh(void),method,Effects,OMesh,OMesh,void,False,False,False,False,False,False,True
4,3,0x3,??0OPSManager@Effects@@QEAA@XZ,public: __cdecl Effects::OPSManager::OPSManager(void),method,Effects,OPSManager,OPSManager,void,False,False,False,False,False,False,True
5,4,0x4,??0OParticleSystem@Effects@@QEAA@AEBV01@@Z,public: __cdecl Effects::OParticleSystem::OParticleSystem(class Effects::OParticleSystem const &),method,Effects,OParticleSystem,OParticleSystem,class Effects::OParticleSystem const &,False,False,False,False,False,False,True
6,5,0x5,??0OParticleSystem@Effects@@QEAA@XZ,public: __cdecl Effects::OParticleSystem::OParticleSystem(void),method,Effects,OParticleSystem,OParticleSystem,void,False,False,False,False,False,False,True
7,6,0x6,??0OPrecipitation@Effects@@QEAA@XZ,public: __cdecl Effects::OPrecipitation::OPrecipitation(void),method,Effects,OPrecipitation,OPrecipitation,void,False,False,False,False,False,False,True
8,7,0x7,??0OpenParams@Builder@FumeFX@@QEAA@XZ,public: __cdecl FumeFX::Builder::OpenParams::OpenParams(void),method,FumeFX::Builder,OpenParams,OpenParams,void,False,False,False,False,False,False,True
9,8,0x8,??0Rain@Effects@@QEAA@AEBV01@@Z,public: __cdecl Effects::Rain::Rain(class Effects::Rain const &),method,Effects,Rain,Rain,class Effects::Rain const &,False,False,False,False,False,False,True
10,9,0x9,??0Rain@Effects@@QEAA@XZ,public: __cdecl Effects::Rain::Rain(void),method,Effects,Rain,Rain,void,False,False,False,False,False,False,True
11,10,0xA,??0Spline@Builder@FumeFX@@QEAA@$$QEAU012@@Z,public: __cdecl FumeFX::Builder::Spline::Spline(struct FumeFX::Builder::Spline &&),method,FumeFX::Builder,Spline,Spline,struct FumeFX::Builder::Spline &&,False,False,False,False,False,False,True
12,11,0xB,??0Spline@Builder@FumeFX@@QEAA@AEBU012@@Z,public: __cdecl FumeFX::Builder::Spline::Spline(struct FumeFX::Builder::Spline const &),method,FumeFX::Builder,Spline,Spline,struct FumeFX::Builder::Spline const &,False,False,False,False,False,False,True
13,12,0xC,??0Spline@Builder@FumeFX@@QEAA@XZ,public: __cdecl FumeFX::Builder::Spline::Spline(void),method,FumeFX::Builder,Spline,Spline,void,False,False,False,False,False,False,True
14,13,0xD,??0WeightInfo@Builder@FumeFX@@QEAA@XZ,public: __cdecl FumeFX::Builder::WeightInfo::WeightInfo(void),method,FumeFX::Builder,WeightInfo,WeightInfo,void,False,False,False,False,False,False,True
15,14,0xE,??1Builder@FumeFX@@QEAA@XZ,public: __cdecl FumeFX::Builder::~Builder(void),method,FumeFX,Builder,~Builder,void,False,False,False,False,False,False,True
16,15,0xF,??1OMesh@Effects@@QEAA@XZ,public: __cdecl Effects::OMesh::~OMesh(void),method,Effects,OMesh,~OMesh,void,False,False,False,False,False,False,True
17,16,0x10,??1OPSManager@Effects@@UEAA@XZ,public: virtual __cdecl Effects::OPSManager::~OPSManager(void),method,Effects,OPSManager,~OPSManager,void,False,False,True,False,False,False,True
18,17,0x11,??1OParticleSystem@Effects@@UEAA@XZ,public: virtual __cdecl Effects::OParticleSystem::~OParticleSystem(void),method,Effects,OParticleSystem,~OParticleSystem,void,False,False,True,False,False,False,True
19,18,0x12,??1OPrecipitation@Effects@@QEAA@XZ,public: __cdecl Effects::OPrecipitation::~OPrecipitation(void),method,Effects,OPrecipitation,~OPrecipitation,void,False,False,False,False,False,False,True
20,19,0x13,??1PipeSmokeRenderer@Effects@@QEAA@XZ,public: __cdecl Effects::PipeSmokeRenderer::~PipeSmokeRenderer(void),method,Effects,PipeSmokeRenderer,~PipeSmokeRenderer,void,False,False,False,False,False,False,True
21,20,0x14,??1Rain@Effects@@QEAA@XZ,public: __cdecl Effects::Rain::~Rain(void),method,Effects,Rain,~Rain,void,False,False,False,False,False,False,True
