ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ADElement@EagleFM@@QEAA@AEBV01@@Z,public: __cdecl EagleFM::ADElement::ADElement(class EagleFM::ADElement const &),method,EagleFM,ADElement,ADElement,class EagleFM::ADElement const &,False,False,False,False,False,False,True
2,1,0x1,??0ADElement@EagleFM@@QEAA@PEAVAerodynamicBody@1@@Z,public: __cdecl EagleFM::ADElement::ADElement(class EagleFM::AerodynamicBody *),method,EagleFM,ADElement,ADElement,class EagleFM::AerodynamicBody *,False,False,False,False,False,False,True
3,2,0x2,??0ADElement@EagleFM@@QEAA@PEAVAerodynamicBody@1@AEBUDynamicState@1@@Z,"public: __cdecl EagleFM::ADElement::ADElement(class EagleFM::AerodynamicBody *, struct EagleFM::DynamicState const &)",method,EagleFM,ADElement,ADElement,"class EagleFM::AerodynamicBody *, struct EagleFM::DynamicState const &",False,False,False,False,False,False,True
4,3,0x3,??0APU@EagleFM@@QEAA@AEBV01@@Z,public: __cdecl EagleFM::APU::APU(class EagleFM::APU const &),method,EagleFM,APU,APU,class EagleFM::APU const &,False,False,False,False,False,False,True
5,4,0x4,??0APU@EagleFM@@QEAA@PEAVDynamicBody@1@PEAVFuelPipeline@1@N@Z,"public: __cdecl EagleFM::APU::APU(class EagleFM::DynamicBody *, class EagleFM::FuelPipeline *, double)",method,EagleFM,APU,APU,"class EagleFM::DynamicBody *, class EagleFM::FuelPipeline *, double",False,False,False,False,False,False,True
6,5,0x5,??0AbrasionCalculator@EagleFM@@QEAA@AEBV01@@Z,public: __cdecl EagleFM::AbrasionCalculator::AbrasionCalculator(class EagleFM::AbrasionCalculator const &),method,EagleFM,AbrasionCalculator,AbrasionCalculator,class EagleFM::AbrasionCalculator const &,False,False,False,False,False,False,True
7,6,0x6,??0AbrasionCalculator@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::AbrasionCalculator::AbrasionCalculator(void),method,EagleFM,AbrasionCalculator,AbrasionCalculator,void,False,False,False,False,False,False,True
8,7,0x7,??0Accelerometer@EagleFM@@QEAA@$$QEAV01@@Z,public: __cdecl EagleFM::Accelerometer::Accelerometer(class EagleFM::Accelerometer &&),method,EagleFM,Accelerometer,Accelerometer,class EagleFM::Accelerometer &&,False,False,False,False,False,False,True
9,8,0x8,??0Accelerometer@EagleFM@@QEAA@AEBV01@@Z,public: __cdecl EagleFM::Accelerometer::Accelerometer(class EagleFM::Accelerometer const &),method,EagleFM,Accelerometer,Accelerometer,class EagleFM::Accelerometer const &,False,False,False,False,False,False,True
10,9,0x9,??0Accelerometer@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::Accelerometer::Accelerometer(void),method,EagleFM,Accelerometer,Accelerometer,void,False,False,False,False,False,False,True
