ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AnimHolder@Graphics@@QEAA@HN@Z,"public: __cdecl Graphics::AnimHolder::AnimHolder(int, double)",method,Graphics,AnimHolder,AnimHolder,"int, double",False,False,False,False,False,False,True
2,1,0x1,??0Camera@Graphics@@QEAA@W4Type@01@@Z,public: __cdecl Graphics::Camera::Camera(enum Graphics::Camera::Type),method,Graphics,Camera,Camera,enum Graphics::Camera::Type,False,False,False,False,False,False,True
3,2,0x2,??0Context@Graphics@@QEAA@XZ,public: __cdecl Graphics::Context::Context(void),method,Graphics,Context,Context,void,False,False,False,False,False,False,True
4,3,0x3,??0CustomMaterial_Impl@Graphics@@QEAA@XZ,public: __cdecl Graphics::CustomMaterial_Impl::CustomMaterial_Impl(void),method,Graphics,CustomMaterial_Impl,CustomMaterial_Impl,void,False,False,False,False,False,False,True
5,4,0x4,??0DXProjLight@Graphics@@QEAA@AEBV01@@Z,public: __cdecl Graphics::DXProjLight::DXProjLight(class Graphics::DXProjLight const &),method,Graphics,DXProjLight,DXProjLight,class Graphics::DXProjLight const &,False,False,False,False,False,False,True
6,5,0x5,??0DXProjLight@Graphics@@QEAA@XZ,public: __cdecl Graphics::DXProjLight::DXProjLight(void),method,Graphics,DXProjLight,DXProjLight,void,False,False,False,False,False,False,True
7,6,0x6,??0DefResourceManager@@QEAA@$$QEAV0@@Z,public: __cdecl DefResourceManager::DefResourceManager(class DefResourceManager &&),method,,DefResourceManager,DefResourceManager,class DefResourceManager &&,False,False,False,False,False,False,True
8,7,0x7,??0DefResourceManager@@QEAA@AEBV0@@Z,public: __cdecl DefResourceManager::DefResourceManager(class DefResourceManager const &),method,,DefResourceManager,DefResourceManager,class DefResourceManager const &,False,False,False,False,False,False,True
9,8,0x8,??0DefResourceManager@@QEAA@AEBV?$basic_string@D@ed@@@Z,public: __cdecl DefResourceManager::DefResourceManager(class ed::basic_string<char> const &),method,,DefResourceManager,DefResourceManager,class ed::basic_string<char> const &,False,False,False,False,False,False,True
10,9,0x9,??0ImmediateRenderParser@Graphics@@QEAA@XZ,public: __cdecl Graphics::ImmediateRenderParser::ImmediateRenderParser(void),method,Graphics,ImmediateRenderParser,ImmediateRenderParser,void,False,False,False,False,False,False,True
