ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?getCurrentThreatChart@@YAPEAVICurrentThreatChart@@XZ,class ICurrentThreatChart * __cdecl getCurrentThreatChart(void),function,,,getCurrentThreatChart,void,False,False,False,False,False,False,True
2,1,0x1,?getIngameOverlay@@YAPEAVIIngameOverlay@@XZ,class IIngameOverlay * __cdecl getIngameOverlay(void),function,,,getIngameOverlay,void,False,False,False,False,False,False,True
3,2,0x2,?getMissionScore@@YAPEAVIMissionScore@@XZ,class IMissionScore * __cdecl getMissionScore(void),function,,,getMissionScore,void,False,False,False,False,False,False,True
4,3,0x3,?getScoreStatistics@@YAPEAVIScoreStatistics@@XZ,class IScoreStatistics * __cdecl getScoreStatistics(void),function,,,getScoreStatistics,void,False,False,False,False,False,False,True
5,4,0x4,?releaseCurrentThreatChart@@YAXXZ,void __cdecl releaseCurrentThreatChart(void),function,,,releaseCurrentThreatChart,void,False,False,False,False,False,False,True
6,5,0x5,?releaseIngameOverlay@@YAXXZ,void __cdecl releaseIngameOverlay(void),function,,,releaseIngameOverlay,void,False,False,False,False,False,False,True
7,6,0x6,?releaseMissionScore@@YAXXZ,void __cdecl releaseMissionScore(void),function,,,releaseMissionScore,void,False,False,False,False,False,False,True
8,7,0x7,?releaseScoreStatistics@@YAXXZ,void __cdecl releaseScoreStatistics(void),function,,,releaseScoreStatistics,void,False,False,False,False,False,False,True
9,8,0x8,?requestCurrentThreatChart@@YAPEAVICurrentThreatChart@@XZ,class ICurrentThreatChart * __cdecl requestCurrentThreatChart(void),function,,,requestCurrentThreatChart,void,False,False,False,False,False,False,True
10,9,0x9,?requestIngameOverlay@@YAPEAVIIngameOverlay@@XZ,class IIngameOverlay * __cdecl requestIngameOverlay(void),function,,,requestIngameOverlay,void,False,False,False,False,False,False,True
11,10,0xA,?requestMissionScore@@YAPEAVIMissionScore@@XZ,class IMissionScore * __cdecl requestMissionScore(void),function,,,requestMissionScore,void,False,False,False,False,False,False,True
12,11,0xB,?requestScoreStatistics@@YAPEAVIScoreStatistics@@XZ,class IScoreStatistics * __cdecl requestScoreStatistics(void),function,,,requestScoreStatistics,void,False,False,False,False,False,False,True
13,12,0xC,luaopen_IngameOverlay,,unknown,,,,,False,False,False,False,False,False,False
