ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ICameraSteeringManager@@QEAA@AEBV0@@Z,public: __cdecl ICameraSteeringManager::ICameraSteeringManager(class ICameraSteeringManager const &),method,,ICameraSteeringManager,ICameraSteeringManager,class ICameraSteeringManager const &,False,False,False,False,False,False,True
2,1,0x1,??0ICameraSteeringManager@@QEAA@XZ,public: __cdecl ICameraSteeringManager::ICameraSteeringManager(void),method,,ICameraSteeringManager,ICameraSteeringManager,void,False,False,False,False,False,False,True
3,2,0x2,??0ICameraSteeringPoint@@QEAA@AEBV0@@Z,public: __cdecl ICameraSteeringPoint::ICameraSteeringPoint(class ICameraSteeringPoint const &),method,,ICameraSteeringPoint,ICameraSteeringPoint,class ICameraSteeringPoint const &,False,False,False,False,False,False,True
4,3,0x3,??0ICameraSteeringPoint@@QEAA@XZ,public: __cdecl ICameraSteeringPoint::ICameraSteeringPoint(void),method,,ICameraSteeringPoint,ICameraSteeringPoint,void,False,False,False,False,False,False,True
5,4,0x4,??0ICommandDialogsPanel@@QEAA@AEBV0@@Z,public: __cdecl ICommandDialogsPanel::ICommandDialogsPanel(class ICommandDialogsPanel const &),method,,ICommandDialogsPanel,ICommandDialogsPanel,class ICommandDialogsPanel const &,False,False,False,False,False,False,True
6,5,0x5,??0ICommandDialogsPanel@@QEAA@XZ,public: __cdecl ICommandDialogsPanel::ICommandDialogsPanel(void),method,,ICommandDialogsPanel,ICommandDialogsPanel,void,False,False,False,False,False,False,True
7,6,0x6,??0ITerrainEntryPoint@edterrain@@QEAA@XZ,public: __cdecl edterrain::ITerrainEntryPoint::ITerrainEntryPoint(void),method,edterrain,ITerrainEntryPoint,ITerrainEntryPoint,void,False,False,False,False,False,False,True
8,7,0x7,??0ITerrainGraphicsEntryPoint@edterrain@@QEAA@XZ,public: __cdecl edterrain::ITerrainGraphicsEntryPoint::ITerrainGraphicsEntryPoint(void),method,edterrain,ITerrainGraphicsEntryPoint,ITerrainGraphicsEntryPoint,void,False,False,False,False,False,False,True
9,8,0x8,??0RunawayFilterSink@@QEAA@PEAVIRoadNetwork@edterrain@@@Z,public: __cdecl RunawayFilterSink::RunawayFilterSink(class edterrain::IRoadNetwork *),method,,RunawayFilterSink,RunawayFilterSink,class edterrain::IRoadNetwork *,False,False,False,False,False,False,True
10,9,0x9,??1DcsSlotsDispatcher@render@@UEAA@XZ,public: virtual __cdecl render::DcsSlotsDispatcher::~DcsSlotsDispatcher(void),method,render,DcsSlotsDispatcher,~DcsSlotsDispatcher,void,False,False,True,False,False,False,True
11,10,0xA,??1EdgeSlotsDispatcher@render@@UEAA@XZ,public: virtual __cdecl render::EdgeSlotsDispatcher::~EdgeSlotsDispatcher(void),method,render,EdgeSlotsDispatcher,~EdgeSlotsDispatcher,void,False,False,True,False,False,False,True
12,11,0xB,??1ICameraSteeringManager@@UEAA@XZ,public: virtual __cdecl ICameraSteeringManager::~ICameraSteeringManager(void),method,,ICameraSteeringManager,~ICameraSteeringManager,void,False,False,True,False,False,False,True
13,12,0xC,??1ICameraSteeringPoint@@UEAA@XZ,public: virtual __cdecl ICameraSteeringPoint::~ICameraSteeringPoint(void),method,,ICameraSteeringPoint,~ICameraSteeringPoint,void,False,False,True,False,False,False,True
14,13,0xD,??1ICommandDialogsPanel@@UEAA@XZ,public: virtual __cdecl ICommandDialogsPanel::~ICommandDialogsPanel(void),method,,ICommandDialogsPanel,~ICommandDialogsPanel,void,False,False,True,False,False,False,True
15,14,0xE,??1IOptions@@UEAA@XZ,public: virtual __cdecl IOptions::~IOptions(void),method,,IOptions,~IOptions,void,False,False,True,False,False,False,True
16,15,0xF,??1ISlotsDispatcher@render@@UEAA@XZ,public: virtual __cdecl render::ISlotsDispatcher::~ISlotsDispatcher(void),method,render,ISlotsDispatcher,~ISlotsDispatcher,void,False,False,True,False,False,False,True
17,16,0x10,??1ITerrainEntryPoint@edterrain@@QEAA@XZ,public: __cdecl edterrain::ITerrainEntryPoint::~ITerrainEntryPoint(void),method,edterrain,ITerrainEntryPoint,~ITerrainEntryPoint,void,False,False,False,False,False,False,True
18,17,0x11,??1ITerrainGraphicsEntryPoint@edterrain@@QEAA@XZ,public: __cdecl edterrain::ITerrainGraphicsEntryPoint::~ITerrainGraphicsEntryPoint(void),method,edterrain,ITerrainGraphicsEntryPoint,~ITerrainGraphicsEntryPoint,void,False,False,False,False,False,False,True
19,18,0x12,??1IwNetObject@@MEAA@XZ,protected: virtual __cdecl IwNetObject::~IwNetObject(void),method,,IwNetObject,~IwNetObject,void,False,False,True,False,False,False,True
20,19,0x13,??4ICameraSteeringManager@@QEAAAEAV0@AEBV0@@Z,public: class ICameraSteeringManager & __cdecl ICameraSteeringManager::operator=(class ICameraSteeringManager const &),symbol,,,,,False,False,False,False,False,False,True
21,20,0x14,??4ICameraSteeringPoint@@QEAAAEAV0@AEBV0@@Z,public: class ICameraSteeringPoint & __cdecl ICameraSteeringPoint::operator=(class ICameraSteeringPoint const &),symbol,,,,,False,False,False,False,False,False,True
22,21,0x15,??4ICommandDialogsPanel@@QEAAAEAV0@AEBV0@@Z,public: class ICommandDialogsPanel & __cdecl ICommandDialogsPanel::operator=(class ICommandDialogsPanel const &),symbol,,,,,False,False,False,False,False,False,True
23,22,0x16,??_7ICameraSteeringManager@@6B@,const ICameraSteeringManager::`vftable',vftable,,,,,False,False,False,True,False,False,True
24,23,0x17,??_7ICameraSteeringPoint@@6B@,const ICameraSteeringPoint::`vftable',vftable,,,,,False,False,False,True,False,False,True
25,24,0x18,??_7ICommandDialogsPanel@@6B@,const ICommandDialogsPanel::`vftable',vftable,,,,,False,False,False,True,False,False,True
26,25,0x19,?GetCurrentVoiceChatInstance@voicechat@@YAPEAVIVoiceChat@1@XZ,class voicechat::IVoiceChat * __cdecl voicechat::GetCurrentVoiceChatInstance(void),method,,voicechat,GetCurrentVoiceChatInstance,void,False,False,False,False,False,False,True
27,26,0x1A,?GetDefaultTerrain@ITerrain@edterrain@@SAPEAV12@XZ,public: static class edterrain::ITerrain * __cdecl edterrain::ITerrain::GetDefaultTerrain(void),method,edterrain,ITerrain,GetDefaultTerrain,void,False,True,False,False,False,False,True
28,27,0x1B,?GetDefaultTerrainGraphics@ITerrainGraphics@edterrain@@SAPEAV12@XZ,public: static class edterrain::ITerrainGraphics * __cdecl edterrain::ITerrainGraphics::GetDefaultTerrainGraphics(void),method,edterrain,ITerrainGraphics,GetDefaultTerrainGraphics,void,False,True,False,False,False,False,True
29,28,0x1C,?SetCurrentVoiceChatInstance@voicechat@@YAXPEAVIVoiceChat@1@@Z,void __cdecl voicechat::SetCurrentVoiceChatInstance(class voicechat::IVoiceChat *),method,,voicechat,SetCurrentVoiceChatInstance,class voicechat::IVoiceChat *,False,False,False,False,False,False,True
30,29,0x1D,?SetDefaultTerrain@ITerrain@edterrain@@SAXPEAV12@@Z,public: static void __cdecl edterrain::ITerrain::SetDefaultTerrain(class edterrain::ITerrain *),method,edterrain,ITerrain,SetDefaultTerrain,class edterrain::ITerrain *,False,True,False,False,False,False,True
31,30,0x1E,?SetDefaultTerrainGraphics@ITerrainGraphics@edterrain@@SAXPEAV12@@Z,public: static void __cdecl edterrain::ITerrainGraphics::SetDefaultTerrainGraphics(class edterrain::ITerrainGraphics *),method,edterrain,ITerrainGraphics,SetDefaultTerrainGraphics,class edterrain::ITerrainGraphics *,False,True,False,False,False,False,True
32,31,0x1F,?acquireCommonObjectID@@YAIXZ,unsigned int __cdecl acquireCommonObjectID(void),function,,,acquireCommonObjectID,void,False,False,False,False,False,False,True
33,32,0x20,?assert_inter_edterrain_not_implemented@@YAX_N@Z,void __cdecl assert_inter_edterrain_not_implemented(bool),function,,,assert_inter_edterrain_not_implemented,bool,False,False,False,False,False,False,True
