ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ADI@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::ADI::ADI(class AFM::ADI &&),method,AFM,ADI,ADI,class AFM::ADI &&,False,False,False,False,False,False,True
2,1,0x1,??0ADI@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::ADI::ADI(class AFM::ADI const &),method,AFM,ADI,ADI,class AFM::ADI const &,False,False,False,False,False,False,True
3,2,0x2,??0ADI@AFM@@QEAA@XZ,public: __cdecl AFM::ADI::ADI(void),method,AFM,ADI,ADI,void,False,False,False,False,False,False,True
4,3,0x3,??0Accelerometer_10@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::Accelerometer_10::Accelerometer_10(class AFM::Accelerometer_10 &&),method,AFM,Accelerometer_10,Accelerometer_10,class AFM::Accelerometer_10 &&,False,False,False,False,False,False,True
5,4,0x4,??0Accelerometer_10@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::Accelerometer_10::Accelerometer_10(class AFM::Accelerometer_10 const &),method,AFM,Accelerometer_10,Accelerometer_10,class AFM::Accelerometer_10 const &,False,False,False,False,False,False,True
6,5,0x5,??0Accelerometer_10@AFM@@QEAA@XZ,public: __cdecl AFM::Accelerometer_10::Accelerometer_10(void),method,AFM,Accelerometer_10,Accelerometer_10,void,False,False,False,False,False,False,True
7,6,0x6,??0AerodynamicBody@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::AerodynamicBody::AerodynamicBody(class AFM::AerodynamicBody &&),method,AFM,AerodynamicBody,AerodynamicBody,class AFM::AerodynamicBody &&,False,False,False,False,False,False,True
8,7,0x7,??0AerodynamicBody@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::AerodynamicBody::AerodynamicBody(class AFM::AerodynamicBody const &),method,AFM,AerodynamicBody,AerodynamicBody,class AFM::AerodynamicBody const &,False,False,False,False,False,False,True
9,8,0x8,??0AerodynamicBody@AFM@@QEAA@XZ,public: __cdecl AFM::AerodynamicBody::AerodynamicBody(void),method,AFM,AerodynamicBody,AerodynamicBody,void,False,False,False,False,False,False,True
10,9,0x9,??0Aileron@AFM@@IEAA@XZ,protected: __cdecl AFM::Aileron::Aileron(void),method,AFM,Aileron,Aileron,void,False,False,False,False,False,False,True
11,10,0xA,??0Aileron@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::Aileron::Aileron(class AFM::Aileron &&),method,AFM,Aileron,Aileron,class AFM::Aileron &&,False,False,False,False,False,False,True
12,11,0xB,??0Aileron@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::Aileron::Aileron(class AFM::Aileron const &),method,AFM,Aileron,Aileron,class AFM::Aileron const &,False,False,False,False,False,False,True
13,12,0xC,??0Altimeter_10@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::Altimeter_10::Altimeter_10(class AFM::Altimeter_10 &&),method,AFM,Altimeter_10,Altimeter_10,class AFM::Altimeter_10 &&,False,False,False,False,False,False,True
14,13,0xD,??0Altimeter_10@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::Altimeter_10::Altimeter_10(class AFM::Altimeter_10 const &),method,AFM,Altimeter_10,Altimeter_10,class AFM::Altimeter_10 const &,False,False,False,False,False,False,True
15,14,0xE,??0Altimeter_10@AFM@@QEAA@XZ,public: __cdecl AFM::Altimeter_10::Altimeter_10(void),method,AFM,Altimeter_10,Altimeter_10,void,False,False,False,False,False,False,True
16,15,0xF,??0Amortizater@AFM@@QEAA@$$QEAV01@@Z,public: __cdecl AFM::Amortizater::Amortizater(class AFM::Amortizater &&),method,AFM,Amortizater,Amortizater,class AFM::Amortizater &&,False,False,False,False,False,False,True
17,16,0x10,??0Amortizater@AFM@@QEAA@AEBV01@@Z,public: __cdecl AFM::Amortizater::Amortizater(class AFM::Amortizater const &),method,AFM,Amortizater,Amortizater,class AFM::Amortizater const &,False,False,False,False,False,False,True
