ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?cargoResourcePayloadRead@Scripting@@YAXAEAVConfig@Lua@@AEAUinventoryInfo@@@Z,"void __cdecl Scripting::cargoResourcePayloadRead(class Lua::Config &, struct inventoryInfo &)",method,,Scripting,cargoResourcePayloadRead,"class Lua::Config &, struct inventoryInfo &",False,False,False,False,False,False,True
2,1,0x1,?cargoResourcePayloadWrite@Scripting@@YAXAEAVConfig@Lua@@AEBUinventoryInfo@@@Z,"void __cdecl Scripting::cargoResourcePayloadWrite(class Lua::Config &, struct inventoryInfo const &)",method,,Scripting,cargoResourcePayloadWrite,"class Lua::Config &, struct inventoryInfo const &",False,False,False,False,False,False,True
3,2,0x2,?clearLuaTimers@Scripting@@YAXXZ,void __cdecl Scripting::clearLuaTimers(void),method,,Scripting,clearLuaTimers,void,False,False,False,False,False,False,True
4,3,0x3,?createLuaAirbase@Scripting@@YAXPEAUlua_State@@I@Z,"void __cdecl Scripting::createLuaAirbase(struct lua_State *, unsigned int)",method,,Scripting,createLuaAirbase,"struct lua_State *, unsigned int",False,False,False,False,False,False,True
5,4,0x4,?createLuaAirbase@Scripting@@YAXPEAUlua_State@@PEAVwAirbase@@@Z,"void __cdecl Scripting::createLuaAirbase(struct lua_State *, class wAirbase *)",method,,Scripting,createLuaAirbase,"struct lua_State *, class wAirbase *",False,False,False,False,False,False,True
6,5,0x5,?createLuaGroup@Scripting@@YAXPEAUlua_State@@I@Z,"void __cdecl Scripting::createLuaGroup(struct lua_State *, unsigned int)",method,,Scripting,createLuaGroup,"struct lua_State *, unsigned int",False,False,False,False,False,False,True
7,6,0x6,?createLuaGroup@Scripting@@YAXPEAUlua_State@@PEAVwControl@@@Z,"void __cdecl Scripting::createLuaGroup(struct lua_State *, class wControl *)",method,,Scripting,createLuaGroup,"struct lua_State *, class wControl *",False,False,False,False,False,False,True
8,7,0x7,?createLuaViObject@Scripting@@YAXPEAUlua_State@@PEAVviObject@@@Z,"void __cdecl Scripting::createLuaViObject(struct lua_State *, class viObject *)",method,,Scripting,createLuaViObject,"struct lua_State *, class viObject *",False,False,False,False,False,False,True
9,8,0x8,?createLuaWorldObject@Scripting@@YAXPEAUlua_State@@I@Z,"void __cdecl Scripting::createLuaWorldObject(struct lua_State *, unsigned int)",method,,Scripting,createLuaWorldObject,"struct lua_State *, unsigned int",False,False,False,False,False,False,True
10,9,0x9,?createLuaWorldObject@Scripting@@YAXPEAUlua_State@@PEAVMovingObject@@@Z,"void __cdecl Scripting::createLuaWorldObject(struct lua_State *, class MovingObject *)",method,,Scripting,createLuaWorldObject,"struct lua_State *, class MovingObject *",False,False,False,False,False,False,True
