ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AlmanacGPS@@QEAA@XZ,public: __cdecl AlmanacGPS::AlmanacGPS(void),method,,AlmanacGPS,AlmanacGPS,void,False,False,False,False,False,False,True
2,1,0x1,??0SatelliteStorage@@QEAA@XZ,public: __cdecl SatelliteStorage::SatelliteStorage(void),method,,SatelliteStorage,SatelliteStorage,void,False,False,False,False,False,False,True
3,2,0x2,??0Space@@QEAA@AEBV0@@Z,public: __cdecl Space::Space(class Space const &),method,,Space,Space,class Space const &,False,False,False,False,False,False,True
4,3,0x3,??0Space@@QEAA@XZ,public: __cdecl Space::Space(void),method,,Space,Space,void,False,False,False,False,False,False,True
5,4,0x4,??0waSatellite@@QEAA@AEBV0@@Z,public: __cdecl waSatellite::waSatellite(class waSatellite const &),method,,waSatellite,waSatellite,class waSatellite const &,False,False,False,False,False,False,True
6,5,0x5,??0waSatellite@@QEAA@HE@Z,"public: __cdecl waSatellite::waSatellite(int, unsigned char)",method,,waSatellite,waSatellite,"int, unsigned char",False,False,False,False,False,False,True
7,6,0x6,??0waSatellite@@QEAA@HEPEBD@Z,"public: __cdecl waSatellite::waSatellite(int, unsigned char, char const *)",method,,waSatellite,waSatellite,"int, unsigned char, char const *",False,False,False,False,False,False,True
8,7,0x7,??0waSatellite@@QEAA@XZ,public: __cdecl waSatellite::waSatellite(void),method,,waSatellite,waSatellite,void,False,False,False,False,False,False,True
9,8,0x8,??1SatelliteStorage@@QEAA@XZ,public: __cdecl SatelliteStorage::~SatelliteStorage(void),method,,SatelliteStorage,~SatelliteStorage,void,False,False,False,False,False,False,True
10,9,0x9,??1Space@@UEAA@XZ,public: virtual __cdecl Space::~Space(void),method,,Space,~Space,void,False,False,True,False,False,False,True
11,10,0xA,??1waSatellite@@UEAA@XZ,public: virtual __cdecl waSatellite::~waSatellite(void),method,,waSatellite,~waSatellite,void,False,False,True,False,False,False,True
12,11,0xB,??4AlmanacGPS@@QEAAAEAU0@$$QEAU0@@Z,public: struct AlmanacGPS & __cdecl AlmanacGPS::operator=(struct AlmanacGPS &&),symbol,,,,,False,False,False,False,False,False,True
