ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0CelestialBodiesProvider@Graphics@@QEAA@_N@Z,public: __cdecl Graphics::CelestialBodiesProvider::CelestialBodiesProvider(bool),method,Graphics,CelestialBodiesProvider,CelestialBodiesProvider,bool,False,False,False,False,False,False,True
2,1,0x1,??0CelestialBodiesProxy@Graphics@@QEAA@PEAVDCSSceneProxy@@_N@Z,"public: __cdecl Graphics::CelestialBodiesProxy::CelestialBodiesProxy(class DCSSceneProxy *, bool)",method,Graphics,CelestialBodiesProxy,CelestialBodiesProxy,"class DCSSceneProxy *, bool",False,False,False,False,False,False,True
3,2,0x2,??0SpaceRenderer@@QEAA@XZ,public: __cdecl SpaceRenderer::SpaceRenderer(void),method,,SpaceRenderer,SpaceRenderer,void,False,False,False,False,False,False,True
4,3,0x3,??1CelestialBodiesProvider@Graphics@@UEAA@XZ,public: virtual __cdecl Graphics::CelestialBodiesProvider::~CelestialBodiesProvider(void),method,Graphics,CelestialBodiesProvider,~CelestialBodiesProvider,void,False,False,True,False,False,False,True
5,4,0x4,??1SpaceRenderer@@QEAA@XZ,public: __cdecl SpaceRenderer::~SpaceRenderer(void),method,,SpaceRenderer,~SpaceRenderer,void,False,False,False,False,False,False,True
6,5,0x5,?collectRenderables@CelestialBodiesProvider@Graphics@@UEAAXIPEAPEBUCollectionInfo@render@@QEB_NPEAPEAV?$vector@PEAUISceneRenderable@render@@V?$allocator@PEAUISceneRenderable@render@@@ed@@@ed@@AEAUILightProbeSampler@4@@Z,"public: virtual void __cdecl Graphics::CelestialBodiesProvider::collectRenderables(unsigned int, struct render::CollectionInfo const **, bool const *const, class ed::vector<struct render::ISceneRenderable *, class ed::allocator<struct render::ISceneRenderable *>> **, struct render::ILightProbeSampler &)",method,Graphics,CelestialBodiesProvider,collectRenderables,"unsigned int, struct render::CollectionInfo const **, bool const *const, class ed::vector<struct render::ISceneRenderable *, class ed::allocator<struct render::ISceneRenderable *>> **, struct render::ILightProbeSampler &",False,False,True,False,False,False,True
7,6,0x6,?createSpaceRendererInstance@SpaceRenderer@@QEAAPEAVSpaceRendererInstance@@XZ,public: class SpaceRendererInstance * __cdecl SpaceRenderer::createSpaceRendererInstance(void),method,,SpaceRenderer,createSpaceRendererInstance,void,False,False,False,False,False,False,True
8,7,0x7,?done@SpaceRenderer@@SAXXZ,public: static void __cdecl SpaceRenderer::done(void),method,,SpaceRenderer,done,void,False,True,False,False,False,False,True
9,8,0x8,?draw@SpaceRenderer@@QEAAXAEBVVec3f@osg@@00VMatrixf@3@M_N@Z,"public: void __cdecl SpaceRenderer::draw(class osg::Vec3f const &, class osg::Vec3f const &, class osg::Vec3f const &, class osg::Matrixf, float, bool)",method,,SpaceRenderer,draw,"class osg::Vec3f const &, class osg::Vec3f const &, class osg::Vec3f const &, class osg::Matrixf, float, bool",False,False,False,False,False,False,True
10,9,0x9,?draw@SpaceRenderer@@QEAAXXZ,public: void __cdecl SpaceRenderer::draw(void),method,,SpaceRenderer,draw,void,False,False,False,False,False,False,True
11,10,0xA,?draw@SpaceRendererInstance@@QEAAXAEBVVec3f@osg@@00VMatrixf@3@MM_N@Z,"public: void __cdecl SpaceRendererInstance::draw(class osg::Vec3f const &, class osg::Vec3f const &, class osg::Vec3f const &, class osg::Matrixf, float, float, bool)",method,,SpaceRendererInstance,draw,"class osg::Vec3f const &, class osg::Vec3f const &, class osg::Vec3f const &, class osg::Matrixf, float, float, bool",False,False,False,False,False,False,True
12,11,0xB,?draw@StarMaterial@Graphics@@QEAAXAEBUStarObject@2@@Z,public: void __cdecl Graphics::StarMaterial::draw(struct Graphics::StarObject const &),method,Graphics,StarMaterial,draw,struct Graphics::StarObject const &,False,False,False,False,False,False,True
13,12,0xC,?fillBuffers@StarMaterial@Graphics@@QEAAXXZ,public: void __cdecl Graphics::StarMaterial::fillBuffers(void),method,Graphics,StarMaterial,fillBuffers,void,False,False,False,False,False,False,True
14,13,0xD,?getBoundingBox@CelestialBodiesProvider@Graphics@@SA?AV?$BoundingBoxImpl@VVec3f@osg@@@osg@@XZ,public: static class osg::BoundingBoxImpl<class osg::Vec3f> __cdecl Graphics::CelestialBodiesProvider::getBoundingBox(void),method,Graphics,CelestialBodiesProvider,getBoundingBox,void,False,True,False,False,False,False,True
15,14,0xE,?getInstance@SpaceRenderer@@SAPEAV1@XZ,public: static class SpaceRenderer * __cdecl SpaceRenderer::getInstance(void),method,,SpaceRenderer,getInstance,void,False,True,False,False,False,False,True
16,15,0xF,?getMoonTransform@SpaceRenderer@@SA?AVMatrixf@osg@@AEBVVec3f@3@0@Z,"public: static class osg::Matrixf __cdecl SpaceRenderer::getMoonTransform(class osg::Vec3f const &, class osg::Vec3f const &)",method,,SpaceRenderer,getMoonTransform,"class osg::Vec3f const &, class osg::Vec3f const &",False,True,False,False,False,False,True
17,16,0x10,?getShiftTimeSunDir@SpaceRenderer@@QEAAXMAEAVVec3f@osg@@0@Z,"public: void __cdecl SpaceRenderer::getShiftTimeSunDir(float, class osg::Vec3f &, class osg::Vec3f &)",method,,SpaceRenderer,getShiftTimeSunDir,"float, class osg::Vec3f &, class osg::Vec3f &",False,False,False,False,False,False,True
18,17,0x11,?init@SpaceRenderer@@SAXXZ,public: static void __cdecl SpaceRenderer::init(void),method,,SpaceRenderer,init,void,False,True,False,False,False,False,True
19,18,0x12,?init@StarMaterial@Graphics@@QEAAXXZ,public: void __cdecl Graphics::StarMaterial::init(void),method,Graphics,StarMaterial,init,void,False,False,False,False,False,False,True
