ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0lAnimal@@QEAA@XZ,public: __cdecl lAnimal::lAnimal(void),method,,lAnimal,lAnimal,void,False,False,False,False,False,False,True
2,1,0x1,??0lArmsStorage@@QEAA@$$QEAV0@@Z,public: __cdecl lArmsStorage::lArmsStorage(class lArmsStorage &&),method,,lArmsStorage,lArmsStorage,class lArmsStorage &&,False,False,False,False,False,False,True
3,2,0x2,??0lArmsStorage@@QEAA@AEBV0@@Z,public: __cdecl lArmsStorage::lArmsStorage(class lArmsStorage const &),method,,lArmsStorage,lArmsStorage,class lArmsStorage const &,False,False,False,False,False,False,True
4,3,0x3,??0lArmsStorage@@QEAA@XZ,public: __cdecl lArmsStorage::lArmsStorage(void),method,,lArmsStorage,lArmsStorage,void,False,False,False,False,False,False,True
5,4,0x4,??0lETL_Cables@@QEAA@AEBV0@@Z,public: __cdecl lETL_Cables::lETL_Cables(class lETL_Cables const &),method,,lETL_Cables,lETL_Cables,class lETL_Cables const &,False,False,False,False,False,False,True
6,5,0x5,??0lETL_Cables@@QEAA@XZ,public: __cdecl lETL_Cables::lETL_Cables(void),method,,lETL_Cables,lETL_Cables,void,False,False,False,False,False,False,True
7,6,0x6,??0lObjWithLights@@QEAA@AEBV0@@Z,public: __cdecl lObjWithLights::lObjWithLights(class lObjWithLights const &),method,,lObjWithLights,lObjWithLights,class lObjWithLights const &,False,False,False,False,False,False,True
8,7,0x7,??0lObjWithLights@@QEAA@XZ,public: __cdecl lObjWithLights::lObjWithLights(void),method,,lObjWithLights,lObjWithLights,void,False,False,False,False,False,False,True
9,8,0x8,??0lOilTank@@QEAA@AEBV0@@Z,public: __cdecl lOilTank::lOilTank(class lOilTank const &),method,,lOilTank,lOilTank,class lOilTank const &,False,False,False,False,False,False,True
10,9,0x9,??0lOilTank@@QEAA@XZ,public: __cdecl lOilTank::lOilTank(void),method,,lOilTank,lOilTank,void,False,False,False,False,False,False,True
11,10,0xA,??0lSite@@QEAA@XZ,public: __cdecl lSite::lSite(void),method,,lSite,lSite,void,False,False,False,False,False,False,True
12,11,0xB,??0lSiteElement@@QEAA@AEBV0@@Z,public: __cdecl lSiteElement::lSiteElement(class lSiteElement const &),method,,lSiteElement,lSiteElement,class lSiteElement const &,False,False,False,False,False,False,True
13,12,0xC,??0lSiteElement@@QEAA@PEAVlSite@@@Z,public: __cdecl lSiteElement::lSiteElement(class lSite *),method,,lSiteElement,lSiteElement,class lSite *,False,False,False,False,False,False,True
14,13,0xD,??0lSiteElement@@QEAA@XZ,public: __cdecl lSiteElement::lSiteElement(void),method,,lSiteElement,lSiteElement,void,False,False,False,False,False,False,True
15,14,0xE,??0lSiteElementBuilding@@QEAA@AEBV0@@Z,public: __cdecl lSiteElementBuilding::lSiteElementBuilding(class lSiteElementBuilding const &),method,,lSiteElementBuilding,lSiteElementBuilding,class lSiteElementBuilding const &,False,False,False,False,False,False,True
16,15,0xF,??0lSiteElementBuilding@@QEAA@XZ,public: __cdecl lSiteElementBuilding::lSiteElementBuilding(void),method,,lSiteElementBuilding,lSiteElementBuilding,void,False,False,False,False,False,False,True
17,16,0x10,??0lSiteElementTech@@QEAA@AEBV0@@Z,public: __cdecl lSiteElementTech::lSiteElementTech(class lSiteElementTech const &),method,,lSiteElementTech,lSiteElementTech,class lSiteElementTech const &,False,False,False,False,False,False,True
18,17,0x11,??0lSiteElementTech@@QEAA@XZ,public: __cdecl lSiteElementTech::lSiteElementTech(void),method,,lSiteElementTech,lSiteElementTech,void,False,False,False,False,False,False,True
19,18,0x12,??0lStandartStructure@@QEAA@AEBV0@@Z,public: __cdecl lStandartStructure::lStandartStructure(class lStandartStructure const &),method,,lStandartStructure,lStandartStructure,class lStandartStructure const &,False,False,False,False,False,False,True
20,19,0x13,??0lStandartStructure@@QEAA@XZ,public: __cdecl lStandartStructure::lStandartStructure(void),method,,lStandartStructure,lStandartStructure,void,False,False,False,False,False,False,True
21,20,0x14,??0lWarehouseOwner@@QEAA@AEBV0@@Z,public: __cdecl lWarehouseOwner::lWarehouseOwner(class lWarehouseOwner const &),method,,lWarehouseOwner,lWarehouseOwner,class lWarehouseOwner const &,False,False,False,False,False,False,True
22,21,0x15,??0lWarehouseOwner@@QEAA@XZ,public: __cdecl lWarehouseOwner::lWarehouseOwner(void),method,,lWarehouseOwner,lWarehouseOwner,void,False,False,False,False,False,False,True
23,22,0x16,??1lAnimal@@UEAA@XZ,public: virtual __cdecl lAnimal::~lAnimal(void),method,,lAnimal,~lAnimal,void,False,False,True,False,False,False,True
24,23,0x17,??1lArmsStorage@@UEAA@XZ,public: virtual __cdecl lArmsStorage::~lArmsStorage(void),method,,lArmsStorage,~lArmsStorage,void,False,False,True,False,False,False,True
25,24,0x18,??1lETL_Cables@@UEAA@XZ,public: virtual __cdecl lETL_Cables::~lETL_Cables(void),method,,lETL_Cables,~lETL_Cables,void,False,False,True,False,False,False,True
26,25,0x19,??1lLandHeliport@@UEAA@XZ,public: virtual __cdecl lLandHeliport::~lLandHeliport(void),method,,lLandHeliport,~lLandHeliport,void,False,False,True,False,False,False,True
27,26,0x1A,??1lObjWithLights@@UEAA@XZ,public: virtual __cdecl lObjWithLights::~lObjWithLights(void),method,,lObjWithLights,~lObjWithLights,void,False,False,True,False,False,False,True
28,27,0x1B,??1lOilTank@@UEAA@XZ,public: virtual __cdecl lOilTank::~lOilTank(void),method,,lOilTank,~lOilTank,void,False,False,True,False,False,False,True
29,28,0x1C,??1lSite@@UEAA@XZ,public: virtual __cdecl lSite::~lSite(void),method,,lSite,~lSite,void,False,False,True,False,False,False,True
30,29,0x1D,??1lSiteElement@@UEAA@XZ,public: virtual __cdecl lSiteElement::~lSiteElement(void),method,,lSiteElement,~lSiteElement,void,False,False,True,False,False,False,True
31,30,0x1E,??1lSiteElementBuilding@@UEAA@XZ,public: virtual __cdecl lSiteElementBuilding::~lSiteElementBuilding(void),method,,lSiteElementBuilding,~lSiteElementBuilding,void,False,False,True,False,False,False,True
32,31,0x1F,??1lSiteElementTech@@UEAA@XZ,public: virtual __cdecl lSiteElementTech::~lSiteElementTech(void),method,,lSiteElementTech,~lSiteElementTech,void,False,False,True,False,False,False,True
33,32,0x20,??1lStandartStructure@@UEAA@XZ,public: virtual __cdecl lStandartStructure::~lStandartStructure(void),method,,lStandartStructure,~lStandartStructure,void,False,False,True,False,False,False,True
34,33,0x21,??1lWarehouseOwner@@UEAA@XZ,public: virtual __cdecl lWarehouseOwner::~lWarehouseOwner(void),method,,lWarehouseOwner,~lWarehouseOwner,void,False,False,True,False,False,False,True
35,34,0x22,??4lSiteElement@@QEAAAEAV0@AEBV0@@Z,public: class lSiteElement & __cdecl lSiteElement::operator=(class lSiteElement const &),symbol,,,,,False,False,False,False,False,False,True
36,35,0x23,??_7lAnimal@@6BISceneObject@@@,const lAnimal::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
37,36,0x24,??_7lAnimal@@6BModelInstance@Graphics@@@,const lAnimal::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
38,37,0x25,??_7lAnimal@@6BviObject@@@,const lAnimal::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
39,38,0x26,??_7lArmsStorage@@6BISceneObject@@@,const lArmsStorage::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
40,39,0x27,??_7lArmsStorage@@6BModelInstance@Graphics@@@,const lArmsStorage::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
41,40,0x28,??_7lArmsStorage@@6BviObject@@@,const lArmsStorage::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
42,41,0x29,??_7lETL_Cables@@6BISceneObject@@@,const lETL_Cables::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
43,42,0x2A,??_7lETL_Cables@@6BModelInstance@Graphics@@@,const lETL_Cables::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
44,43,0x2B,??_7lETL_Cables@@6BviObject@@@,const lETL_Cables::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
