ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??getDesc@wcColumn@@UEBAPEAUDescriptor@Controller@AI@@XZ@4HA,int `public: virtual struct AI::Controller::Descriptor * __cdecl wcColumn::getDesc(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??getDesc@wcColumnAnimation@@UEBAPEAUDescriptor@Controller@AI@@XZ@4HA,int `public: virtual struct AI::Controller::Descriptor * __cdecl wcColumnAnimation::getDesc(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,?$TSS0@?1??getDesc@wcSquadron@@UEBAPEAUDescriptor@Controller@AI@@XZ@4HA,int `public: virtual struct AI::Controller::Descriptor * __cdecl wcSquadron::getDesc(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,?$TSS0@?1??maxDeltaHeight@woMovingVehicle@@AEBANN@Z@4HA,int `private: double __cdecl woMovingVehicle::maxDeltaHeight(double) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
5,4,0x4,??0CarsDebugDrawer@@AEAA@XZ,private: __cdecl CarsDebugDrawer::CarsDebugDrawer(void),method,,CarsDebugDrawer,CarsDebugDrawer,void,False,False,False,False,False,False,True
6,5,0x5,??0CarsDebugDrawer@@QEAA@AEBV0@@Z,public: __cdecl CarsDebugDrawer::CarsDebugDrawer(class CarsDebugDrawer const &),method,,CarsDebugDrawer,CarsDebugDrawer,class CarsDebugDrawer const &,False,False,False,False,False,False,True
7,6,0x6,??0CustomFormations@@AEAA@XZ,private: __cdecl CustomFormations::CustomFormations(void),method,,CustomFormations,CustomFormations,void,False,False,False,False,False,False,True
8,7,0x7,??0CustomFormations@@QEAA@AEBV0@@Z,public: __cdecl CustomFormations::CustomFormations(class CustomFormations const &),method,,CustomFormations,CustomFormations,class CustomFormations const &,False,False,False,False,False,False,True
9,8,0x8,??0InternalCargo@@QEAA@AEBV0@@Z,public: __cdecl InternalCargo::InternalCargo(class InternalCargo const &),method,,InternalCargo,InternalCargo,class InternalCargo const &,False,False,False,False,False,False,True
10,9,0x9,??0InternalCargo@@QEAA@XZ,public: __cdecl InternalCargo::InternalCargo(void),method,,InternalCargo,InternalCargo,void,False,False,False,False,False,False,True
11,10,0xA,??0PathOptions@@QEAA@$$QEAU0@@Z,public: __cdecl PathOptions::PathOptions(struct PathOptions &&),method,,PathOptions,PathOptions,struct PathOptions &&,False,False,False,False,False,False,True
12,11,0xB,??0PathOptions@@QEAA@AEBU0@@Z,public: __cdecl PathOptions::PathOptions(struct PathOptions const &),method,,PathOptions,PathOptions,struct PathOptions const &,False,False,False,False,False,False,True
13,12,0xC,??0PathOptions@@QEAA@AEBV?$vector@UControlPoint@PathOptions@@V?$allocator@UControlPoint@PathOptions@@@ed@@@ed@@W4CarFormationType@@NH@Z,"public: __cdecl PathOptions::PathOptions(class ed::vector<struct PathOptions::ControlPoint, class ed::allocator<struct PathOptions::ControlPoint>> const &, enum CarFormationType, double, int)",method,,PathOptions,PathOptions,"class ed::vector<struct PathOptions::ControlPoint, class ed::allocator<struct PathOptions::ControlPoint>> const &, enum CarFormationType, double, int",False,False,False,False,False,False,True
14,13,0xD,??0PathOptions@@QEAA@XZ,public: __cdecl PathOptions::PathOptions(void),method,,PathOptions,PathOptions,void,False,False,False,False,False,False,True
15,14,0xE,??0Ship_Descriptor@@QEAA@AEBU0@@Z,public: __cdecl Ship_Descriptor::Ship_Descriptor(struct Ship_Descriptor const &),method,,Ship_Descriptor,Ship_Descriptor,struct Ship_Descriptor const &,False,False,False,False,False,False,True
16,15,0xF,??0Ship_Descriptor@@QEAA@XZ,public: __cdecl Ship_Descriptor::Ship_Descriptor(void),method,,Ship_Descriptor,Ship_Descriptor,void,False,False,False,False,False,False,True
17,16,0x10,??0Skeleton_Human_Descriptor@@QEAA@AEBU0@@Z,public: __cdecl Skeleton_Human_Descriptor::Skeleton_Human_Descriptor(struct Skeleton_Human_Descriptor const &),method,,Skeleton_Human_Descriptor,Skeleton_Human_Descriptor,struct Skeleton_Human_Descriptor const &,False,False,False,False,False,False,True
18,17,0x11,??0Skeleton_Human_Descriptor@@QEAA@XZ,public: __cdecl Skeleton_Human_Descriptor::Skeleton_Human_Descriptor(void),method,,Skeleton_Human_Descriptor,Skeleton_Human_Descriptor,void,False,False,False,False,False,False,True
19,18,0x12,??0Transportable@@QEAA@AEBV0@@Z,public: __cdecl Transportable::Transportable(class Transportable const &),method,,Transportable,Transportable,class Transportable const &,False,False,False,False,False,False,True
20,19,0x13,??0Transportable@@QEAA@XZ,public: __cdecl Transportable::Transportable(void),method,,Transportable,Transportable,void,False,False,False,False,False,False,True
21,20,0x14,??0Vehicle_Descriptor@@QEAA@AEBU0@@Z,public: __cdecl Vehicle_Descriptor::Vehicle_Descriptor(struct Vehicle_Descriptor const &),method,,Vehicle_Descriptor,Vehicle_Descriptor,struct Vehicle_Descriptor const &,False,False,False,False,False,False,True
22,21,0x15,??0Vehicle_Descriptor@@QEAA@XZ,public: __cdecl Vehicle_Descriptor::Vehicle_Descriptor(void),method,,Vehicle_Descriptor,Vehicle_Descriptor,void,False,False,False,False,False,False,True
23,22,0x16,??0mLAHeatManager@@QEAA@$$QEAV0@@Z,public: __cdecl mLAHeatManager::mLAHeatManager(class mLAHeatManager &&),method,,mLAHeatManager,mLAHeatManager,class mLAHeatManager &&,False,False,False,False,False,False,True
24,23,0x17,??0mLAHeatManager@@QEAA@AEBV0@@Z,public: __cdecl mLAHeatManager::mLAHeatManager(class mLAHeatManager const &),method,,mLAHeatManager,mLAHeatManager,class mLAHeatManager const &,False,False,False,False,False,False,True
25,24,0x18,??0mLAHeatManager@@QEAA@XZ,public: __cdecl mLAHeatManager::mLAHeatManager(void),method,,mLAHeatManager,mLAHeatManager,void,False,False,False,False,False,False,True
26,25,0x19,??0mVehicleHeatManager@@QEAA@$$QEAV0@@Z,public: __cdecl mVehicleHeatManager::mVehicleHeatManager(class mVehicleHeatManager &&),method,,mVehicleHeatManager,mVehicleHeatManager,class mVehicleHeatManager &&,False,False,False,False,False,False,True
27,26,0x1A,??0mVehicleHeatManager@@QEAA@AEBV0@@Z,public: __cdecl mVehicleHeatManager::mVehicleHeatManager(class mVehicleHeatManager const &),method,,mVehicleHeatManager,mVehicleHeatManager,class mVehicleHeatManager const &,False,False,False,False,False,False,True
28,27,0x1B,??0mVehicleHeatManager@@QEAA@XZ,public: __cdecl mVehicleHeatManager::mVehicleHeatManager(void),method,,mVehicleHeatManager,mVehicleHeatManager,void,False,False,False,False,False,False,True
29,28,0x1C,??0wAirService@@QEAA@PEAVwoShip@@@Z,public: __cdecl wAirService::wAirService(class woShip *),method,,wAirService,wAirService,class woShip *,False,False,False,False,False,False,True
30,29,0x1D,??0wcColumn@@QEAA@XZ,public: __cdecl wcColumn::wcColumn(void),method,,wcColumn,wcColumn,void,False,False,False,False,False,False,True
31,30,0x1E,??0wcColumnAnimation@@QEAA@XZ,public: __cdecl wcColumnAnimation::wcColumnAnimation(void),method,,wcColumnAnimation,wcColumnAnimation,void,False,False,False,False,False,False,True
32,31,0x1F,??0wcRoute@@QEAA@PEAPEAURoutePoint@@H@Z,"public: __cdecl wcRoute::wcRoute(struct RoutePoint **, int)",method,,wcRoute,wcRoute,"struct RoutePoint **, int",False,False,False,False,False,False,True
33,32,0x20,??0wcRoute@@QEAA@PEAURoutePoint@@H@Z,"public: __cdecl wcRoute::wcRoute(struct RoutePoint *, int)",method,,wcRoute,wcRoute,"struct RoutePoint *, int",False,False,False,False,False,False,True
34,33,0x21,??0wcRoute@@QEAA@XZ,public: __cdecl wcRoute::wcRoute(void),method,,wcRoute,wcRoute,void,False,False,False,False,False,False,True
35,34,0x22,??0wcSquadron@@QEAA@AEBV0@@Z,public: __cdecl wcSquadron::wcSquadron(class wcSquadron const &),method,,wcSquadron,wcSquadron,class wcSquadron const &,False,False,False,False,False,False,True
36,35,0x23,??0wcSquadron@@QEAA@XZ,public: __cdecl wcSquadron::wcSquadron(void),method,,wcSquadron,wcSquadron,void,False,False,False,False,False,False,True
37,36,0x24,??0woCar@@QEAA@XZ,public: __cdecl woCar::woCar(void),method,,woCar,woCar,void,False,False,False,False,False,False,True
38,37,0x25,??0woCharacterHuman@@QEAA@XZ,public: __cdecl woCharacterHuman::woCharacterHuman(void),method,,woCharacterHuman,woCharacterHuman,void,False,False,False,False,False,False,True
39,38,0x26,??0woGuidanceSystemState@@QEAA@XZ,public: __cdecl woGuidanceSystemState::woGuidanceSystemState(void),method,,woGuidanceSystemState,woGuidanceSystemState,void,False,False,False,False,False,False,True
40,39,0x27,??0woMovingVehicle@@QEAA@XZ,public: __cdecl woMovingVehicle::woMovingVehicle(void),method,,woMovingVehicle,woMovingVehicle,void,False,False,False,False,False,False,True
41,40,0x28,??0woShip@@QEAA@XZ,public: __cdecl woShip::woShip(void),method,,woShip,woShip,void,False,False,False,False,False,False,True
42,41,0x29,??0woSubmarine@@QEAA@XZ,public: __cdecl woSubmarine::woSubmarine(void),method,,woSubmarine,woSubmarine,void,False,False,False,False,False,False,True
43,42,0x2A,??1CarsDebugDrawer@@AEAA@XZ,private: __cdecl CarsDebugDrawer::~CarsDebugDrawer(void),method,,CarsDebugDrawer,~CarsDebugDrawer,void,False,False,False,False,False,False,True
44,43,0x2B,??1CustomFormations@@AEAA@XZ,private: __cdecl CustomFormations::~CustomFormations(void),method,,CustomFormations,~CustomFormations,void,False,False,False,False,False,False,True
45,44,0x2C,??1InternalCargo@@UEAA@XZ,public: virtual __cdecl InternalCargo::~InternalCargo(void),method,,InternalCargo,~InternalCargo,void,False,False,True,False,False,False,True
46,45,0x2D,??1PathOptions@@QEAA@XZ,public: __cdecl PathOptions::~PathOptions(void),method,,PathOptions,~PathOptions,void,False,False,False,False,False,False,True
47,46,0x2E,??1Ship_Descriptor@@QEAA@XZ,public: __cdecl Ship_Descriptor::~Ship_Descriptor(void),method,,Ship_Descriptor,~Ship_Descriptor,void,False,False,False,False,False,False,True
48,47,0x2F,??1Skeleton_Human_Descriptor@@UEAA@XZ,public: virtual __cdecl Skeleton_Human_Descriptor::~Skeleton_Human_Descriptor(void),method,,Skeleton_Human_Descriptor,~Skeleton_Human_Descriptor,void,False,False,True,False,False,False,True
49,48,0x30,??1Transportable@@UEAA@XZ,public: virtual __cdecl Transportable::~Transportable(void),method,,Transportable,~Transportable,void,False,False,True,False,False,False,True
50,49,0x31,??1Vehicle_Descriptor@@UEAA@XZ,public: virtual __cdecl Vehicle_Descriptor::~Vehicle_Descriptor(void),method,,Vehicle_Descriptor,~Vehicle_Descriptor,void,False,False,True,False,False,False,True
51,50,0x32,??1mLAHeatManager@@QEAA@XZ,public: __cdecl mLAHeatManager::~mLAHeatManager(void),method,,mLAHeatManager,~mLAHeatManager,void,False,False,False,False,False,False,True
52,51,0x33,??1mVehicleHeatManager@@QEAA@XZ,public: __cdecl mVehicleHeatManager::~mVehicleHeatManager(void),method,,mVehicleHeatManager,~mVehicleHeatManager,void,False,False,False,False,False,False,True
53,52,0x34,??1wAirService@@UEAA@XZ,public: virtual __cdecl wAirService::~wAirService(void),method,,wAirService,~wAirService,void,False,False,True,False,False,False,True
54,53,0x35,??1wcColumn@@UEAA@XZ,public: virtual __cdecl wcColumn::~wcColumn(void),method,,wcColumn,~wcColumn,void,False,False,True,False,False,False,True
55,54,0x36,??1wcColumnAnimation@@UEAA@XZ,public: virtual __cdecl wcColumnAnimation::~wcColumnAnimation(void),method,,wcColumnAnimation,~wcColumnAnimation,void,False,False,True,False,False,False,True
56,55,0x37,??1wcRoute@@UEAA@XZ,public: virtual __cdecl wcRoute::~wcRoute(void),method,,wcRoute,~wcRoute,void,False,False,True,False,False,False,True
57,56,0x38,??1wcSquadron@@UEAA@XZ,public: virtual __cdecl wcSquadron::~wcSquadron(void),method,,wcSquadron,~wcSquadron,void,False,False,True,False,False,False,True
58,57,0x39,??1woCar@@UEAA@XZ,public: virtual __cdecl woCar::~woCar(void),method,,woCar,~woCar,void,False,False,True,False,False,False,True
59,58,0x3A,??1woCharacterHuman@@UEAA@XZ,public: virtual __cdecl woCharacterHuman::~woCharacterHuman(void),method,,woCharacterHuman,~woCharacterHuman,void,False,False,True,False,False,False,True
60,59,0x3B,??1woGuidanceSystemState@@QEAA@XZ,public: __cdecl woGuidanceSystemState::~woGuidanceSystemState(void),method,,woGuidanceSystemState,~woGuidanceSystemState,void,False,False,False,False,False,False,True
61,60,0x3C,??1woMovingVehicle@@UEAA@XZ,public: virtual __cdecl woMovingVehicle::~woMovingVehicle(void),method,,woMovingVehicle,~woMovingVehicle,void,False,False,True,False,False,False,True
62,61,0x3D,??1woShip@@UEAA@XZ,public: virtual __cdecl woShip::~woShip(void),method,,woShip,~woShip,void,False,False,True,False,False,False,True
63,62,0x3E,??1woSubmarine@@UEAA@XZ,public: virtual __cdecl woSubmarine::~woSubmarine(void),method,,woSubmarine,~woSubmarine,void,False,False,True,False,False,False,True
64,63,0x3F,??4CarsDebugDrawer@@QEAAAEAV0@AEBV0@@Z,public: class CarsDebugDrawer & __cdecl CarsDebugDrawer::operator=(class CarsDebugDrawer const &),symbol,,,,,False,False,False,False,False,False,True
65,64,0x40,??4CustomFormations@@QEAAAEAV0@AEBV0@@Z,public: class CustomFormations & __cdecl CustomFormations::operator=(class CustomFormations const &),symbol,,,,,False,False,False,False,False,False,True
66,65,0x41,??4InternalCargo@@QEAAAEAV0@AEBV0@@Z,public: class InternalCargo & __cdecl InternalCargo::operator=(class InternalCargo const &),symbol,,,,,False,False,False,False,False,False,True
67,66,0x42,??4PathOptions@@QEAAAEAU0@$$QEAU0@@Z,public: struct PathOptions & __cdecl PathOptions::operator=(struct PathOptions &&),symbol,,,,,False,False,False,False,False,False,True
68,67,0x43,??4PathOptions@@QEAAAEAU0@AEBU0@@Z,public: struct PathOptions & __cdecl PathOptions::operator=(struct PathOptions const &),symbol,,,,,False,False,False,False,False,False,True
69,68,0x44,??4Ship_Descriptor@@QEAAAEAU0@AEBU0@@Z,public: struct Ship_Descriptor & __cdecl Ship_Descriptor::operator=(struct Ship_Descriptor const &),symbol,,,,,False,False,False,False,False,False,True
70,69,0x45,??4Skeleton_Human_Descriptor@@QEAAAEAU0@AEBU0@@Z,public: struct Skeleton_Human_Descriptor & __cdecl Skeleton_Human_Descriptor::operator=(struct Skeleton_Human_Descriptor const &),symbol,,,,,False,False,False,False,False,False,True
71,70,0x46,??4Transportable@@QEAAAEAV0@AEBV0@@Z,public: class Transportable & __cdecl Transportable::operator=(class Transportable const &),symbol,,,,,False,False,False,False,False,False,True
72,71,0x47,??4Vehicle_Descriptor@@QEAAAEAU0@AEBU0@@Z,public: struct Vehicle_Descriptor & __cdecl Vehicle_Descriptor::operator=(struct Vehicle_Descriptor const &),symbol,,,,,False,False,False,False,False,False,True
73,72,0x48,??4mLAHeatManager@@QEAAAEAV0@$$QEAV0@@Z,public: class mLAHeatManager & __cdecl mLAHeatManager::operator=(class mLAHeatManager &&),symbol,,,,,False,False,False,False,False,False,True
74,73,0x49,??4mLAHeatManager@@QEAAAEAV0@AEBV0@@Z,public: class mLAHeatManager & __cdecl mLAHeatManager::operator=(class mLAHeatManager const &),symbol,,,,,False,False,False,False,False,False,True
75,74,0x4A,??4mVehicleHeatManager@@QEAAAEAV0@$$QEAV0@@Z,public: class mVehicleHeatManager & __cdecl mVehicleHeatManager::operator=(class mVehicleHeatManager &&),symbol,,,,,False,False,False,False,False,False,True
76,75,0x4B,??4mVehicleHeatManager@@QEAAAEAV0@AEBV0@@Z,public: class mVehicleHeatManager & __cdecl mVehicleHeatManager::operator=(class mVehicleHeatManager const &),symbol,,,,,False,False,False,False,False,False,True
77,76,0x4C,??4wcSquadron@@QEAAAEAV0@AEBV0@@Z,public: class wcSquadron & __cdecl wcSquadron::operator=(class wcSquadron const &),symbol,,,,,False,False,False,False,False,False,True
78,77,0x4D,??_7InternalCargo@@6B@,const InternalCargo::`vftable',vftable,,,,,False,False,False,True,False,False,True
79,78,0x4E,??_7Skeleton_Human_Descriptor@@6B@,const Skeleton_Human_Descriptor::`vftable',vftable,,,,,False,False,False,True,False,False,True
80,79,0x4F,??_7Transportable@@6B@,const Transportable::`vftable',vftable,,,,,False,False,False,True,False,False,True
81,80,0x50,??_7Vehicle_Descriptor@@6B@,const Vehicle_Descriptor::`vftable',vftable,,,,,False,False,False,True,False,False,True
82,81,0x51,??_7mLAHeatManager@@6B@,const mLAHeatManager::`vftable',vftable,,,,,False,False,False,True,False,False,True
83,82,0x52,??_7mVehicleHeatManager@@6B@,const mVehicleHeatManager::`vftable',vftable,,,,,False,False,False,True,False,False,True
84,83,0x53,??_7wcColumn@@6BBridgeListener@@@,const wcColumn::`vftable'{for `BridgeListener'},vftable,,,,,False,False,False,True,False,False,True
85,84,0x54,??_7wcColumn@@6BController@AI@@@,const wcColumn::`vftable'{for `AI::Controller'},vftable,,,,,False,False,False,True,False,False,True
86,85,0x55,??_7wcColumn@@6BIwNetObject@@@,const wcColumn::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
87,86,0x56,??_7wcColumn@@6BRegistered@@@,const wcColumn::`vftable'{for `Registered'},vftable,,,,,False,False,False,True,False,False,True
88,87,0x57,??_7wcColumn@@6BSuicide@@@,const wcColumn::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
89,88,0x58,??_7wcColumn@@6BwGroupTargetManager@@@,const wcColumn::`vftable'{for `wGroupTargetManager'},vftable,,,,,False,False,False,True,False,False,True
90,89,0x59,??_7wcColumn@@6BwListener@@@,const wcColumn::`vftable'{for `wListener'},vftable,,,,,False,False,False,True,False,False,True
91,90,0x5A,??_7wcColumnAnimation@@6BController@AI@@@,const wcColumnAnimation::`vftable'{for `AI::Controller'},vftable,,,,,False,False,False,True,False,False,True
92,91,0x5B,??_7wcColumnAnimation@@6BIwNetObject@@@,const wcColumnAnimation::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
93,92,0x5C,??_7wcColumnAnimation@@6BRegistered@@@,const wcColumnAnimation::`vftable'{for `Registered'},vftable,,,,,False,False,False,True,False,False,True
94,93,0x5D,??_7wcColumnAnimation@@6BSuicide@@@,const wcColumnAnimation::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
95,94,0x5E,??_7wcColumnAnimation@@6BwListener@@@,const wcColumnAnimation::`vftable'{for `wListener'},vftable,,,,,False,False,False,True,False,False,True
96,95,0x5F,??_7wcSquadron@@6BController@AI@@@,const wcSquadron::`vftable'{for `AI::Controller'},vftable,,,,,False,False,False,True,False,False,True
97,96,0x60,??_7wcSquadron@@6BRegistered@@@,const wcSquadron::`vftable'{for `Registered'},vftable,,,,,False,False,False,True,False,False,True
98,97,0x61,??_7wcSquadron@@6BSuicide@@@,const wcSquadron::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
99,98,0x62,??_7wcSquadron@@6BwGroupTargetManager@@@,const wcSquadron::`vftable'{for `wGroupTargetManager'},vftable,,,,,False,False,False,True,False,False,True
100,99,0x63,??_7wcSquadron@@6BwListener@@@,const wcSquadron::`vftable'{for `wListener'},vftable,,,,,False,False,False,True,False,False,True
101,100,0x64,??_7woCar@@6BBridgeListener@@@,const woCar::`vftable'{for `BridgeListener'},vftable,,,,,False,False,False,True,False,False,True
102,101,0x65,??_7woCar@@6BISceneObject@@@,const woCar::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
103,102,0x66,??_7woCar@@6BIwNetObject@@@,const woCar::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
104,103,0x67,??_7woCar@@6BModelInstance@Graphics@@@,const woCar::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
105,104,0x68,??_7woCar@@6BMovingPlatform@@@,const woCar::`vftable'{for `MovingPlatform'},vftable,,,,,False,False,False,True,False,False,True
106,105,0x69,??_7woCar@@6BSuicide@@@,const woCar::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
107,106,0x6A,??_7woCar@@6BviObject@@@,const woCar::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
108,107,0x6B,??_7woCar@@6BwDetectable@@@,const woCar::`vftable'{for `wDetectable'},vftable,,,,,False,False,False,True,False,False,True
109,108,0x6C,??_7woCar@@6BwWeaponSystemManager@@@,const woCar::`vftable'{for `wWeaponSystemManager'},vftable,,,,,False,False,False,True,False,False,True
110,109,0x6D,??_7woCharacterHuman@@6B@,const woCharacterHuman::`vftable',vftable,,,,,False,False,False,True,False,False,True
111,110,0x6E,??_7woCharacterHuman@@6BISceneObject@@@,const woCharacterHuman::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
112,111,0x6F,??_7woCharacterHuman@@6BIwNetObject@@@,const woCharacterHuman::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
113,112,0x70,??_7woCharacterHuman@@6BModelInstance@Graphics@@@,const woCharacterHuman::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
114,113,0x71,??_7woCharacterHuman@@6BSuicide@@@,const woCharacterHuman::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
115,114,0x72,??_7woCharacterHuman@@6BviObject@@@,const woCharacterHuman::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
116,115,0x73,??_7woMovingVehicle@@6BBridgeListener@@@,const woMovingVehicle::`vftable'{for `BridgeListener'},vftable,,,,,False,False,False,True,False,False,True
117,116,0x74,??_7woMovingVehicle@@6BISceneObject@@@,const woMovingVehicle::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
118,117,0x75,??_7woMovingVehicle@@6BIwNetObject@@@,const woMovingVehicle::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
119,118,0x76,??_7woMovingVehicle@@6BModelInstance@Graphics@@@,const woMovingVehicle::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
120,119,0x77,??_7woMovingVehicle@@6BMovingPlatform@@@,const woMovingVehicle::`vftable'{for `MovingPlatform'},vftable,,,,,False,False,False,True,False,False,True
121,120,0x78,??_7woMovingVehicle@@6BSuicide@@@,const woMovingVehicle::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
122,121,0x79,??_7woMovingVehicle@@6BviObject@@@,const woMovingVehicle::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
123,122,0x7A,??_7woShip@@6BISceneObject@@@,const woShip::`vftable'{for `ISceneObject'},vftable,,,,,False,False,False,True,False,False,True
124,123,0x7B,??_7woShip@@6BIwAirbase@@@,const woShip::`vftable'{for `IwAirbase'},vftable,,,,,False,False,False,True,False,False,True
125,124,0x7C,??_7woShip@@6BIwNetObject@@@,const woShip::`vftable'{for `IwNetObject'},vftable,,,,,False,False,False,True,False,False,True
126,125,0x7D,??_7woShip@@6BIwoAircraftCarrier@@@,const woShip::`vftable'{for `IwoAircraftCarrier'},vftable,,,,,False,False,False,True,False,False,True
127,126,0x7E,??_7woShip@@6BModelInstance@Graphics@@@,const woShip::`vftable'{for `Graphics::ModelInstance'},vftable,,,,,False,False,False,True,False,False,True
128,127,0x7F,??_7woShip@@6BMovingPlatform@@@,const woShip::`vftable'{for `MovingPlatform'},vftable,,,,,False,False,False,True,False,False,True
129,128,0x80,??_7woShip@@6BSuicide@@@,const woShip::`vftable'{for `Suicide'},vftable,,,,,False,False,False,True,False,False,True
130,129,0x81,??_7woShip@@6BviObject@@@,const woShip::`vftable'{for `viObject'},vftable,,,,,False,False,False,True,False,False,True
131,130,0x82,??_7woShip@@6BwDetectable@@@,const woShip::`vftable'{for `wDetectable'},vftable,,,,,False,False,False,True,False,False,True
