ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$wAttachableDescriptor@VwAFMGuidedWeaponExtFinsCalcDescriptor@@@@QEAA@XZ,public: __cdecl wAttachableDescriptor<class wAFMGuidedWeaponExtFinsCalcDescriptor>::wAttachableDescriptor<class wAFMGuidedWeaponExtFinsCalcDescriptor>(void),function,,,wAFMGuidedWeaponExtFinsCalcDescriptor>,void,False,False,False,False,False,False,True
2,1,0x1,??0?$wAttachableDescriptor@VwFMBombRocketDescriptor@@@@QEAA@XZ,public: __cdecl wAttachableDescriptor<class wFMBombRocketDescriptor>::wAttachableDescriptor<class wFMBombRocketDescriptor>(void),function,,,wFMBombRocketDescriptor>,void,False,False,False,False,False,False,True
3,2,0x2,??0?$wAttachableDescriptor@VwNursLauncherDescriptor@@@@QEAA@XZ,public: __cdecl wAttachableDescriptor<class wNursLauncherDescriptor>::wAttachableDescriptor<class wNursLauncherDescriptor>(void),function,,,wNursLauncherDescriptor>,void,False,False,False,False,False,False,True
4,3,0x3,??0wACangLoftAutopilot@@QEAA@$$QEAV0@@Z,public: __cdecl wACangLoftAutopilot::wACangLoftAutopilot(class wACangLoftAutopilot &&),method,,wACangLoftAutopilot,wACangLoftAutopilot,class wACangLoftAutopilot &&,False,False,False,False,False,False,True
5,4,0x4,??0wACangLoftAutopilot@@QEAA@AEBV0@@Z,public: __cdecl wACangLoftAutopilot::wACangLoftAutopilot(class wACangLoftAutopilot const &),method,,wACangLoftAutopilot,wACangLoftAutopilot,class wACangLoftAutopilot const &,False,False,False,False,False,False,True
6,5,0x5,??0wACangLoftAutopilot@@QEAA@PEBVwACangLoftAutopilotDescriptor@@PEAVwSimulationSystem@@@Z,"public: __cdecl wACangLoftAutopilot::wACangLoftAutopilot(class wACangLoftAutopilotDescriptor const *, class wSimulationSystem *)",method,,wACangLoftAutopilot,wACangLoftAutopilot,"class wACangLoftAutopilotDescriptor const *, class wSimulationSystem *",False,False,False,False,False,False,True
7,6,0x6,??0wACtAutopilot@@QEAA@$$QEAV0@@Z,public: __cdecl wACtAutopilot::wACtAutopilot(class wACtAutopilot &&),method,,wACtAutopilot,wACtAutopilot,class wACtAutopilot &&,False,False,False,False,False,False,True
8,7,0x7,??0wACtAutopilot@@QEAA@AEBV0@@Z,public: __cdecl wACtAutopilot::wACtAutopilot(class wACtAutopilot const &),method,,wACtAutopilot,wACtAutopilot,class wACtAutopilot const &,False,False,False,False,False,False,True
9,8,0x8,??0wACtAutopilot@@QEAA@PEBVwACtAutopilotDescriptor@@PEAVwSimulationSystem@@@Z,"public: __cdecl wACtAutopilot::wACtAutopilot(class wACtAutopilotDescriptor const *, class wSimulationSystem *)",method,,wACtAutopilot,wACtAutopilot,"class wACtAutopilotDescriptor const *, class wSimulationSystem *",False,False,False,False,False,False,True
10,9,0x9,??0wACtLoftAutopilot@@QEAA@$$QEAV0@@Z,public: __cdecl wACtLoftAutopilot::wACtLoftAutopilot(class wACtLoftAutopilot &&),method,,wACtLoftAutopilot,wACtLoftAutopilot,class wACtLoftAutopilot &&,False,False,False,False,False,False,True
11,10,0xA,??0wACtLoftAutopilot@@QEAA@AEBV0@@Z,public: __cdecl wACtLoftAutopilot::wACtLoftAutopilot(class wACtLoftAutopilot const &),method,,wACtLoftAutopilot,wACtLoftAutopilot,class wACtLoftAutopilot const &,False,False,False,False,False,False,True
12,11,0xB,??0wACtLoftAutopilot@@QEAA@PEBVwACtLoftAutopilotDescriptor@@PEAVwSimulationSystem@@@Z,"public: __cdecl wACtLoftAutopilot::wACtLoftAutopilot(class wACtLoftAutopilotDescriptor const *, class wSimulationSystem *)",method,,wACtLoftAutopilot,wACtLoftAutopilot,"class wACtLoftAutopilotDescriptor const *, class wSimulationSystem *",False,False,False,False,False,False,True
13,12,0xC,??0wAFMGuidedWeapon2@@QEAA@AEBV0@@Z,public: __cdecl wAFMGuidedWeapon2::wAFMGuidedWeapon2(class wAFMGuidedWeapon2 const &),method,,wAFMGuidedWeapon2,wAFMGuidedWeapon2,class wAFMGuidedWeapon2 const &,False,False,False,False,False,False,True
14,13,0xD,??0wAFMGuidedWeapon2@@QEAA@PEBVwAFMGuidedWeapon2Descriptor@@PEAVwSimulationSystem@@@Z,"public: __cdecl wAFMGuidedWeapon2::wAFMGuidedWeapon2(class wAFMGuidedWeapon2Descriptor const *, class wSimulationSystem *)",method,,wAFMGuidedWeapon2,wAFMGuidedWeapon2,"class wAFMGuidedWeapon2Descriptor const *, class wSimulationSystem *",False,False,False,False,False,False,True
15,14,0xE,??0wAFMGuidedWeapon2Descriptor@@QEAA@$$QEAV0@@Z,public: __cdecl wAFMGuidedWeapon2Descriptor::wAFMGuidedWeapon2Descriptor(class wAFMGuidedWeapon2Descriptor &&),method,,wAFMGuidedWeapon2Descriptor,wAFMGuidedWeapon2Descriptor,class wAFMGuidedWeapon2Descriptor &&,False,False,False,False,False,False,True
16,15,0xF,??0wAFMGuidedWeapon2Descriptor@@QEAA@AEBV0@@Z,public: __cdecl wAFMGuidedWeapon2Descriptor::wAFMGuidedWeapon2Descriptor(class wAFMGuidedWeapon2Descriptor const &),method,,wAFMGuidedWeapon2Descriptor,wAFMGuidedWeapon2Descriptor,class wAFMGuidedWeapon2Descriptor const &,False,False,False,False,False,False,True
17,16,0x10,??0wAFMGuidedWeapon2Descriptor@@QEAA@XZ,public: __cdecl wAFMGuidedWeapon2Descriptor::wAFMGuidedWeapon2Descriptor(void),method,,wAFMGuidedWeapon2Descriptor,wAFMGuidedWeapon2Descriptor,void,False,False,False,False,False,False,True
18,17,0x11,??0wAFMGuidedWeapon@@QEAA@AEBV0@@Z,public: __cdecl wAFMGuidedWeapon::wAFMGuidedWeapon(class wAFMGuidedWeapon const &),method,,wAFMGuidedWeapon,wAFMGuidedWeapon,class wAFMGuidedWeapon const &,False,False,False,False,False,False,True
