ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0Ammo@@QEAA@$$QEAV0@@Z,public: __cdecl Ammo::Ammo(class Ammo &&),method,,Ammo,Ammo,class Ammo &&,False,False,False,False,False,False,True
2,1,0x1,??0Ammo@@QEAA@AEBV0@@Z,public: __cdecl Ammo::Ammo(class Ammo const &),method,,Ammo,Ammo,class Ammo const &,False,False,False,False,False,False,True
3,2,0x2,??0Ammo@@QEAA@XZ,public: __cdecl Ammo::Ammo(void),method,,Ammo,Ammo,void,False,False,False,False,False,False,True
4,3,0x3,??0AnimationSequence@@QEAA@$$QEAV0@@Z,public: __cdecl AnimationSequence::AnimationSequence(class AnimationSequence &&),method,,AnimationSequence,AnimationSequence,class AnimationSequence &&,False,False,False,False,False,False,True
5,4,0x4,??0AnimationSequence@@QEAA@AEBV0@@Z,public: __cdecl AnimationSequence::AnimationSequence(class AnimationSequence const &),method,,AnimationSequence,AnimationSequence,class AnimationSequence const &,False,False,False,False,False,False,True
6,5,0x5,??0AnimationSequence@@QEAA@PEAVwWeaponSystemManager@@@Z,public: __cdecl AnimationSequence::AnimationSequence(class wWeaponSystemManager *),method,,AnimationSequence,AnimationSequence,class wWeaponSystemManager *,False,False,False,False,False,False,True
7,6,0x6,??0ArgumentAnimation@@QEAA@$$QEAV0@@Z,public: __cdecl ArgumentAnimation::ArgumentAnimation(class ArgumentAnimation &&),method,,ArgumentAnimation,ArgumentAnimation,class ArgumentAnimation &&,False,False,False,False,False,False,True
8,7,0x7,??0ArgumentAnimation@@QEAA@AEBV0@@Z,public: __cdecl ArgumentAnimation::ArgumentAnimation(class ArgumentAnimation const &),method,,ArgumentAnimation,ArgumentAnimation,class ArgumentAnimation const &,False,False,False,False,False,False,True
9,8,0x8,??0ArgumentAnimation@@QEAA@XZ,public: __cdecl ArgumentAnimation::ArgumentAnimation(void),method,,ArgumentAnimation,ArgumentAnimation,void,False,False,False,False,False,False,True
10,9,0x9,??0ArgumentAnimationCyclic@@QEAA@$$QEAV0@@Z,public: __cdecl ArgumentAnimationCyclic::ArgumentAnimationCyclic(class ArgumentAnimationCyclic &&),method,,ArgumentAnimationCyclic,ArgumentAnimationCyclic,class ArgumentAnimationCyclic &&,False,False,False,False,False,False,True
