ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$wActivityGroupEnvelope@VwShellGroup@@VwShell@@@@QEAA@N@Z,"public: __cdecl wActivityGroupEnvelope<class wShellGroup, class wShell>::wActivityGroupEnvelope<class wShellGroup, class wShell>(double)",function,,,wShell>,double,False,False,False,False,False,False,True
2,1,0x1,??0CxInterpolator@@QEAA@NNNNN@Z,"public: __cdecl CxInterpolator::CxInterpolator(double, double, double, double, double)",method,,CxInterpolator,CxInterpolator,"double, double, double, double, double",False,False,False,False,False,False,True
3,2,0x2,??0CxInterpolator@@QEAA@PEBN@Z,public: __cdecl CxInterpolator::CxInterpolator(double const *),method,,CxInterpolator,CxInterpolator,double const *,False,False,False,False,False,False,True
4,3,0x3,??0CxInterpolator@@QEAA@XZ,public: __cdecl CxInterpolator::CxInterpolator(void),method,,CxInterpolator,CxInterpolator,void,False,False,False,False,False,False,True
5,4,0x4,??0FragmentationBlastHandler@FragmentationDamage@@QEAA@XZ,public: __cdecl FragmentationDamage::FragmentationBlastHandler::FragmentationBlastHandler(void),method,FragmentationDamage,FragmentationBlastHandler,FragmentationBlastHandler,void,False,False,False,False,False,False,True
6,5,0x5,??0LARBuilder@@QEAA@AEBV0@@Z,public: __cdecl LARBuilder::LARBuilder(class LARBuilder const &),method,,LARBuilder,LARBuilder,class LARBuilder const &,False,False,False,False,False,False,True
7,6,0x6,??0LARBuilder@@QEAA@XZ,public: __cdecl LARBuilder::LARBuilder(void),method,,LARBuilder,LARBuilder,void,False,False,False,False,False,False,True
8,7,0x7,??0TOFEstimator@@QEAA@XZ,public: __cdecl TOFEstimator::TOFEstimator(void),method,,TOFEstimator,TOFEstimator,void,False,False,False,False,False,False,True
9,8,0x8,??0WARBuilder@@QEAA@AEBV0@@Z,public: __cdecl WARBuilder::WARBuilder(class WARBuilder const &),method,,WARBuilder,WARBuilder,class WARBuilder const &,False,False,False,False,False,False,True
10,9,0x9,??0WARBuilder@@QEAA@XZ,public: __cdecl WARBuilder::WARBuilder(void),method,,WARBuilder,WARBuilder,void,False,False,False,False,False,False,True
11,10,0xA,??0wActivityGroup@@QEAA@N@Z,public: __cdecl wActivityGroup::wActivityGroup(double),method,,wActivityGroup,wActivityGroup,double,False,False,False,False,False,False,True
12,11,0xB,??0wActivityGroupMember@@QEAA@AEBV0@@Z,public: __cdecl wActivityGroupMember::wActivityGroupMember(class wActivityGroupMember const &),method,,wActivityGroupMember,wActivityGroupMember,class wActivityGroupMember const &,False,False,False,False,False,False,True
13,12,0xC,??0wActivityGroupMember@@QEAA@XZ,public: __cdecl wActivityGroupMember::wActivityGroupMember(void),method,,wActivityGroupMember,wActivityGroupMember,void,False,False,False,False,False,False,True
14,13,0xD,??0wAircraftGunMount@@QEAA@AEBV0@@Z,public: __cdecl wAircraftGunMount::wAircraftGunMount(class wAircraftGunMount const &),method,,wAircraftGunMount,wAircraftGunMount,class wAircraftGunMount const &,False,False,False,False,False,False,True
15,14,0xE,??0wAircraftGunMount@@QEAA@PEAVIwoLA@@CPEBVwAircraftGunMountDescriptor@@PEAVLoader@Lua@@@Z,"public: __cdecl wAircraftGunMount::wAircraftGunMount(class IwoLA *, signed char, class wAircraftGunMountDescriptor const *, class Lua::Loader *)",method,,wAircraftGunMount,wAircraftGunMount,"class IwoLA *, signed char, class wAircraftGunMountDescriptor const *, class Lua::Loader *",False,False,False,False,False,False,True
