ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0CloudDensityForMap@Weather@@QEAA@$$QEAV01@@Z,public: __cdecl Weather::CloudDensityForMap::CloudDensityForMap(class Weather::CloudDensityForMap &&),method,Weather,CloudDensityForMap,CloudDensityForMap,class Weather::CloudDensityForMap &&,False,False,False,False,False,False,True
2,1,0x1,??0CloudDensityForMap@Weather@@QEAA@AEBV01@@Z,public: __cdecl Weather::CloudDensityForMap::CloudDensityForMap(class Weather::CloudDensityForMap const &),method,Weather,CloudDensityForMap,CloudDensityForMap,class Weather::CloudDensityForMap const &,False,False,False,False,False,False,True
3,2,0x2,??0CloudDensityForMap@Weather@@QEAA@XZ,public: __cdecl Weather::CloudDensityForMap::CloudDensityForMap(void),method,Weather,CloudDensityForMap,CloudDensityForMap,void,False,False,False,False,False,False,True
4,3,0x3,??0DynamicAtmosphere@Weather@@QEAA@AEBV01@@Z,public: __cdecl Weather::DynamicAtmosphere::DynamicAtmosphere(class Weather::DynamicAtmosphere const &),method,Weather,DynamicAtmosphere,DynamicAtmosphere,class Weather::DynamicAtmosphere const &,False,False,False,False,False,False,True
5,4,0x4,??0DynamicAtmosphere@Weather@@QEAA@XZ,public: __cdecl Weather::DynamicAtmosphere::DynamicAtmosphere(void),method,Weather,DynamicAtmosphere,DynamicAtmosphere,void,False,False,False,False,False,False,True
6,5,0x5,??0IAtmosphere@Weather@@QEAA@AEBV01@@Z,public: __cdecl Weather::IAtmosphere::IAtmosphere(class Weather::IAtmosphere const &),method,Weather,IAtmosphere,IAtmosphere,class Weather::IAtmosphere const &,False,False,False,False,False,False,True
7,6,0x6,??0IAtmosphere@Weather@@QEAA@XZ,public: __cdecl Weather::IAtmosphere::IAtmosphere(void),method,Weather,IAtmosphere,IAtmosphere,void,False,False,False,False,False,False,True
8,7,0x7,??0RenderUtils@Weather@@QEAA@XZ,public: __cdecl Weather::RenderUtils::RenderUtils(void),method,Weather,RenderUtils,RenderUtils,void,False,False,False,False,False,False,True
9,8,0x8,??0StaticAtmosphere@Weather@@QEAA@AEBV01@@Z,public: __cdecl Weather::StaticAtmosphere::StaticAtmosphere(class Weather::StaticAtmosphere const &),method,Weather,StaticAtmosphere,StaticAtmosphere,class Weather::StaticAtmosphere const &,False,False,False,False,False,False,True
10,9,0x9,??0StaticAtmosphere@Weather@@QEAA@XZ,public: __cdecl Weather::StaticAtmosphere::StaticAtmosphere(void),method,Weather,StaticAtmosphere,StaticAtmosphere,void,False,False,False,False,False,False,True
11,10,0xA,??0WakeTurbulenceEmitter@@QEAA@AEBV0@@Z,public: __cdecl WakeTurbulenceEmitter::WakeTurbulenceEmitter(class WakeTurbulenceEmitter const &),method,,WakeTurbulenceEmitter,WakeTurbulenceEmitter,class WakeTurbulenceEmitter const &,False,False,False,False,False,False,True
12,11,0xB,??0WakeTurbulenceEmitter@@QEAA@XZ,public: __cdecl WakeTurbulenceEmitter::WakeTurbulenceEmitter(void),method,,WakeTurbulenceEmitter,WakeTurbulenceEmitter,void,False,False,False,False,False,False,True
13,12,0xC,??0WindyForMap@Weather@@QEAA@$$QEAV01@@Z,public: __cdecl Weather::WindyForMap::WindyForMap(class Weather::WindyForMap &&),method,Weather,WindyForMap,WindyForMap,class Weather::WindyForMap &&,False,False,False,False,False,False,True
14,13,0xD,??0WindyForMap@Weather@@QEAA@XZ,public: __cdecl Weather::WindyForMap::WindyForMap(void),method,Weather,WindyForMap,WindyForMap,void,False,False,False,False,False,False,True
15,14,0xE,??1CloudDensityForMap@Weather@@QEAA@XZ,public: __cdecl Weather::CloudDensityForMap::~CloudDensityForMap(void),method,Weather,CloudDensityForMap,~CloudDensityForMap,void,False,False,False,False,False,False,True
16,15,0xF,??1DynamicAtmosphere@Weather@@UEAA@XZ,public: virtual __cdecl Weather::DynamicAtmosphere::~DynamicAtmosphere(void),method,Weather,DynamicAtmosphere,~DynamicAtmosphere,void,False,False,True,False,False,False,True
17,16,0x10,??1IAtmosphere@Weather@@UEAA@XZ,public: virtual __cdecl Weather::IAtmosphere::~IAtmosphere(void),method,Weather,IAtmosphere,~IAtmosphere,void,False,False,True,False,False,False,True
18,17,0x11,??1RenderUtils@Weather@@QEAA@XZ,public: __cdecl Weather::RenderUtils::~RenderUtils(void),method,Weather,RenderUtils,~RenderUtils,void,False,False,False,False,False,False,True
19,18,0x12,??1StaticAtmosphere@Weather@@UEAA@XZ,public: virtual __cdecl Weather::StaticAtmosphere::~StaticAtmosphere(void),method,Weather,StaticAtmosphere,~StaticAtmosphere,void,False,False,True,False,False,False,True
20,19,0x13,??1WakeTurbulenceEmitter@@UEAA@XZ,public: virtual __cdecl WakeTurbulenceEmitter::~WakeTurbulenceEmitter(void),method,,WakeTurbulenceEmitter,~WakeTurbulenceEmitter,void,False,False,True,False,False,False,True
21,20,0x14,??1WindyForMap@Weather@@QEAA@XZ,public: __cdecl Weather::WindyForMap::~WindyForMap(void),method,Weather,WindyForMap,~WindyForMap,void,False,False,False,False,False,False,True
22,21,0x15,??4CloudDensityForMap@Weather@@QEAAAEAV01@$$QEAV01@@Z,public: class Weather::CloudDensityForMap & __cdecl Weather::CloudDensityForMap::operator=(class Weather::CloudDensityForMap &&),symbol,,,,,False,False,False,False,False,False,True
23,22,0x16,??4CloudDensityForMap@Weather@@QEAAAEAV01@AEBV01@@Z,public: class Weather::CloudDensityForMap & __cdecl Weather::CloudDensityForMap::operator=(class Weather::CloudDensityForMap const &),symbol,,,,,False,False,False,False,False,False,True
24,23,0x17,??4DynamicAtmosphere@Weather@@QEAAAEAV01@AEBV01@@Z,public: class Weather::DynamicAtmosphere & __cdecl Weather::DynamicAtmosphere::operator=(class Weather::DynamicAtmosphere const &),symbol,,,,,False,False,False,False,False,False,True
25,24,0x18,??4IAtmosphere@Weather@@QEAAAEAV01@AEBV01@@Z,public: class Weather::IAtmosphere & __cdecl Weather::IAtmosphere::operator=(class Weather::IAtmosphere const &),symbol,,,,,False,False,False,False,False,False,True
