ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ModelTimeQuantizer@@QEAA@XZ,public: __cdecl ModelTimeQuantizer::ModelTimeQuantizer(void),method,,ModelTimeQuantizer,ModelTimeQuantizer,void,False,False,False,False,False,False,True
2,1,0x1,??0Suicide@@QEAA@XZ,public: __cdecl Suicide::Suicide(void),method,,Suicide,Suicide,void,False,False,False,False,False,False,True
3,2,0x2,??0WorldPlugin@@QEAA@AEBV0@@Z,public: __cdecl WorldPlugin::WorldPlugin(class WorldPlugin const &),method,,WorldPlugin,WorldPlugin,class WorldPlugin const &,False,False,False,False,False,False,True
4,3,0x3,??0WorldPlugin@@QEAA@AEBV?$basic_string@D@ed@@0@Z,"public: __cdecl WorldPlugin::WorldPlugin(class ed::basic_string<char> const &, class ed::basic_string<char> const &)",method,,WorldPlugin,WorldPlugin,"class ed::basic_string<char> const &, class ed::basic_string<char> const &",False,False,False,False,False,False,True
5,4,0x4,??0wListener@@QEAA@AEBV0@@Z,public: __cdecl wListener::wListener(class wListener const &),method,,wListener,wListener,class wListener const &,False,False,False,False,False,False,True
6,5,0x5,??0wListener@@QEAA@XZ,public: __cdecl wListener::wListener(void),method,,wListener,wListener,void,False,False,False,False,False,False,True
7,6,0x6,??0wTime@@QEAA@N@Z,public: __cdecl wTime::wTime(double),method,,wTime,wTime,double,False,False,False,False,False,False,True
8,7,0x7,??0wTime@@QEAA@XZ,public: __cdecl wTime::wTime(void),method,,wTime,wTime,void,False,False,False,False,False,False,True
9,8,0x8,??1ModelTimeQuantizer@@QEAA@XZ,public: __cdecl ModelTimeQuantizer::~ModelTimeQuantizer(void),method,,ModelTimeQuantizer,~ModelTimeQuantizer,void,False,False,False,False,False,False,True
10,9,0x9,??1Suicide@@UEAA@XZ,public: virtual __cdecl Suicide::~Suicide(void),method,,Suicide,~Suicide,void,False,False,True,False,False,False,True
11,10,0xA,??1WorldPlugin@@UEAA@XZ,public: virtual __cdecl WorldPlugin::~WorldPlugin(void),method,,WorldPlugin,~WorldPlugin,void,False,False,True,False,False,False,True
12,11,0xB,??1wListener@@UEAA@XZ,public: virtual __cdecl wListener::~wListener(void),method,,wListener,~wListener,void,False,False,True,False,False,False,True
13,12,0xC,??1wTime@@UEAA@XZ,public: virtual __cdecl wTime::~wTime(void),method,,wTime,~wTime,void,False,False,True,False,False,False,True
14,13,0xD,??4ModelTimeQuantizer@@QEAAAEAV0@AEBV0@@Z,public: class ModelTimeQuantizer & __cdecl ModelTimeQuantizer::operator=(class ModelTimeQuantizer const &),symbol,,,,,False,False,False,False,False,False,True
15,14,0xE,??4WorldPlugin@@QEAAAEAV0@AEBV0@@Z,public: class WorldPlugin & __cdecl WorldPlugin::operator=(class WorldPlugin const &),symbol,,,,,False,False,False,False,False,False,True
16,15,0xF,??4wListener@@QEAAAEAV0@AEBV0@@Z,public: class wListener & __cdecl wListener::operator=(class wListener const &),symbol,,,,,False,False,False,False,False,False,True
17,16,0x10,??_7WorldPlugin@@6B@,const WorldPlugin::`vftable',vftable,,,,,False,False,False,True,False,False,True
18,17,0x11,??_7wListener@@6B@,const wListener::`vftable',vftable,,,,,False,False,False,True,False,False,True
19,18,0x12,?Adjudged@Suicide@@QEAA_NXZ,public: bool __cdecl Suicide::Adjudged(void),method,,Suicide,Adjudged,void,False,False,False,False,False,False,True
20,19,0x13,?Break@wSimCalendar@@SAXXZ,public: static void __cdecl wSimCalendar::Break(void),method,,wSimCalendar,Break,void,False,True,False,False,False,False,True
21,20,0x14,?Cancel@wTime@@QEAAXXZ,public: void __cdecl wTime::Cancel(void),method,,wTime,Cancel,void,False,False,False,False,False,False,True
22,21,0x15,?Clear@wSimCalendar@@SAXXZ,public: static void __cdecl wSimCalendar::Clear(void),method,,wSimCalendar,Clear,void,False,True,False,False,False,False,True
23,22,0x16,?CommandsTraceAnalogIsOn@wSimTrace@@SA_NXZ,public: static bool __cdecl wSimTrace::CommandsTraceAnalogIsOn(void),method,,wSimTrace,CommandsTraceAnalogIsOn,void,False,True,False,False,False,False,True
24,23,0x17,?CommandsTraceDiscreteIsOn@wSimTrace@@SA_NXZ,public: static bool __cdecl wSimTrace::CommandsTraceDiscreteIsOn(void),method,,wSimTrace,CommandsTraceDiscreteIsOn,void,False,True,False,False,False,False,True
25,24,0x18,?DoActionsUntil@wSimCalendar@@SAXN@Z,public: static void __cdecl wSimCalendar::DoActionsUntil(double),method,,wSimCalendar,DoActionsUntil,double,False,True,False,False,False,False,True
26,25,0x19,?GetAbsoluteModelTime@wTime@@SANXZ,public: static double __cdecl wTime::GetAbsoluteModelTime(void),method,,wTime,GetAbsoluteModelTime,void,False,True,False,False,False,False,True
27,26,0x1A,?GetDisplayName@WorldPlugin@@UEBAAEBV?$basic_string@D@ed@@XZ,public: virtual class ed::basic_string<char> const & __cdecl WorldPlugin::GetDisplayName(void) const,method,,WorldPlugin,GetDisplayName,void,True,False,True,False,False,False,True
28,27,0x1B,?GetLibraryHandle@WorldPlugin@@UEAAPEAVIDynamicLibrary@ed@@PEBD@Z,public: virtual class ed::IDynamicLibrary * __cdecl WorldPlugin::GetLibraryHandle(char const *),method,,WorldPlugin,GetLibraryHandle,char const *,False,False,True,False,False,False,True
29,28,0x1C,?GetModelPaths@WorldPlugin@@QEBAAEBV?$vector@V?$basic_string@D@ed@@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@XZ,"public: class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const & __cdecl WorldPlugin::GetModelPaths(void) const",method,,WorldPlugin,GetModelPaths,void,True,False,False,False,False,False,True
30,29,0x1D,?GetModelTime0@wTime@@SANXZ,public: static double __cdecl wTime::GetModelTime0(void),method,,wTime,GetModelTime0,void,False,True,False,False,False,False,True
31,30,0x1E,?GetModelTime@wTime@@SANXZ,public: static double __cdecl wTime::GetModelTime(void),method,,wTime,GetModelTime,void,False,True,False,False,False,False,True
32,31,0x1F,?GetModelTimeRaw@wTime@@SANXZ,public: static double __cdecl wTime::GetModelTimeRaw(void),method,,wTime,GetModelTimeRaw,void,False,True,False,False,False,False,True
33,32,0x20,?GetName@WorldPlugin@@UEAAAEBV?$basic_string@D@ed@@XZ,public: virtual class ed::basic_string<char> const & __cdecl WorldPlugin::GetName(void),method,,WorldPlugin,GetName,void,False,False,True,False,False,False,True
34,33,0x21,?GetOptionsEntryName@WorldPlugin@@UEBAPEBDXZ,public: virtual char const * __cdecl WorldPlugin::GetOptionsEntryName(void) const,method,,WorldPlugin,GetOptionsEntryName,void,True,False,True,False,False,False,True
35,34,0x22,?GetPath@WorldPlugin@@UEBAPEBDXZ,public: virtual char const * __cdecl WorldPlugin::GetPath(void) const,method,,WorldPlugin,GetPath,void,True,False,True,False,False,False,True
36,35,0x23,?GetSimCalendarStats@wSimCalendarStats@ed@@SAXV?$function@$$A6AXV?$basic_string_view@DU?$char_traits@D@std@@@std@@AEAUwSimCalendarStat@ed@@@Z@std@@@Z,"public: static void __cdecl ed::wSimCalendarStats::GetSimCalendarStats(class std::function<void __cdecl(class std::basic_string_view<char, struct std::char_traits<char>>, struct ed::wSimCalendarStat &)>)",method,ed,wSimCalendarStats,GetSimCalendarStats,"class std::function<void __cdecl(class std::basic_string_view<char, struct std::char_traits<char>>, struct ed::wSimCalendarStat &)>",False,True,False,False,False,False,True
37,36,0x24,?GetUniqueID@WorldPlugin@@UEBA_NAEAU?$array@E$0CA@@ed@@@Z,"public: virtual bool __cdecl WorldPlugin::GetUniqueID(struct ed::array<unsigned char, 32> &) const",method,,WorldPlugin,GetUniqueID,"struct ed::array<unsigned char, 32> &",True,False,True,False,False,False,True
38,37,0x25,?Initialize@WorldPlugin@@UEAA_NXZ,public: virtual bool __cdecl WorldPlugin::Initialize(void),method,,WorldPlugin,Initialize,void,False,False,True,False,False,False,True
39,38,0x26,?Initialized@WorldPlugin@@UEAA_NXZ,public: virtual bool __cdecl WorldPlugin::Initialized(void),method,,WorldPlugin,Initialized,void,False,False,True,False,False,False,True
40,39,0x27,?InsertToCalendar@wTime@@QEAAXXZ,public: void __cdecl wTime::InsertToCalendar(void),method,,wTime,InsertToCalendar,void,False,False,False,False,False,False,True
41,40,0x28,?IsCurrent@wTime@@QEBA_NXZ,public: bool __cdecl wTime::IsCurrent(void) const,method,,wTime,IsCurrent,void,True,False,False,False,False,False,True
42,41,0x29,?IsObjectClassTrace@wSimTrace@@SA_NPEBD@Z,public: static bool __cdecl wSimTrace::IsObjectClassTrace(char const *),method,,wSimTrace,IsObjectClassTrace,char const *,False,True,False,False,False,False,True
43,42,0x2A,?KillMe@WorldPlugin@@UEAA_NXZ,public: virtual bool __cdecl WorldPlugin::KillMe(void),method,,WorldPlugin,KillMe,void,False,False,True,False,False,False,True
44,43,0x2B,?KillMe@wTime@@QEAAXXZ,public: void __cdecl wTime::KillMe(void),method,,wTime,KillMe,void,False,False,False,False,False,False,True
45,44,0x2C,?MissedEvent@wTime@@UEAAXXZ,public: virtual void __cdecl wTime::MissedEvent(void),method,,wTime,MissedEvent,void,False,False,True,False,False,False,True
46,45,0x2D,?ObjectsTraceIsOn@wSimTrace@@SA_NXZ,public: static bool __cdecl wSimTrace::ObjectsTraceIsOn(void),method,,wSimTrace,ObjectsTraceIsOn,void,False,True,False,False,False,False,True
47,46,0x2E,?ObjectsTraceTime@wSimTrace@@SANXZ,public: static double __cdecl wSimTrace::ObjectsTraceTime(void),method,,wSimTrace,ObjectsTraceTime,void,False,True,False,False,False,False,True
48,47,0x2F,?RecordModelTimeAccelerationIsOn@wSimCalendar@@SA_NXZ,public: static bool __cdecl wSimCalendar::RecordModelTimeAccelerationIsOn(void),method,,wSimCalendar,RecordModelTimeAccelerationIsOn,void,False,True,False,False,False,False,True
49,48,0x30,?ResetSimCalendarStats@wSimCalendarStats@ed@@SAXXZ,public: static void __cdecl ed::wSimCalendarStats::ResetSimCalendarStats(void),method,ed,wSimCalendarStats,ResetSimCalendarStats,void,False,True,False,False,False,False,True
50,49,0x31,?SetDebugModelTime0@wTime@@KAXN@Z,protected: static void __cdecl wTime::SetDebugModelTime0(double),method,,wTime,SetDebugModelTime0,double,False,True,False,False,False,False,True
51,50,0x32,?SetModelTime0@wTime@@CAXN@Z,private: static void __cdecl wTime::SetModelTime0(double),method,,wTime,SetModelTime0,double,False,True,False,False,False,False,True
52,51,0x33,?SetModelTime@wTime@@CAXN@Z,private: static void __cdecl wTime::SetModelTime(double),method,,wTime,SetModelTime,double,False,True,False,False,False,False,True
53,52,0x34,?Start@wSimCalendar@@SAXAEBV?$basic_string@D@ed@@@Z,public: static void __cdecl wSimCalendar::Start(class ed::basic_string<char> const &),method,,wSimCalendar,Start,class ed::basic_string<char> const &,False,True,False,False,False,False,True
