ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0CloudShadows@cld@@QEAA@$$QEAV01@@Z,public: __cdecl cld::CloudShadows::CloudShadows(class cld::CloudShadows &&),method,cld,CloudShadows,CloudShadows,class cld::CloudShadows &&,False,False,False,False,False,False,True
2,1,0x1,??0CloudShadows@cld@@QEAA@XZ,public: __cdecl cld::CloudShadows::CloudShadows(void),method,cld,CloudShadows,CloudShadows,void,False,False,False,False,False,False,True
3,2,0x2,??1CloudShadows@cld@@UEAA@XZ,public: virtual __cdecl cld::CloudShadows::~CloudShadows(void),method,cld,CloudShadows,~CloudShadows,void,False,False,True,False,False,False,True
4,3,0x3,??4CloudShadows@cld@@QEAAAEAV01@$$QEAV01@@Z,public: class cld::CloudShadows & __cdecl cld::CloudShadows::operator=(class cld::CloudShadows &&),symbol,,,,,False,False,False,False,False,False,True
5,4,0x4,??_7CloudShadows@cld@@6B@,const cld::CloudShadows::`vftable',vftable,,,,,False,False,False,True,False,False,True
6,5,0x5,?OnUpdate@CloudShadows@cld@@EEAAXXZ,private: virtual void __cdecl cld::CloudShadows::OnUpdate(void),method,cld,CloudShadows,OnUpdate,void,False,False,True,False,False,False,True
7,6,0x6,?collect@CloudShadows@cld@@AEAAIPEAVVec4d@osg@@AEBV34@AEAVVec3d@4@PEAPEAVviObject@@K@Z,"private: unsigned int __cdecl cld::CloudShadows::collect(class osg::Vec4d *, class osg::Vec4d const &, class osg::Vec3d &, class viObject **, unsigned long)",method,cld,CloudShadows,collect,"class osg::Vec4d *, class osg::Vec4d const &, class osg::Vec3d &, class viObject **, unsigned long",False,False,False,False,False,False,True
8,7,0x7,?collect@CloudShadows@cld@@AEAAIPEAVVec4d@osg@@PEAPEAVviObject@@K@Z,"private: unsigned int __cdecl cld::CloudShadows::collect(class osg::Vec4d *, class viObject **, unsigned long)",method,cld,CloudShadows,collect,"class osg::Vec4d *, class viObject **, unsigned long",False,False,False,False,False,False,True
9,8,0x8,?init@CloudShadows@cld@@QEAAXXZ,public: void __cdecl cld::CloudShadows::init(void),method,cld,CloudShadows,init,void,False,False,False,False,False,False,True
10,9,0x9,?makeShadow@CloudShadows@cld@@QEAAXAEBVVec3f@osg@@@Z,public: void __cdecl cld::CloudShadows::makeShadow(class osg::Vec3f const &),method,cld,CloudShadows,makeShadow,class osg::Vec3f const &,False,False,False,False,False,False,True
11,10,0xA,deinit_graphics_plugin,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,init_graphics_plugin,,unknown,,,,,False,False,False,False,False,False,False
