ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$toQuaternion@V?$aiQuaterniont@M@@@Animator@@YA?AV?$aiQuaterniont@M@@NNN@Z,"class aiQuaterniont<float> __cdecl Animator::toQuaternion<class aiQuaterniont<float>>(double, double, double)",function,,,aiQuaterniont<float>>,"double, double, double",False,False,False,False,False,False,True
2,1,0x1,??$toQuaternion@VQuaternion@@@Animator@@YA?AVQuaternion@@NNN@Z,"class Quaternion __cdecl Animator::toQuaternion<class Quaternion>(double, double, double)",function,,,Quaternion>,"double, double, double",False,False,False,False,False,False,True
3,2,0x2,??$toQuaternion@VQuatf@osg@@@Animator@@YA?AVQuatf@osg@@NNN@Z,"class osg::Quatf __cdecl Animator::toQuaternion<class osg::Quatf>(double, double, double)",method,,osg,Quatf>,"double, double, double",False,False,False,False,False,False,True
4,3,0x3,??0Animation@Animator@@QEAA@AEBV01@@Z,public: __cdecl Animator::Animation::Animation(class Animator::Animation const &),method,Animator,Animation,Animation,class Animator::Animation const &,False,False,False,False,False,False,True
5,4,0x4,??0Animation@Animator@@QEAA@PEAVAnimationManager@1@AEBV?$basic_string@D@ed@@H@Z,"public: __cdecl Animator::Animation::Animation(class Animator::AnimationManager *, class ed::basic_string<char> const &, int)",method,Animator,Animation,Animation,"class Animator::AnimationManager *, class ed::basic_string<char> const &, int",False,False,False,False,False,False,True
6,5,0x5,??0AnimationBlender2@Animator@@QEAA@XZ,public: __cdecl Animator::AnimationBlender2::AnimationBlender2(void),method,Animator,AnimationBlender2,AnimationBlender2,void,False,False,False,False,False,False,True
7,6,0x6,??0AnimationBlender@Animator@@QEAA@AEBV01@@Z,public: __cdecl Animator::AnimationBlender::AnimationBlender(class Animator::AnimationBlender const &),method,Animator,AnimationBlender,AnimationBlender,class Animator::AnimationBlender const &,False,False,False,False,False,False,True
8,7,0x7,??0AnimationBlender@Animator@@QEAA@XZ,public: __cdecl Animator::AnimationBlender::AnimationBlender(void),method,Animator,AnimationBlender,AnimationBlender,void,False,False,False,False,False,False,True
9,8,0x8,??0AnimationController@Animator@@QEAA@AEBV01@@Z,public: __cdecl Animator::AnimationController::AnimationController(class Animator::AnimationController const &),method,Animator,AnimationController,AnimationController,class Animator::AnimationController const &,False,False,False,False,False,False,True
10,9,0x9,??0AnimationController@Animator@@QEAA@PEAVCharacterModelCookie@1@@Z,public: __cdecl Animator::AnimationController::AnimationController(class Animator::CharacterModelCookie *),method,Animator,AnimationController,AnimationController,class Animator::CharacterModelCookie *,False,False,False,False,False,False,True
11,10,0xA,??0AnimationGraph@Animator@@QEAA@XZ,public: __cdecl Animator::AnimationGraph::AnimationGraph(void),method,Animator,AnimationGraph,AnimationGraph,void,False,False,False,False,False,False,True
12,11,0xB,??0AnimationManager@Animator@@QEAA@PEBD@Z,public: __cdecl Animator::AnimationManager::AnimationManager(char const *),method,Animator,AnimationManager,AnimationManager,char const *,False,False,False,False,False,False,True
13,12,0xC,??0AnimationStateMachine@Animator@@QEAA@AEBV01@@Z,public: __cdecl Animator::AnimationStateMachine::AnimationStateMachine(class Animator::AnimationStateMachine const &),method,Animator,AnimationStateMachine,AnimationStateMachine,class Animator::AnimationStateMachine const &,False,False,False,False,False,False,True
14,13,0xD,??0AnimationStateMachine@Animator@@QEAA@PEAVCharacterModelCookie@1@@Z,public: __cdecl Animator::AnimationStateMachine::AnimationStateMachine(class Animator::CharacterModelCookie *),method,Animator,AnimationStateMachine,AnimationStateMachine,class Animator::CharacterModelCookie *,False,False,False,False,False,False,True
15,14,0xE,??0CharacterController@Animator@@QEAA@AEBV01@@Z,public: __cdecl Animator::CharacterController::CharacterController(class Animator::CharacterController const &),method,Animator,CharacterController,CharacterController,class Animator::CharacterController const &,False,False,False,False,False,False,True
16,15,0xF,??0CharacterController@Animator@@QEAA@XZ,public: __cdecl Animator::CharacterController::CharacterController(void),method,Animator,CharacterController,CharacterController,void,False,False,False,False,False,False,True
17,16,0x10,??0CharacterInstanceGraphicsReflection@Animator@@QEAA@$$QEAV?$unique_ptr@VModelCookie@model@@UModelCookieDeleter@2@@std@@@Z,"public: __cdecl Animator::CharacterInstanceGraphicsReflection::CharacterInstanceGraphicsReflection(class std::unique_ptr<class model::ModelCookie, struct model::ModelCookieDeleter> &&)",method,Animator,CharacterInstanceGraphicsReflection,CharacterInstanceGraphicsReflection,"class std::unique_ptr<class model::ModelCookie, struct model::ModelCookieDeleter> &&",False,False,False,False,False,False,True
