ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??getBlockTypeName@InputOutputBlock@wSimulationSystemScheme@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl wSimulationSystemScheme::InputOutputBlock::getBlockTypeName(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??getBlockTypeName@SpecialCommandsBlock@wSimulationSystemScheme@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl wSimulationSystemScheme::SpecialCommandsBlock::getBlockTypeName(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,?$TSS0@?1??getClassName@InputOutputBlock@wSimulationSystemScheme@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl wSimulationSystemScheme::InputOutputBlock::getClassName(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,?$TSS0@?1??getClassName@SpecialCommandsBlock@wSimulationSystemScheme@@UEBAAEBV?$basic_string@D@ed@@XZ@4HA,int `public: virtual class ed::basic_string<char> const & __cdecl wSimulationSystemScheme::SpecialCommandsBlock::getClassName(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
5,4,0x4,??$beginArray@H@Loader@Lua@@QEAAXH@Z,public: void __cdecl Lua::Loader::beginArray<int>(int),method,Lua,Loader,beginArray<int>,int,False,False,False,False,False,False,True
6,5,0x5,??$beginArray@PEBD@Loader@Lua@@QEAAXQEBD@Z,public: void __cdecl Lua::Loader::beginArray<char const *>(char const *const),function,,,>,char const *const,False,False,False,False,False,False,True
7,6,0x6,??$beginArray@V?$basic_string@D@ed@@@Loader@Lua@@QEAAXV?$basic_string@D@ed@@@Z,public: void __cdecl Lua::Loader::beginArray<class ed::basic_string<char>>(class ed::basic_string<char>),method,,ed,basic_string<char>>,class ed::basic_string<char>,False,False,False,False,False,False,True
8,7,0x7,??$beginSubtable@H@Loader@Lua@@QEAAXH@Z,public: void __cdecl Lua::Loader::beginSubtable<int>(int),method,Lua,Loader,beginSubtable<int>,int,False,False,False,False,False,False,True
9,8,0x8,??$beginSubtable@PEBD@Loader@Lua@@QEAAXQEBD@Z,public: void __cdecl Lua::Loader::beginSubtable<char const *>(char const *const),function,,,>,char const *const,False,False,False,False,False,False,True
10,9,0x9,??$beginSubtable@V?$basic_string@D@ed@@@Loader@Lua@@QEAAXV?$basic_string@D@ed@@@Z,public: void __cdecl Lua::Loader::beginSubtable<class ed::basic_string<char>>(class ed::basic_string<char>),method,,ed,basic_string<char>>,class ed::basic_string<char>,False,False,False,False,False,False,True
