ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1126,0,0x0,DbgHelpCreateUserDump,,unknown,,,,,False,False,False,False,False,False,False
1127,1,0x1,DbgHelpCreateUserDumpW,,unknown,,,,,False,False,False,False,False,False,False
1128,2,0x2,EnumDirTree,,unknown,,,,,False,False,False,False,False,False,False
1129,3,0x3,EnumDirTreeW,,unknown,,,,,False,False,False,False,False,False,False
1130,4,0x4,EnumerateLoadedModules,,unknown,,,,,False,False,False,False,False,False,False
1131,5,0x5,EnumerateLoadedModules64,,unknown,,,,,False,False,False,False,False,False,False
1132,6,0x6,EnumerateLoadedModulesEx,,unknown,,,,,False,False,False,False,False,False,False
1133,7,0x7,EnumerateLoadedModulesExW,,unknown,,,,,False,False,False,False,False,False,False
1134,8,0x8,EnumerateLoadedModulesW64,,unknown,,,,,False,False,False,False,False,False,False
1135,9,0x9,ExtensionApiVersion,,unknown,,,,,False,False,False,False,False,False,False
1136,10,0xA,FindDebugInfoFile,,unknown,,,,,False,False,False,False,False,False,False
1137,11,0xB,FindDebugInfoFileEx,,unknown,,,,,False,False,False,False,False,False,False
1138,12,0xC,FindDebugInfoFileExW,,unknown,,,,,False,False,False,False,False,False,False
1139,13,0xD,FindExecutableImage,,unknown,,,,,False,False,False,False,False,False,False
1140,14,0xE,FindExecutableImageEx,,unknown,,,,,False,False,False,False,False,False,False
1141,15,0xF,FindExecutableImageExW,,unknown,,,,,False,False,False,False,False,False,False
1142,16,0x10,FindFileInPath,,unknown,,,,,False,False,False,False,False,False,False
1143,17,0x11,FindFileInSearchPath,,unknown,,,,,False,False,False,False,False,False,False
1144,18,0x12,GetSymLoadError,,unknown,,,,,False,False,False,False,False,False,False
1145,19,0x13,GetTimestampForLoadedLibrary,,unknown,,,,,False,False,False,False,False,False,False
1146,20,0x14,ImageDirectoryEntryToData,,unknown,,,,,False,False,False,False,False,False,False
1147,21,0x15,ImageDirectoryEntryToDataEx,,unknown,,,,,False,False,False,False,False,False,False
1148,22,0x16,ImageNtHeader,,unknown,,,,,False,False,False,False,False,False,False
1149,23,0x17,ImageRvaToSection,,unknown,,,,,False,False,False,False,False,False,False
1150,24,0x18,ImageRvaToVa,,unknown,,,,,False,False,False,False,False,False,False
1151,25,0x19,ImagehlpApiVersion,,unknown,,,,,False,False,False,False,False,False,False
1152,26,0x1A,ImagehlpApiVersionEx,,unknown,,,,,False,False,False,False,False,False,False
1153,27,0x1B,MakeSureDirectoryPathExists,,unknown,,,,,False,False,False,False,False,False,False
1156,30,0x1E,RangeMapAddPeImageSections,,unknown,,,,,False,False,False,False,False,False,False
1157,31,0x1F,RangeMapCreate,,unknown,,,,,False,False,False,False,False,False,False
1158,32,0x20,RangeMapFree,,unknown,,,,,False,False,False,False,False,False,False
1159,33,0x21,RangeMapRead,,unknown,,,,,False,False,False,False,False,False,False
1160,34,0x22,RangeMapRemove,,unknown,,,,,False,False,False,False,False,False,False
1161,35,0x23,RangeMapWrite,,unknown,,,,,False,False,False,False,False,False,False
1162,36,0x24,RemoveInvalidModuleList,,unknown,,,,,False,False,False,False,False,False,False
1163,37,0x25,ReportSymbolLoadSummary,,unknown,,,,,False,False,False,False,False,False,False
1164,38,0x26,SearchTreeForFile,,unknown,,,,,False,False,False,False,False,False,False
1165,39,0x27,SearchTreeForFileW,,unknown,,,,,False,False,False,False,False,False,False
1166,40,0x28,SetCheckUserInterruptShared,,unknown,,,,,False,False,False,False,False,False,False
1167,41,0x29,SetSymLoadError,,unknown,,,,,False,False,False,False,False,False,False
1168,42,0x2A,StackWalk,,unknown,,,,,False,False,False,False,False,False,False
1169,43,0x2B,StackWalk64,,unknown,,,,,False,False,False,False,False,False,False
1170,44,0x2C,StackWalkEx,,unknown,,,,,False,False,False,False,False,False,False
1171,45,0x2D,SymAddSourceStream,,unknown,,,,,False,False,False,False,False,False,False
1172,46,0x2E,SymAddSourceStreamA,,unknown,,,,,False,False,False,False,False,False,False
1173,47,0x2F,SymAddSourceStreamW,,unknown,,,,,False,False,False,False,False,False,False
1174,48,0x30,SymAddSymbol,,unknown,,,,,False,False,False,False,False,False,False
1175,49,0x31,SymAddSymbolW,,unknown,,,,,False,False,False,False,False,False,False
1176,50,0x32,SymAddrIncludeInlineTrace,,unknown,,,,,False,False,False,False,False,False,False
1111,51,0x33,SymAllocDiaString,,unknown,,,,,False,False,False,False,False,False,False
1177,52,0x34,SymCleanup,,unknown,,,,,False,False,False,False,False,False,False
1178,53,0x35,SymCompareInlineTrace,,unknown,,,,,False,False,False,False,False,False,False
1179,54,0x36,SymDeleteSymbol,,unknown,,,,,False,False,False,False,False,False,False
1180,55,0x37,SymDeleteSymbolW,,unknown,,,,,False,False,False,False,False,False,False
1181,56,0x38,SymEnumLines,,unknown,,,,,False,False,False,False,False,False,False
1182,57,0x39,SymEnumLinesW,,unknown,,,,,False,False,False,False,False,False,False
1183,58,0x3A,SymEnumProcesses,,unknown,,,,,False,False,False,False,False,False,False
1184,59,0x3B,SymEnumSourceFileTokens,,unknown,,,,,False,False,False,False,False,False,False
1185,60,0x3C,SymEnumSourceFiles,,unknown,,,,,False,False,False,False,False,False,False
1186,61,0x3D,SymEnumSourceFilesW,,unknown,,,,,False,False,False,False,False,False,False
1187,62,0x3E,SymEnumSourceLines,,unknown,,,,,False,False,False,False,False,False,False
1188,63,0x3F,SymEnumSourceLinesW,,unknown,,,,,False,False,False,False,False,False,False
1189,64,0x40,SymEnumSym,,unknown,,,,,False,False,False,False,False,False,False
1190,65,0x41,SymEnumSymbols,,unknown,,,,,False,False,False,False,False,False,False
1191,66,0x42,SymEnumSymbolsEx,,unknown,,,,,False,False,False,False,False,False,False
1192,67,0x43,SymEnumSymbolsExW,,unknown,,,,,False,False,False,False,False,False,False
1193,68,0x44,SymEnumSymbolsForAddr,,unknown,,,,,False,False,False,False,False,False,False
1194,69,0x45,SymEnumSymbolsForAddrW,,unknown,,,,,False,False,False,False,False,False,False
1195,70,0x46,SymEnumSymbolsW,,unknown,,,,,False,False,False,False,False,False,False
1196,71,0x47,SymEnumTypes,,unknown,,,,,False,False,False,False,False,False,False
1197,72,0x48,SymEnumTypesByName,,unknown,,,,,False,False,False,False,False,False,False
1198,73,0x49,SymEnumTypesByNameW,,unknown,,,,,False,False,False,False,False,False,False
1199,74,0x4A,SymEnumTypesW,,unknown,,,,,False,False,False,False,False,False,False
1200,75,0x4B,SymEnumerateModules,,unknown,,,,,False,False,False,False,False,False,False
1201,76,0x4C,SymEnumerateModules64,,unknown,,,,,False,False,False,False,False,False,False
