ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ApplicationWin@gui@@IEAA@XZ,protected: __cdecl gui::ApplicationWin::ApplicationWin(void),method,gui,ApplicationWin,ApplicationWin,void,False,False,False,False,False,False,True
2,1,0x1,??1ApplicationWin@gui@@MEAA@XZ,protected: virtual __cdecl gui::ApplicationWin::~ApplicationWin(void),method,gui,ApplicationWin,~ApplicationWin,void,False,False,True,False,False,False,True
3,2,0x2,?activateWindow@ApplicationWin@gui@@UEAAXXZ,public: virtual void __cdecl gui::ApplicationWin::activateWindow(void),method,gui,ApplicationWin,activateWindow,void,False,False,True,False,False,False,True
4,3,0x3,?addMouseScaleListener@ApplicationWin@gui@@UEAAXV?$function@$$A6AXAEBVVec2f@osg@@@Z@std@@@Z,public: virtual void __cdecl gui::ApplicationWin::addMouseScaleListener(class std::function<void __cdecl(class osg::Vec2f const &)>),method,gui,ApplicationWin,addMouseScaleListener,class std::function<void __cdecl(class osg::Vec2f const &)>,False,False,True,False,False,False,True
5,4,0x4,?adjustWindowRect@ApplicationWin@gui@@UEBA?AU?$pair@UtagRECT@@K@std@@HH@Z,"public: virtual struct std::pair<struct tagRECT, unsigned long> __cdecl gui::ApplicationWin::adjustWindowRect(int, int) const",method,gui,ApplicationWin,adjustWindowRect,"int, int",True,False,True,False,False,False,True
6,5,0x5,?alignRect@ApplicationWin@gui@@IEBA?AUtagRECT@@HH@Z,"protected: struct tagRECT __cdecl gui::ApplicationWin::alignRect(int, int) const",method,gui,ApplicationWin,alignRect,"int, int",True,False,False,False,False,False,True
7,6,0x6,?boxMouseCursorToWindowOptionSet@ApplicationWin@gui@@UEAAX_N@Z,public: virtual void __cdecl gui::ApplicationWin::boxMouseCursorToWindowOptionSet(bool),method,gui,ApplicationWin,boxMouseCursorToWindowOptionSet,bool,False,False,True,False,False,False,True
8,7,0x7,?boxMouseCursorToWindow_@ApplicationWin@gui@@IEAAX_N@Z,protected: void __cdecl gui::ApplicationWin::boxMouseCursorToWindow_(bool),method,gui,ApplicationWin,boxMouseCursorToWindow_,bool,False,False,False,False,False,False,True
9,8,0x8,?clearMouseScaleListeners@ApplicationWin@gui@@UEAAXXZ,public: virtual void __cdecl gui::ApplicationWin::clearMouseScaleListeners(void),method,gui,ApplicationWin,clearMouseScaleListeners,void,False,False,True,False,False,False,True
10,9,0x9,?copyTextToClipboard@ApplicationWin@gui@@UEBAXAEBV?$basic_string@_W@ed@@@Z,public: virtual void __cdecl gui::ApplicationWin::copyTextToClipboard(class ed::basic_string<wchar_t> const &) const,method,gui,ApplicationWin,copyTextToClipboard,class ed::basic_string<wchar_t> const &,True,False,True,False,False,False,True
11,10,0xA,?createWindow_@ApplicationWin@gui@@MEAAXXZ,protected: virtual void __cdecl gui::ApplicationWin::createWindow_(void),method,gui,ApplicationWin,createWindow_,void,False,False,True,False,False,False,True
12,11,0xB,?dispatchInputMessage_@ApplicationWin@gui@@MEAA_NI_K_JAEA_J@Z,"protected: virtual bool __cdecl gui::ApplicationWin::dispatchInputMessage_(unsigned int, unsigned __int64, __int64, __int64 &)",method,gui,ApplicationWin,dispatchInputMessage_,"unsigned int, unsigned __int64, __int64, __int64 &",False,False,True,False,False,False,True
13,12,0xC,?dispatchMessage@ApplicationWin@gui@@QEAA_NI_K_JAEA_J@Z,"public: bool __cdecl gui::ApplicationWin::dispatchMessage(unsigned int, unsigned __int64, __int64, __int64 &)",method,gui,ApplicationWin,dispatchMessage,"unsigned int, unsigned __int64, __int64, __int64 &",False,False,False,False,False,False,True
14,13,0xD,?doSetWindowIcon@ApplicationWin@gui@@SAXPEAUHWND__@@PEBD@Z,"public: static void __cdecl gui::ApplicationWin::doSetWindowIcon(struct HWND__*, char const *)",method,gui,ApplicationWin,doSetWindowIcon,"struct HWND__*, char const *",False,True,False,False,False,False,True
15,14,0xE,?getBorderedWindowStyle_@ApplicationWin@gui@@MEBAKXZ,protected: virtual unsigned long __cdecl gui::ApplicationWin::getBorderedWindowStyle_(void) const,method,gui,ApplicationWin,getBorderedWindowStyle_,void,True,False,True,False,False,False,True
16,15,0xF,?getCurrentVideoMode@ApplicationWin@gui@@QEAA_NAEAH00@Z,"public: bool __cdecl gui::ApplicationWin::getCurrentVideoMode(int &, int &, int &)",method,gui,ApplicationWin,getCurrentVideoMode,"int &, int &, int &",False,False,False,False,False,False,True
17,16,0x10,?getDriveLetters@ApplicationWin@gui@@QEAAXAEAV?$vector@V?$basic_string@D@ed@@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@@Z,"public: void __cdecl gui::ApplicationWin::getDriveLetters(class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> &)",method,gui,ApplicationWin,getDriveLetters,"class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> &",False,False,False,False,False,False,True
18,17,0x11,?getFitToScreen@ApplicationWin@gui@@UEBA_NXZ,public: virtual bool __cdecl gui::ApplicationWin::getFitToScreen(void) const,method,gui,ApplicationWin,getFitToScreen,void,True,False,True,False,False,False,True
