ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$getDummy@UIDbgBox@eddd@@@dummy@eddd@@YAPEAUIDbgBox@1@XZ,struct eddd::IDbgBox * __cdecl eddd::dummy::getDummy<struct eddd::IDbgBox>(void),method,,eddd,IDbgBox>,void,False,False,False,False,False,False,True
2,1,0x1,??$getDummy@UIDbgCircle@eddd@@@dummy@eddd@@YAPEAUIDbgCircle@1@XZ,struct eddd::IDbgCircle * __cdecl eddd::dummy::getDummy<struct eddd::IDbgCircle>(void),method,,eddd,IDbgCircle>,void,False,False,False,False,False,False,True
3,2,0x2,??$getDummy@UIDbgCross@eddd@@@dummy@eddd@@YAPEAUIDbgCross@1@XZ,struct eddd::IDbgCross * __cdecl eddd::dummy::getDummy<struct eddd::IDbgCross>(void),method,,eddd,IDbgCross>,void,False,False,False,False,False,False,True
4,3,0x3,??$getDummy@UIDbgCylinder@eddd@@@dummy@eddd@@YAPEAUIDbgCylinder@1@XZ,struct eddd::IDbgCylinder * __cdecl eddd::dummy::getDummy<struct eddd::IDbgCylinder>(void),method,,eddd,IDbgCylinder>,void,False,False,False,False,False,False,True
5,4,0x4,??$getDummy@UIDbgFrustum@eddd@@@dummy@eddd@@YAPEAUIDbgFrustum@1@XZ,struct eddd::IDbgFrustum * __cdecl eddd::dummy::getDummy<struct eddd::IDbgFrustum>(void),method,,eddd,IDbgFrustum>,void,False,False,False,False,False,False,True
6,5,0x5,??$getDummy@UIDbgLimitedLine@eddd@@@dummy@eddd@@YAPEAUIDbgLimitedLine@1@XZ,struct eddd::IDbgLimitedLine * __cdecl eddd::dummy::getDummy<struct eddd::IDbgLimitedLine>(void),method,,eddd,IDbgLimitedLine>,void,False,False,False,False,False,False,True
7,6,0x6,??$getDummy@UIDbgPolyLine@eddd@@@dummy@eddd@@YAPEAUIDbgPolyLine@1@XZ,struct eddd::IDbgPolyLine * __cdecl eddd::dummy::getDummy<struct eddd::IDbgPolyLine>(void),method,,eddd,IDbgPolyLine>,void,False,False,False,False,False,False,True
8,7,0x7,??$getDummy@UIDbgSphere@eddd@@@dummy@eddd@@YAPEAUIDbgSphere@1@XZ,struct eddd::IDbgSphere * __cdecl eddd::dummy::getDummy<struct eddd::IDbgSphere>(void),method,,eddd,IDbgSphere>,void,False,False,False,False,False,False,True
9,8,0x8,??$getDummy@UIDbgText@eddd@@@dummy@eddd@@YAPEAUIDbgText@1@XZ,struct eddd::IDbgText * __cdecl eddd::dummy::getDummy<struct eddd::IDbgText>(void),method,,eddd,IDbgText>,void,False,False,False,False,False,False,True
10,9,0x9,??$getDummy@UIDbgVector3Field@eddd@@@dummy@eddd@@YAPEAUIDbgVector3Field@1@XZ,struct eddd::IDbgVector3Field * __cdecl eddd::dummy::getDummy<struct eddd::IDbgVector3Field>(void),method,,eddd,IDbgVector3Field>,void,False,False,False,False,False,False,True
