ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0CenterLine@lPointAsset@assets@@QEAA@XZ,public: __cdecl assets::lPointAsset::CenterLine::CenterLine(void),method,assets::lPointAsset,CenterLine,CenterLine,void,False,False,False,False,False,False,True
2,1,0x1,??0DibitVector@BSPUtils3@landscape4@@QEAA@I_N@Z,"public: __cdecl landscape4::BSPUtils3::DibitVector::DibitVector(unsigned int, bool)",method,landscape4::BSPUtils3,DibitVector,DibitVector,"unsigned int, bool",False,False,False,False,False,False,True
3,2,0x2,??0EventHandler@ITerrainImpl4@@QEAA@XZ,public: __cdecl ITerrainImpl4::EventHandler::EventHandler(void),method,ITerrainImpl4,EventHandler,EventHandler,void,False,False,False,False,False,False,True
4,3,0x3,??0GrassFile@landscape5@@QEAA@XZ,public: __cdecl landscape5::GrassFile::GrassFile(void),method,landscape5,GrassFile,GrassFile,void,False,False,False,False,False,False,True
5,4,0x4,??0IRoadNetworkImpl4@@QEAA@PEAVITerrainImpl4@@PEAUlRoadNetwork@landscape4@@@Z,"public: __cdecl IRoadNetworkImpl4::IRoadNetworkImpl4(class ITerrainImpl4 *, struct landscape4::lRoadNetwork *)",method,,IRoadNetworkImpl4,IRoadNetworkImpl4,"class ITerrainImpl4 *, struct landscape4::lRoadNetwork *",False,False,False,False,False,False,True
6,5,0x5,??0ITerrainImpl4@@QEAA@PEAVlTerraDispatchImpl@landscape4@@@Z,public: __cdecl ITerrainImpl4::ITerrainImpl4(class landscape4::lTerraDispatchImpl *),method,,ITerrainImpl4,ITerrainImpl4,class landscape4::lTerraDispatchImpl *,False,False,False,False,False,False,True
7,6,0x6,??0LOD@lsa5pureFile@landscape5@@QEAA@XZ,public: __cdecl landscape5::lsa5pureFile::LOD::LOD(void),method,landscape5::lsa5pureFile,LOD,LOD,void,False,False,False,False,False,False,True
8,7,0x7,??0MatchColorMeshInst@vd5@@QEAA@$$QEAV01@@Z,public: __cdecl vd5::MatchColorMeshInst::MatchColorMeshInst(class vd5::MatchColorMeshInst &&),method,vd5,MatchColorMeshInst,MatchColorMeshInst,class vd5::MatchColorMeshInst &&,False,False,False,False,False,False,True
9,8,0x8,??0MatchColorMeshInst@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::MatchColorMeshInst::MatchColorMeshInst(class vd5::MatchColorMeshInst const &),method,vd5,MatchColorMeshInst,MatchColorMeshInst,class vd5::MatchColorMeshInst const &,False,False,False,False,False,False,True
10,9,0x9,??0MatchColorMeshInst@vd5@@QEAA@XZ,public: __cdecl vd5::MatchColorMeshInst::MatchColorMeshInst(void),method,vd5,MatchColorMeshInst,MatchColorMeshInst,void,False,False,False,False,False,False,True
11,10,0xA,??0MaterialAlias@landscape4@@QEAA@AEBU01@@Z,public: __cdecl landscape4::MaterialAlias::MaterialAlias(struct landscape4::MaterialAlias const &),method,landscape4,MaterialAlias,MaterialAlias,struct landscape4::MaterialAlias const &,False,False,False,False,False,False,True
12,11,0xB,??0MaterialAlias@landscape4@@QEAA@XZ,public: __cdecl landscape4::MaterialAlias::MaterialAlias(void),method,landscape4,MaterialAlias,MaterialAlias,void,False,False,False,False,False,False,True
13,12,0xC,??0MaterialAliasFile@landscape4@@QEAA@XZ,public: __cdecl landscape4::MaterialAliasFile::MaterialAliasFile(void),method,landscape4,MaterialAliasFile,MaterialAliasFile,void,False,False,False,False,False,False,True
14,13,0xD,??0MeshInst@vd5@@QEAA@$$QEAV01@@Z,public: __cdecl vd5::MeshInst::MeshInst(class vd5::MeshInst &&),method,vd5,MeshInst,MeshInst,class vd5::MeshInst &&,False,False,False,False,False,False,True
15,14,0xE,??0MeshInst@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::MeshInst::MeshInst(class vd5::MeshInst const &),method,vd5,MeshInst,MeshInst,class vd5::MeshInst const &,False,False,False,False,False,False,True
16,15,0xF,??0MeshInst@vd5@@QEAA@XZ,public: __cdecl vd5::MeshInst::MeshInst(void),method,vd5,MeshInst,MeshInst,void,False,False,False,False,False,False,True
17,16,0x10,??0MetaInst@vd5@@QEAA@$$QEAV01@@Z,public: __cdecl vd5::MetaInst::MetaInst(class vd5::MetaInst &&),method,vd5,MetaInst,MetaInst,class vd5::MetaInst &&,False,False,False,False,False,False,True
18,17,0x11,??0MetaInst@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::MetaInst::MetaInst(class vd5::MetaInst const &),method,vd5,MetaInst,MetaInst,class vd5::MetaInst const &,False,False,False,False,False,False,True
19,18,0x12,??0MetaInst@vd5@@QEAA@XZ,public: __cdecl vd5::MetaInst::MetaInst(void),method,vd5,MetaInst,MetaInst,void,False,False,False,False,False,False,True
20,19,0x13,??0ModelAliasFile@export4@@QEAA@$$QEAV01@@Z,public: __cdecl export4::ModelAliasFile::ModelAliasFile(class export4::ModelAliasFile &&),method,export4,ModelAliasFile,ModelAliasFile,class export4::ModelAliasFile &&,False,False,False,False,False,False,True
21,20,0x14,??0ModelAliasFile@export4@@QEAA@AEBV01@@Z,public: __cdecl export4::ModelAliasFile::ModelAliasFile(class export4::ModelAliasFile const &),method,export4,ModelAliasFile,ModelAliasFile,class export4::ModelAliasFile const &,False,False,False,False,False,False,True
22,21,0x15,??0ModelAliasFile@export4@@QEAA@XZ,public: __cdecl export4::ModelAliasFile::ModelAliasFile(void),method,export4,ModelAliasFile,ModelAliasFile,void,False,False,False,False,False,False,True
23,22,0x16,??0ParticleDecl@lCloudType@landscape4@@QEAA@XZ,public: __cdecl landscape4::lCloudType::ParticleDecl::ParticleDecl(void),method,landscape4::lCloudType,ParticleDecl,ParticleDecl,void,False,False,False,False,False,False,True
24,23,0x17,??0PointInst@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::PointInst::PointInst(class vd5::PointInst const &),method,vd5,PointInst,PointInst,class vd5::PointInst const &,False,False,False,False,False,False,True
25,24,0x18,??0PointInst@vd5@@QEAA@XZ,public: __cdecl vd5::PointInst::PointInst(void),method,vd5,PointInst,PointInst,void,False,False,False,False,False,False,True
26,25,0x19,??0PointInstBinding@vd5@@QEAA@XZ,public: __cdecl vd5::PointInstBinding::PointInstBinding(void),method,vd5,PointInstBinding,PointInstBinding,void,False,False,False,False,False,False,True
27,26,0x1A,??0PointInstance@lLinked@assets@@QEAA@XZ,public: __cdecl assets::lLinked::PointInstance::PointInstance(void),method,assets::lLinked,PointInstance,PointInstance,void,False,False,False,False,False,False,True
28,27,0x1B,??0PolygonPositions@BSPUtils3@landscape4@@QEAA@III@Z,"public: __cdecl landscape4::BSPUtils3::PolygonPositions::PolygonPositions(unsigned int, unsigned int, unsigned int)",method,landscape4::BSPUtils3,PolygonPositions,PolygonPositions,"unsigned int, unsigned int, unsigned int",False,False,False,False,False,False,True
29,28,0x1C,??0PolygonPositions@BSPUtils3@landscape4@@QEAA@XZ,public: __cdecl landscape4::BSPUtils3::PolygonPositions::PolygonPositions(void),method,landscape4::BSPUtils3,PolygonPositions,PolygonPositions,void,False,False,False,False,False,False,True
30,29,0x1D,??0RebindMesh@export5@@QEAA@XZ,public: __cdecl export5::RebindMesh::RebindMesh(void),method,export5,RebindMesh,RebindMesh,void,False,False,False,False,False,False,True
31,30,0x1E,??0Reference@lReferenceFile@landscape4@@QEAA@XZ,public: __cdecl landscape4::lReferenceFile::Reference::Reference(void),method,landscape4::lReferenceFile,Reference,Reference,void,False,False,False,False,False,False,True
32,31,0x1F,??0ReferenceObject@lReferenceFile@landscape4@@QEAA@XZ,public: __cdecl landscape4::lReferenceFile::ReferenceObject::ReferenceObject(void),method,landscape4::lReferenceFile,ReferenceObject,ReferenceObject,void,False,False,False,False,False,False,True
33,32,0x20,??0Scene5File@landscape5@@QEAA@XZ,public: __cdecl landscape5::Scene5File::Scene5File(void),method,landscape5,Scene5File,Scene5File,void,False,False,False,False,False,False,True
34,33,0x21,??0SliceTextureIndex@landscape5@@QEAA@HHHUAdditionalTextureData@1@@Z,"public: __cdecl landscape5::SliceTextureIndex::SliceTextureIndex(int, int, int, struct landscape5::AdditionalTextureData)",method,landscape5,SliceTextureIndex,SliceTextureIndex,"int, int, int, struct landscape5::AdditionalTextureData",False,False,False,False,False,False,True
35,34,0x22,??0SplineInst@vd5@@QEAA@$$QEAV01@@Z,public: __cdecl vd5::SplineInst::SplineInst(class vd5::SplineInst &&),method,vd5,SplineInst,SplineInst,class vd5::SplineInst &&,False,False,False,False,False,False,True
36,35,0x23,??0SplineInst@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::SplineInst::SplineInst(class vd5::SplineInst const &),method,vd5,SplineInst,SplineInst,class vd5::SplineInst const &,False,False,False,False,False,False,True
37,36,0x24,??0SplineInst@vd5@@QEAA@XZ,public: __cdecl vd5::SplineInst::SplineInst(void),method,vd5,SplineInst,SplineInst,void,False,False,False,False,False,False,True
38,37,0x25,??0SplineInstance@lLinked@assets@@QEAA@XZ,public: __cdecl assets::lLinked::SplineInstance::SplineInstance(void),method,assets::lLinked,SplineInstance,SplineInstance,void,False,False,False,False,False,False,True
39,38,0x26,??0Square@lsa5pureFile@landscape5@@QEAA@XZ,public: __cdecl landscape5::lsa5pureFile::Square::Square(void),method,landscape5::lsa5pureFile,Square,Square,void,False,False,False,False,False,False,True
40,39,0x27,??0Stream@MaterialAlias@landscape4@@QEAA@PEBDH@Z,"public: __cdecl landscape4::MaterialAlias::Stream::Stream(char const *, int)",method,landscape4::MaterialAlias,Stream,Stream,"char const *, int",False,False,False,False,False,False,True
41,40,0x28,??0StripeAnchoringPoints@landscape4@@QEAA@XZ,public: __cdecl landscape4::StripeAnchoringPoints::StripeAnchoringPoints(void),method,landscape4,StripeAnchoringPoints,StripeAnchoringPoints,void,False,False,False,False,False,False,True
42,41,0x29,??0Surface5File@landscape5@@QEAA@XZ,public: __cdecl landscape5::Surface5File::Surface5File(void),method,landscape5,Surface5File,Surface5File,void,False,False,False,False,False,False,True
43,42,0x2A,??0SurfaceDetails5File@landscape4@@QEAA@XZ,public: __cdecl landscape4::SurfaceDetails5File::SurfaceDetails5File(void),method,landscape4,SurfaceDetails5File,SurfaceDetails5File,void,False,False,False,False,False,False,True
44,43,0x2B,??0TerrainParams@landscape5@@QEAA@XZ,public: __cdecl landscape5::TerrainParams::TerrainParams(void),method,landscape5,TerrainParams,TerrainParams,void,False,False,False,False,False,False,True
45,44,0x2C,??0TrafficLane@lSplineAsset@assets@@QEAA@XZ,public: __cdecl assets::lSplineAsset::TrafficLane::TrafficLane(void),method,assets::lSplineAsset,TrafficLane,TrafficLane,void,False,False,False,False,False,False,True
46,45,0x2D,??0VectorData@vd5@@QEAA@AEBV01@@Z,public: __cdecl vd5::VectorData::VectorData(class vd5::VectorData const &),method,vd5,VectorData,VectorData,class vd5::VectorData const &,False,False,False,False,False,False,True
47,46,0x2E,??0VectorData@vd5@@QEAA@XZ,public: __cdecl vd5::VectorData::VectorData(void),method,vd5,VectorData,VectorData,void,False,False,False,False,False,False,True
48,47,0x2F,??0clipmapPlane@landscape5@@QEAA@XZ,public: __cdecl landscape5::clipmapPlane::clipmapPlane(void),method,landscape5,clipmapPlane,clipmapPlane,void,False,False,False,False,False,False,True
49,48,0x30,??0forest50testFile@landscape5@@QEAA@XZ,public: __cdecl landscape5::forest50testFile::forest50testFile(void),method,landscape5,forest50testFile,forest50testFile,void,False,False,False,False,False,False,True
50,49,0x31,??0lAsset@assets@@QEAA@XZ,public: __cdecl assets::lAsset::lAsset(void),method,assets,lAsset,lAsset,void,False,False,False,False,False,False,True
51,50,0x32,??0lAssetFile@assets@@QEAA@XZ,public: __cdecl assets::lAssetFile::lAssetFile(void),method,assets,lAssetFile,lAssetFile,void,False,False,False,False,False,False,True
52,51,0x33,??0lClipmapTexture@landscape4@@QEAA@XZ,public: __cdecl landscape4::lClipmapTexture::lClipmapTexture(void),method,landscape4,lClipmapTexture,lClipmapTexture,void,False,False,False,False,False,False,True
53,52,0x34,??0lCloudSceneFile@landscape4@@QEAA@XZ,public: __cdecl landscape4::lCloudSceneFile::lCloudSceneFile(void),method,landscape4,lCloudSceneFile,lCloudSceneFile,void,False,False,False,False,False,False,True
