ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0BmpFile@edtex@@QEAA@AEBV01@@Z,public: __cdecl edtex::BmpFile::BmpFile(class edtex::BmpFile const &),method,edtex,BmpFile,BmpFile,class edtex::BmpFile const &,False,False,False,False,False,False,True
2,1,0x1,??0BmpFile@edtex@@QEAA@XZ,public: __cdecl edtex::BmpFile::BmpFile(void),method,edtex,BmpFile,BmpFile,void,False,False,False,False,False,False,True
3,2,0x2,??0ElevationSpatialFile@edtex@@QEAA@XZ,public: __cdecl edtex::ElevationSpatialFile::ElevationSpatialFile(void),method,edtex,ElevationSpatialFile,ElevationSpatialFile,void,False,False,False,False,False,False,True
4,3,0x3,??0ITextureFile@edtex@@QEAA@AEBV01@@Z,public: __cdecl edtex::ITextureFile::ITextureFile(class edtex::ITextureFile const &),method,edtex,ITextureFile,ITextureFile,class edtex::ITextureFile const &,False,False,False,False,False,False,True
5,4,0x4,??0ITextureFile@edtex@@QEAA@XZ,public: __cdecl edtex::ITextureFile::ITextureFile(void),method,edtex,ITextureFile,ITextureFile,void,False,False,False,False,False,False,True
6,5,0x5,??0PngFile@edtex@@QEAA@AEBV01@@Z,public: __cdecl edtex::PngFile::PngFile(class edtex::PngFile const &),method,edtex,PngFile,PngFile,class edtex::PngFile const &,False,False,False,False,False,False,True
7,6,0x6,??0PngFile@edtex@@QEAA@XZ,public: __cdecl edtex::PngFile::PngFile(void),method,edtex,PngFile,PngFile,void,False,False,False,False,False,False,True
8,7,0x7,??0TiffFile@edtex@@QEAA@AEBV01@@Z,public: __cdecl edtex::TiffFile::TiffFile(class edtex::TiffFile const &),method,edtex,TiffFile,TiffFile,class edtex::TiffFile const &,False,False,False,False,False,False,True
9,8,0x8,??0TiffFile@edtex@@QEAA@XZ,public: __cdecl edtex::TiffFile::TiffFile(void),method,edtex,TiffFile,TiffFile,void,False,False,False,False,False,False,True
10,9,0x9,??1BmpFile@edtex@@UEAA@XZ,public: virtual __cdecl edtex::BmpFile::~BmpFile(void),method,edtex,BmpFile,~BmpFile,void,False,False,True,False,False,False,True
