ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0TerrainRenderable@edtg41@@QEAA@AEBV01@@Z,public: __cdecl edtg41::TerrainRenderable::TerrainRenderable(class edtg41::TerrainRenderable const &),method,edtg41,TerrainRenderable,TerrainRenderable,class edtg41::TerrainRenderable const &,False,False,False,False,False,False,True
2,1,0x1,??0TerrainRenderable@edtg41@@QEAA@XZ,public: __cdecl edtg41::TerrainRenderable::TerrainRenderable(void),method,edtg41,TerrainRenderable,TerrainRenderable,void,False,False,False,False,False,False,True
3,2,0x2,??0lMaterialParamsArrayGraphics@edtg41@@QEAA@XZ,public: __cdecl edtg41::lMaterialParamsArrayGraphics::lMaterialParamsArrayGraphics(void),method,edtg41,lMaterialParamsArrayGraphics,lMaterialParamsArrayGraphics,void,False,False,False,False,False,False,True
4,3,0x3,??1TerrainRenderable@edtg41@@UEAA@XZ,public: virtual __cdecl edtg41::TerrainRenderable::~TerrainRenderable(void),method,edtg41,TerrainRenderable,~TerrainRenderable,void,False,False,True,False,False,False,True
5,4,0x4,??1lMaterialParamsArrayGraphics@edtg41@@QEAA@XZ,public: __cdecl edtg41::lMaterialParamsArrayGraphics::~lMaterialParamsArrayGraphics(void),method,edtg41,lMaterialParamsArrayGraphics,~lMaterialParamsArrayGraphics,void,False,False,False,False,False,False,True
6,5,0x5,??4TerrainRenderable@edtg41@@QEAAAEAV01@AEBV01@@Z,public: class edtg41::TerrainRenderable & __cdecl edtg41::TerrainRenderable::operator=(class edtg41::TerrainRenderable const &),symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,??_7TerrainRenderable@edtg41@@6BIRenderQueue@1@@,const edtg41::TerrainRenderable::`vftable'{for `edtg41::IRenderQueue'},vftable,,,,,False,False,False,True,False,False,True
8,7,0x7,??_7TerrainRenderable@edtg41@@6BIRenderable@edge@@@,const edtg41::TerrainRenderable::`vftable'{for `edge::IRenderable'},vftable,,,,,False,False,False,True,False,False,True
9,8,0x8,?GetITerraDispatchGraphics@edtg41@@YAPEAVITerraDispatchGraphics@1@XZ,class edtg41::ITerraDispatchGraphics * __cdecl edtg41::GetITerraDispatchGraphics(void),method,,edtg41,GetITerraDispatchGraphics,void,False,False,False,False,False,False,True
10,9,0x9,?ReadShadingOptions@edtg41@@YAXAEAVConfig@Lua@@AEAUTerrainOptions@1@@Z,"void __cdecl edtg41::ReadShadingOptions(class Lua::Config &, struct edtg41::TerrainOptions &)",method,,edtg41,ReadShadingOptions,"class Lua::Config &, struct edtg41::TerrainOptions &",False,False,False,False,False,False,True
11,10,0xA,?ReadTerrainOptions@edtg41@@YA_NAEAVConfig@Lua@@AEAUTerrainOptions@1@@Z,"bool __cdecl edtg41::ReadTerrainOptions(class Lua::Config &, struct edtg41::TerrainOptions &)",method,,edtg41,ReadTerrainOptions,"class Lua::Config &, struct edtg41::TerrainOptions &",False,False,False,False,False,False,True
12,11,0xB,?RecalcDistances@edtg41@@YAXAEAUTerrainOptions@1@MMW4edRecalcDistancesFilter@1@@Z,"void __cdecl edtg41::RecalcDistances(struct edtg41::TerrainOptions &, float, float, enum edtg41::edRecalcDistancesFilter)",method,,edtg41,RecalcDistances,"struct edtg41::TerrainOptions &, float, float, enum edtg41::edRecalcDistancesFilter",False,False,False,False,False,False,True
13,12,0xC,?RecalcDistances@edtg41@@YAXAEAUTerrainOptions@1@MW4edRecalcDistancesFilter@1@@Z,"void __cdecl edtg41::RecalcDistances(struct edtg41::TerrainOptions &, float, enum edtg41::edRecalcDistancesFilter)",method,,edtg41,RecalcDistances,"struct edtg41::TerrainOptions &, float, enum edtg41::edRecalcDistancesFilter",False,False,False,False,False,False,True
14,13,0xD,?addCounter@TerrainRenderable@edtg41@@QEAAXPEBDI@Z,"public: void __cdecl edtg41::TerrainRenderable::addCounter(char const *, unsigned int)",method,edtg41,TerrainRenderable,addCounter,"char const *, unsigned int",False,False,False,False,False,False,True
15,14,0xE,?addInstanceRenderItem@TerrainRenderable@edtg41@@UEAA_NAEBVMatrixf@osg@@AEBV?$BoundingBoxImpl@VVec3f@osg@@@4@PEAURenderItem@2@PEAX@Z,"public: virtual bool __cdecl edtg41::TerrainRenderable::addInstanceRenderItem(class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *)",method,edtg41,TerrainRenderable,addInstanceRenderItem,"class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *",False,False,True,False,False,False,True
16,15,0xF,?addRenderItem@TerrainRenderable@edtg41@@UEAA_NAEBVMatrixf@osg@@AEBV?$BoundingBoxImpl@VVec3f@osg@@@4@PEAURenderItem@2@PEAX@Z,"public: virtual bool __cdecl edtg41::TerrainRenderable::addRenderItem(class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *)",method,edtg41,TerrainRenderable,addRenderItem,"class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *",False,False,True,False,False,False,True
17,16,0x10,?addRenderItem@TerrainRenderable@edtg41@@UEAA_NAEBVParseContextWrapper@2@IAEBVMatrixf@osg@@AEBV?$BoundingBoxImpl@VVec3f@osg@@@5@PEAURenderItem@2@PEAX@Z,"public: virtual bool __cdecl edtg41::TerrainRenderable::addRenderItem(class edtg41::ParseContextWrapper const &, unsigned int, class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *)",method,edtg41,TerrainRenderable,addRenderItem,"class edtg41::ParseContextWrapper const &, unsigned int, class osg::Matrixf const &, class osg::BoundingBoxImpl<class osg::Vec3f> const &, struct edtg41::RenderItem *, void *",False,False,True,False,False,False,True
18,17,0x11,?clear@TerrainRenderable@edtg41@@UEAAX_KINNNPEA_NVVec2i@osg@@@Z,"public: virtual void __cdecl edtg41::TerrainRenderable::clear(unsigned __int64, unsigned int, double, double, double, bool *, class osg::Vec2i)",method,edtg41,TerrainRenderable,clear,"unsigned __int64, unsigned int, double, double, double, bool *, class osg::Vec2i",False,False,True,False,False,False,True
