ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,FTC_CMapCache_Lookup,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,FTC_CMapCache_New,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,FTC_ImageCache_Lookup,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,FTC_ImageCache_LookupScaler,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,FTC_ImageCache_New,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,FTC_Manager_Done,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,FTC_Manager_LookupFace,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,FTC_Manager_LookupSize,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,FTC_Manager_New,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,FTC_Manager_RemoveFaceID,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,FTC_Manager_Reset,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,FTC_Node_Unref,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,FTC_SBitCache_Lookup,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,FTC_SBitCache_LookupScaler,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,FTC_SBitCache_New,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,FT_Activate_Size,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,FT_Add_Default_Modules,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,FT_Add_Module,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,FT_Angle_Diff,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,FT_Atan2,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,FT_Attach_File,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,FT_Attach_Stream,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,FT_Bitmap_Convert,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,FT_Bitmap_Copy,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,FT_Bitmap_Done,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,FT_Bitmap_Embolden,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,FT_Bitmap_Init,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,FT_Bitmap_New,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,FT_CeilFix,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,FT_Cos,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,FT_DivFix,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,FT_Done_Face,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,FT_Done_FreeType,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,FT_Done_Glyph,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,FT_Done_Library,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,FT_Done_Size,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,FT_Face_GetCharVariantIndex,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,FT_Face_GetCharVariantIsDefault,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,FT_Face_GetCharsOfVariant,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,FT_Face_GetVariantSelectors,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,FT_Face_GetVariantsOfChar,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,FT_Face_Properties,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,FT_FloorFix,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,FT_Get_Advance,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,FT_Get_Advances,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,FT_Get_CMap_Format,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,FT_Get_CMap_Language_ID,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,FT_Get_Char_Index,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,FT_Get_Charmap_Index,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,FT_Get_First_Char,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,FT_Get_Font_Format,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,FT_Get_Glyph,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,FT_Get_Glyph_Name,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,FT_Get_Kerning,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,FT_Get_Module,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,FT_Get_Name_Index,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,FT_Get_Next_Char,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,FT_Get_Postscript_Name,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,FT_Get_Renderer,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,FT_Get_Sfnt_LangTag,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,FT_Get_Sfnt_Name,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,FT_Get_Sfnt_Name_Count,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,FT_Get_Sfnt_Table,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,FT_Get_SubGlyph_Info,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,FT_Get_Track_Kerning,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,FT_Get_TrueType_Engine_Type,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,FT_Get_X11_Font_Format,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,FT_GlyphSlot_Own_Bitmap,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,FT_Glyph_Copy,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,FT_Glyph_Get_CBox,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,FT_Glyph_To_Bitmap,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,FT_Glyph_Transform,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,FT_Gzip_Uncompress,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,FT_Init_FreeType,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,FT_Library_SetLcdFilter,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,FT_Library_SetLcdFilterWeights,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,FT_Library_Version,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,FT_List_Add,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,FT_List_Finalize,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,FT_List_Find,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,FT_List_Insert,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,FT_List_Iterate,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,FT_List_Remove,,unknown,,,,,False,False,False,False,False,False,False
84,83,0x53,FT_List_Up,,unknown,,,,,False,False,False,False,False,False,False
85,84,0x54,FT_Load_Char,,unknown,,,,,False,False,False,False,False,False,False
86,85,0x55,FT_Load_Glyph,,unknown,,,,,False,False,False,False,False,False,False
87,86,0x56,FT_Load_Sfnt_Table,,unknown,,,,,False,False,False,False,False,False,False
88,87,0x57,FT_Matrix_Invert,,unknown,,,,,False,False,False,False,False,False,False
89,88,0x58,FT_Matrix_Multiply,,unknown,,,,,False,False,False,False,False,False,False
90,89,0x59,FT_MulDiv,,unknown,,,,,False,False,False,False,False,False,False
91,90,0x5A,FT_MulFix,,unknown,,,,,False,False,False,False,False,False,False
92,91,0x5B,FT_New_Face,,unknown,,,,,False,False,False,False,False,False,False
93,92,0x5C,FT_New_Library,,unknown,,,,,False,False,False,False,False,False,False
94,93,0x5D,FT_New_Memory_Face,,unknown,,,,,False,False,False,False,False,False,False
95,94,0x5E,FT_New_Size,,unknown,,,,,False,False,False,False,False,False,False
96,95,0x5F,FT_Open_Face,,unknown,,,,,False,False,False,False,False,False,False
97,96,0x60,FT_Outline_Check,,unknown,,,,,False,False,False,False,False,False,False
98,97,0x61,FT_Outline_Copy,,unknown,,,,,False,False,False,False,False,False,False
99,98,0x62,FT_Outline_Decompose,,unknown,,,,,False,False,False,False,False,False,False
100,99,0x63,FT_Outline_Done,,unknown,,,,,False,False,False,False,False,False,False
101,100,0x64,FT_Outline_Done_Internal,,unknown,,,,,False,False,False,False,False,False,False
102,101,0x65,FT_Outline_Embolden,,unknown,,,,,False,False,False,False,False,False,False
103,102,0x66,FT_Outline_EmboldenXY,,unknown,,,,,False,False,False,False,False,False,False
104,103,0x67,FT_Outline_Get_Bitmap,,unknown,,,,,False,False,False,False,False,False,False
105,104,0x68,FT_Outline_Get_CBox,,unknown,,,,,False,False,False,False,False,False,False
106,105,0x69,FT_Outline_Get_Orientation,,unknown,,,,,False,False,False,False,False,False,False
107,106,0x6A,FT_Outline_New,,unknown,,,,,False,False,False,False,False,False,False
108,107,0x6B,FT_Outline_New_Internal,,unknown,,,,,False,False,False,False,False,False,False
109,108,0x6C,FT_Outline_Render,,unknown,,,,,False,False,False,False,False,False,False
110,109,0x6D,FT_Outline_Reverse,,unknown,,,,,False,False,False,False,False,False,False
111,110,0x6E,FT_Outline_Transform,,unknown,,,,,False,False,False,False,False,False,False
112,111,0x6F,FT_Outline_Translate,,unknown,,,,,False,False,False,False,False,False,False
113,112,0x70,FT_Property_Get,,unknown,,,,,False,False,False,False,False,False,False
114,113,0x71,FT_Property_Set,,unknown,,,,,False,False,False,False,False,False,False
115,114,0x72,FT_Reference_Face,,unknown,,,,,False,False,False,False,False,False,False
116,115,0x73,FT_Reference_Library,,unknown,,,,,False,False,False,False,False,False,False
117,116,0x74,FT_Remove_Module,,unknown,,,,,False,False,False,False,False,False,False
118,117,0x75,FT_Render_Glyph,,unknown,,,,,False,False,False,False,False,False,False
119,118,0x76,FT_Request_Size,,unknown,,,,,False,False,False,False,False,False,False
120,119,0x77,FT_RoundFix,,unknown,,,,,False,False,False,False,False,False,False
121,120,0x78,FT_Select_Charmap,,unknown,,,,,False,False,False,False,False,False,False
122,121,0x79,FT_Select_Size,,unknown,,,,,False,False,False,False,False,False,False
123,122,0x7A,FT_Set_Char_Size,,unknown,,,,,False,False,False,False,False,False,False
124,123,0x7B,FT_Set_Charmap,,unknown,,,,,False,False,False,False,False,False,False
125,124,0x7C,FT_Set_Debug_Hook,,unknown,,,,,False,False,False,False,False,False,False
