ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,CrashForExceptionInNonABICompliantCodeRange,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,GetHandleVerifier,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,GetMainTargetServices,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,IsCrashReportingEnabledImpl,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,IsSandboxedProcess,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,RelaunchChromeBrowserWithNewCommandLineIfNeeded,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,SetCrashKeyValueImpl,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,cef_add_cross_origin_whitelist_entry,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,cef_api_hash,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,cef_base64decode,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,cef_base64encode,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,cef_basetime_now,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,cef_begin_tracing,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,cef_binary_value_create,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,cef_browser_host_create_browser,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,cef_browser_host_create_browser_sync,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,cef_browser_view_create,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,cef_browser_view_get_for_browser,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,cef_clear_cross_origin_whitelist,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,cef_clear_scheme_handler_factories,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,cef_command_line_create,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,cef_command_line_get_global,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,cef_cookie_manager_get_global_manager,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,cef_crash_reporting_enabled,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,cef_create_context_shared,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,cef_create_directory,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,cef_create_new_temp_directory,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,cef_create_temp_directory_in_directory,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,cef_create_url,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,cef_currently_on,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,cef_delete_file,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,cef_dictionary_value_create,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,cef_directory_exists,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,cef_display_get_alls,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,cef_display_get_count,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,cef_display_get_matching_bounds,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,cef_display_get_nearest_point,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,cef_display_get_primary,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,cef_do_message_loop_work,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,cef_drag_data_create,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,cef_enable_highdpi_support,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,cef_end_tracing,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,cef_execute_java_script_with_user_gesture_for_tests,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,cef_execute_process,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,cef_format_url_for_security_display,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,cef_get_current_platform_thread_handle,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,cef_get_current_platform_thread_id,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,cef_get_extensions_for_mime_type,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,cef_get_mime_type,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,cef_get_min_log_level,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,cef_get_path,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,cef_get_temp_directory,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,cef_get_vlog_level,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,cef_image_create,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,cef_initialize,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,cef_is_cert_status_error,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,cef_is_rtl,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,cef_label_button_create,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,cef_launch_process,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,cef_list_value_create,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,cef_load_crlsets_file,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,cef_log,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,cef_media_router_get_global,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,cef_menu_button_create,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,cef_menu_model_create,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,cef_now_from_system_trace_time,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,cef_panel_create,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,cef_parse_json,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,cef_parse_json_buffer,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,cef_parse_jsonand_return_error,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,cef_parse_url,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,cef_post_data_create,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,cef_post_data_element_create,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,cef_post_delayed_task,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,cef_post_task,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,cef_print_settings_create,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,cef_process_message_create,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,cef_quit_message_loop,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,cef_register_extension,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,cef_register_scheme_handler_factory,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,cef_remove_cross_origin_whitelist_entry,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,cef_request_context_create_context,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,cef_request_context_get_global_context,,unknown,,,,,False,False,False,False,False,False,False
84,83,0x53,cef_request_create,,unknown,,,,,False,False,False,False,False,False,False
85,84,0x54,cef_resource_bundle_get_global,,unknown,,,,,False,False,False,False,False,False,False
86,85,0x55,cef_response_create,,unknown,,,,,False,False,False,False,False,False,False
87,86,0x56,cef_run_message_loop,,unknown,,,,,False,False,False,False,False,False,False
88,87,0x57,cef_scroll_view_create,,unknown,,,,,False,False,False,False,False,False,False
89,88,0x58,cef_server_create,,unknown,,,,,False,False,False,False,False,False,False
90,89,0x59,cef_set_crash_key_value,,unknown,,,,,False,False,False,False,False,False,False
91,90,0x5A,cef_set_data_directory_for_tests,,unknown,,,,,False,False,False,False,False,False,False
92,91,0x5B,cef_set_osmodal_loop,,unknown,,,,,False,False,False,False,False,False,False
93,92,0x5C,cef_shared_process_message_builder_create,,unknown,,,,,False,False,False,False,False,False,False
94,93,0x5D,cef_shutdown,,unknown,,,,,False,False,False,False,False,False,False
95,94,0x5E,cef_stream_reader_create_for_data,,unknown,,,,,False,False,False,False,False,False,False
96,95,0x5F,cef_stream_reader_create_for_file,,unknown,,,,,False,False,False,False,False,False,False
97,96,0x60,cef_stream_reader_create_for_handler,,unknown,,,,,False,False,False,False,False,False,False
98,97,0x61,cef_stream_writer_create_for_file,,unknown,,,,,False,False,False,False,False,False,False
99,98,0x62,cef_stream_writer_create_for_handler,,unknown,,,,,False,False,False,False,False,False,False
100,99,0x63,cef_string_ascii_to_utf16,,unknown,,,,,False,False,False,False,False,False,False
101,100,0x64,cef_string_ascii_to_wide,,unknown,,,,,False,False,False,False,False,False,False
102,101,0x65,cef_string_list_alloc,,unknown,,,,,False,False,False,False,False,False,False
103,102,0x66,cef_string_list_append,,unknown,,,,,False,False,False,False,False,False,False
104,103,0x67,cef_string_list_clear,,unknown,,,,,False,False,False,False,False,False,False
105,104,0x68,cef_string_list_copy,,unknown,,,,,False,False,False,False,False,False,False
106,105,0x69,cef_string_list_free,,unknown,,,,,False,False,False,False,False,False,False
107,106,0x6A,cef_string_list_size,,unknown,,,,,False,False,False,False,False,False,False
108,107,0x6B,cef_string_list_value,,unknown,,,,,False,False,False,False,False,False,False
109,108,0x6C,cef_string_map_alloc,,unknown,,,,,False,False,False,False,False,False,False
110,109,0x6D,cef_string_map_append,,unknown,,,,,False,False,False,False,False,False,False
111,110,0x6E,cef_string_map_clear,,unknown,,,,,False,False,False,False,False,False,False
112,111,0x6F,cef_string_map_find,,unknown,,,,,False,False,False,False,False,False,False
113,112,0x70,cef_string_map_free,,unknown,,,,,False,False,False,False,False,False,False
114,113,0x71,cef_string_map_key,,unknown,,,,,False,False,False,False,False,False,False
115,114,0x72,cef_string_map_size,,unknown,,,,,False,False,False,False,False,False,False
116,115,0x73,cef_string_map_value,,unknown,,,,,False,False,False,False,False,False,False
