ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
3,0,0x0,sf_close,,unknown,,,,,False,False,False,False,False,False,False
1,1,0x1,sf_command,,unknown,,,,,False,False,False,False,False,False,False
7,2,0x2,sf_error,,unknown,,,,,False,False,False,False,False,False,False
10,3,0x3,sf_error_number,,unknown,,,,,False,False,False,False,False,False,False
9,4,0x4,sf_error_str,,unknown,,,,,False,False,False,False,False,False,False
11,5,0x5,sf_format_check,,unknown,,,,,False,False,False,False,False,False,False
60,6,0x6,sf_get_string,,unknown,,,,,False,False,False,False,False,False,False
2,7,0x7,sf_open,,unknown,,,,,False,False,False,False,False,False,False
70,8,0x8,sf_open_fd,,unknown,,,,,False,False,False,False,False,False,False
80,9,0x9,sf_open_virtual,,unknown,,,,,False,False,False,False,False,False,False
8,10,0xA,sf_perror,,unknown,,,,,False,False,False,False,False,False,False
24,11,0xB,sf_read_double,,unknown,,,,,False,False,False,False,False,False,False
23,12,0xC,sf_read_float,,unknown,,,,,False,False,False,False,False,False,False
22,13,0xD,sf_read_int,,unknown,,,,,False,False,False,False,False,False,False
16,14,0xE,sf_read_raw,,unknown,,,,,False,False,False,False,False,False,False
21,15,0xF,sf_read_short,,unknown,,,,,False,False,False,False,False,False,False
20,16,0x10,sf_readf_double,,unknown,,,,,False,False,False,False,False,False,False
19,17,0x11,sf_readf_float,,unknown,,,,,False,False,False,False,False,False,False
18,18,0x12,sf_readf_int,,unknown,,,,,False,False,False,False,False,False,False
17,19,0x13,sf_readf_short,,unknown,,,,,False,False,False,False,False,False,False
4,20,0x14,sf_seek,,unknown,,,,,False,False,False,False,False,False,False
61,21,0x15,sf_set_string,,unknown,,,,,False,False,False,False,False,False,False
50,22,0x16,sf_strerror,,unknown,,,,,False,False,False,False,False,False,False
68,23,0x17,sf_version_string,,unknown,,,,,False,False,False,False,False,False,False
71,24,0x18,sf_wchar_open,,unknown,,,,,False,False,False,False,False,False,False
40,25,0x19,sf_write_double,,unknown,,,,,False,False,False,False,False,False,False
39,26,0x1A,sf_write_float,,unknown,,,,,False,False,False,False,False,False,False
38,27,0x1B,sf_write_int,,unknown,,,,,False,False,False,False,False,False,False
32,28,0x1C,sf_write_raw,,unknown,,,,,False,False,False,False,False,False,False
37,29,0x1D,sf_write_short,,unknown,,,,,False,False,False,False,False,False,False
90,30,0x1E,sf_write_sync,,unknown,,,,,False,False,False,False,False,False,False
36,31,0x1F,sf_writef_double,,unknown,,,,,False,False,False,False,False,False,False
35,32,0x20,sf_writef_float,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,sf_writef_int,,unknown,,,,,False,False,False,False,False,False,False
33,34,0x22,sf_writef_short,,unknown,,,,,False,False,False,False,False,False,False
