ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,luaD_growstack,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,luaF_newproto,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,luaL_addlstring,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,luaL_addstring,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,luaL_addvalue,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,luaL_argerror,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,luaL_buffinit,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,luaL_callmeta,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,luaL_checkany,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,luaL_checkinteger,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,luaL_checklstring,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,luaL_checknumber,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,luaL_checkoption,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,luaL_checkstack,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,luaL_checktype,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,luaL_checkudata,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,luaL_error,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,luaL_findtable,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,luaL_getmetafield,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,luaL_gsub,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,luaL_loadbuffer,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,luaL_loadfile,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,luaL_loadstring,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,luaL_newmetatable,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,luaL_newstate,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,luaL_openlib,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,luaL_openlibs,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,luaL_optinteger,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,luaL_optlstring,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,luaL_optnumber,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,luaL_prepbuffer,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,luaL_pushresult,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,luaL_ref,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,luaL_register,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,luaL_typerror,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,luaL_unref,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,luaL_where,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,luaM_realloc_,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,luaM_toobig,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,luaS_newlstr,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,luaU_dump,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,luaU_print,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,lua_atpanic,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,lua_call,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,lua_checkstack,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,lua_close,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,lua_concat,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,lua_cpcall,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,lua_createtable,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,lua_dump,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,lua_equal,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,lua_error,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,lua_gc,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,lua_getallocf,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,lua_getfenv,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,lua_getfield,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,lua_gethook,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,lua_gethookcount,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,lua_gethookmask,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,lua_getinfo,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,lua_getlocal,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,lua_getmetatable,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,lua_getstack,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,lua_gettable,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,lua_gettop,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,lua_getupvalue,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,lua_insert,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,lua_iscfunction,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,lua_isnumber,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,lua_isstring,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,lua_isuserdata,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,lua_lessthan,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,lua_load,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,lua_newstate,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,lua_newthread,,unknown,,,,,False,False,False,False,False,False,False
