ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,fill_fopen64_filefunc,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,fill_fopen_filefunc,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,fill_memory_filefunc,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,fill_win32_filefunc,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,fill_win32_filefunc64,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,fill_win32_filefunc64A,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,unzClose,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,unzCloseCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,unzClose_MZ,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,unzEndOfFile,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,unzGetCurrentFileInfo,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,unzGetCurrentFileInfo64,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,unzGetFilePos,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,unzGetFilePos64,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,unzGetGlobalComment,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,unzGetGlobalInfo,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,unzGetGlobalInfo64,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,unzGetHandle_MZ,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,unzGetLocalExtrafield,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,unzGetOffset,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,unzGetOffset64,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,unzGetStream,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,unzGetStream_MZ,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,unzGoToFilePos,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,unzGoToFilePos64,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,unzGoToFirstFile,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,unzGoToNextFile,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,unzLocateFile,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,unzOpen,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,unzOpen2,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,unzOpen2_64,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,unzOpen64,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,unzOpenCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,unzOpenCurrentFile2,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,unzOpenCurrentFile3,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,unzOpenCurrentFilePassword,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,unzReadCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,unzSeek,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,unzSeek64,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,unzSetOffset,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,unzSetOffset64,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,unzTell,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,unzTell64,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,unzeof,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,unztell,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,unztell64,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,zipClose,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,zipClose2_64,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,zipCloseFileInZip,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,zipCloseFileInZip64,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,zipCloseFileInZipRaw,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,zipCloseFileInZipRaw64,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,zipClose_64,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,zipGetHandle_MZ,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,zipGetStream_MZ,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,zipOpen,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,zipOpen2,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,zipOpen2_64,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,zipOpen64,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,zipOpenNewFileInZip,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,zipOpenNewFileInZip2,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,zipOpenNewFileInZip2_64,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,zipOpenNewFileInZip3,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,zipOpenNewFileInZip3_64,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,zipOpenNewFileInZip4,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,zipOpenNewFileInZip4_64,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,zipOpenNewFileInZip5,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,zipOpenNewFileInZip64,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,zipOpenNewFileInZip_64,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,zipOpen_MZ,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,zipWriteInFileInZip,,unknown,,,,,False,False,False,False,False,False,False
