ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
836,0,0x0,BindMoniker,,unknown,,,,,False,False,False,False,False,False,False
805,3,0x3,CLIPFORMAT_UserFreeExt,,unknown,,,,,False,False,False,False,False,False,False
806,6,0x6,CLIPFORMAT_UserMarshalExt,,unknown,,,,,False,False,False,False,False,False,False
807,9,0x9,CLIPFORMAT_UserSizeExt,,unknown,,,,,False,False,False,False,False,False,False
808,12,0xC,CLIPFORMAT_UserUnmarshalExt,,unknown,,,,,False,False,False,False,False,False,False
862,30,0x1E,CheckInitDde,,unknown,,,,,False,False,False,False,False,False,False
863,31,0x1F,CleanROTForApartment,,unknown,,,,,False,False,False,False,False,False,False
809,32,0x20,ClipboardProcessUninitialize,,unknown,,,,,False,False,False,False,False,False,False
865,34,0x22,CoAicGetTokenForCOM,,unknown,,,,,False,False,False,False,False,False,False
866,35,0x23,CoAllowSetForegroundWindow,,unknown,,,,,False,False,False,False,False,False,False
868,37,0x25,CoBuildVersion,,unknown,,,,,False,False,False,False,False,False,False
870,39,0x27,CoCheckElevationEnabled,,unknown,,,,,False,False,False,False,False,False,False
884,53,0x35,CoDosDateTimeToFileTime,,unknown,,,,,False,False,False,False,False,False,False
887,56,0x38,CoFileTimeToDosDateTime,,unknown,,,,,False,False,False,False,False,False,False
888,57,0x39,CoFreeAllLibraries,,unknown,,,,,False,False,False,False,False,False,False
889,58,0x3A,CoFreeLibrary,,unknown,,,,,False,False,False,False,False,False,False
908,77,0x4D,CoGetInterceptor,,unknown,,,,,False,False,False,False,False,False,False
909,78,0x4E,CoGetInterceptorForOle32,,unknown,,,,,False,False,False,False,False,False,False
910,79,0x4F,CoGetInterceptorFromTypeInfo,,unknown,,,,,False,False,False,False,False,False,False
915,84,0x54,CoGetObject,,unknown,,,,,False,False,False,False,False,False,False
922,91,0x5B,CoGetSystemWow64DirectoryW,,unknown,,,,,False,False,False,False,False,False,False
927,96,0x60,CoInitialize,,unknown,,,,,False,False,False,False,False,False,False
930,99,0x63,CoInitializeWOW,,unknown,,,,,False,False,False,False,False,False,False
931,100,0x64,CoInstall,,unknown,,,,,False,False,False,False,False,False,False
934,103,0x67,CoIsOle1Class,,unknown,,,,,False,False,False,False,False,False,False
935,104,0x68,CoLoadLibrary,,unknown,,,,,False,False,False,False,False,False,False
945,114,0x72,CoQueryReleaseObject,,unknown,,,,,False,False,False,False,False,False,False
952,121,0x79,CoRegisterMessageFilter,,unknown,,,,,False,False,False,False,False,False,False
