ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ReloadShadersCallback@render@@QEAA@XZ,public: __cdecl render::ReloadShadersCallback::ReloadShadersCallback(void),method,render,ReloadShadersCallback,ReloadShadersCallback,void,False,False,False,False,False,False,True
2,1,0x1,??1ReloadShadersCallback@render@@QEAA@XZ,public: __cdecl render::ReloadShadersCallback::~ReloadShadersCallback(void),method,render,ReloadShadersCallback,~ReloadShadersCallback,void,False,False,False,False,False,False,True
3,2,0x2,?add@ShadersFilesStorage@@QEAA_KPEBD_N@Z,"public: unsigned __int64 __cdecl ShadersFilesStorage::add(char const *, bool)",method,,ShadersFilesStorage,add,"char const *, bool",False,False,False,False,False,False,True
4,3,0x3,?addGlobalDefine@render@@YAXVDefinePair@1@@Z,void __cdecl render::addGlobalDefine(class render::DefinePair),method,,render,addGlobalDefine,class render::DefinePair,False,False,False,False,False,False,True
5,4,0x4,?addReloadTexturesCallback@render@@YAXP6AXXZ@Z,void __cdecl render::addReloadTexturesCallback(void (__cdecl *)(void)),method,,render,addReloadTexturesCallback,void (__cdecl *)(void),False,False,False,False,False,False,True
6,5,0x5,?addShaderCache@render@@YAXPEBDH@Z,"void __cdecl render::addShaderCache(char const *, int)",method,,render,addShaderCache,"char const *, int",False,False,False,False,False,False,True
7,6,0x6,?add_on_shutdown_callback@render@@YAXAEBV?$function@$$A6AXXZ@std@@@Z,void __cdecl render::add_on_shutdown_callback(class std::function<void __cdecl(void)> const &),method,,render,add_on_shutdown_callback,class std::function<void __cdecl(void)> const &,False,False,False,False,False,False,True
8,7,0x7,?call@ReloadShadersCallback@render@@QEBAXXZ,public: void __cdecl render::ReloadShadersCallback::call(void) const,method,render,ReloadShadersCallback,call,void,True,False,False,False,False,False,True
9,8,0x8,?checkAndAdd@ShadersFilesStorage@@QEAA?AW4SHADERS_FILE_STORAGE_CHECK_AND_ADD@@PEBDAEBVmd5@ed@@AEA_K@Z,"public: enum SHADERS_FILE_STORAGE_CHECK_AND_ADD __cdecl ShadersFilesStorage::checkAndAdd(char const *, class ed::md5 const &, unsigned __int64 &)",method,,ShadersFilesStorage,checkAndAdd,"char const *, class ed::md5 const &, unsigned __int64 &",False,False,False,False,False,False,True
10,9,0x9,?compileAndLoadShader@RenderAPI@@YAPEAUIShader@1@PEBD0PEBVDefinePair@render@@_KAEBV?$vector@UPrecompiledParamDecl@RenderAPI@@V?$allocator@UPrecompiledParamDecl@RenderAPI@@@ed@@@ed@@PEAV?$basic_string@D@6@PEAV?$vector@EV?$allocator@E@ed@@@6@@Z,"struct RenderAPI::IShader * __cdecl RenderAPI::compileAndLoadShader(char const *, char const *, class render::DefinePair const *, unsigned __int64, class ed::vector<struct RenderAPI::PrecompiledParamDecl, class ed::allocator<struct RenderAPI::PrecompiledParamDecl>> const &, class ed::basic_string<char> *, class ed::vector<unsigned char, class ed::allocator<unsigned char>> *)",method,,RenderAPI,compileAndLoadShader,"char const *, char const *, class render::DefinePair const *, unsigned __int64, class ed::vector<struct RenderAPI::PrecompiledParamDecl, class ed::allocator<struct RenderAPI::PrecompiledParamDecl>> const &, class ed::basic_string<char> *, class ed::vector<unsigned char, class ed::allocator<unsigned char>> *",False,False,False,False,False,False,True
