ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0GeometryQuad@render@@QEAA@XZ,public: __cdecl render::GeometryQuad::GeometryQuad(void),method,render,GeometryQuad,GeometryQuad,void,False,False,False,False,False,False,True
2,1,0x1,??0GeometrySolidBox@render@@QEAA@XZ,public: __cdecl render::GeometrySolidBox::GeometrySolidBox(void),method,render,GeometrySolidBox,GeometrySolidBox,void,False,False,False,False,False,False,True
3,2,0x2,??0GeometrySolidSphere@render@@QEAA@XZ,public: __cdecl render::GeometrySolidSphere::GeometrySolidSphere(void),method,render,GeometrySolidSphere,GeometrySolidSphere,void,False,False,False,False,False,False,True
4,3,0x3,??0RenderArc@render@@QEAA@XZ,public: __cdecl render::RenderArc::RenderArc(void),method,render,RenderArc,RenderArc,void,False,False,False,False,False,False,True
5,4,0x4,??0RenderBasis@render@@QEAA@XZ,public: __cdecl render::RenderBasis::RenderBasis(void),method,render,RenderBasis,RenderBasis,void,False,False,False,False,False,False,True
6,5,0x5,??0RenderBox@render@@QEAA@XZ,public: __cdecl render::RenderBox::RenderBox(void),method,render,RenderBox,RenderBox,void,False,False,False,False,False,False,True
7,6,0x6,??0RenderChecker@render@@QEAA@XZ,public: __cdecl render::RenderChecker::RenderChecker(void),method,render,RenderChecker,RenderChecker,void,False,False,False,False,False,False,True
8,7,0x7,??0RenderCone@render@@QEAA@XZ,public: __cdecl render::RenderCone::RenderCone(void),method,render,RenderCone,RenderCone,void,False,False,False,False,False,False,True
9,8,0x8,??0RenderCylinder@render@@QEAA@M@Z,public: __cdecl render::RenderCylinder::RenderCylinder(float),method,render,RenderCylinder,RenderCylinder,float,False,False,False,False,False,False,True
10,9,0x9,??0RenderEllipse@render@@QEAA@XZ,public: __cdecl render::RenderEllipse::RenderEllipse(void),method,render,RenderEllipse,RenderEllipse,void,False,False,False,False,False,False,True
11,10,0xA,??0RenderLine@render@@QEAA@XZ,public: __cdecl render::RenderLine::RenderLine(void),method,render,RenderLine,RenderLine,void,False,False,False,False,False,False,True
12,11,0xB,??0RenderLineColorPack@render@@QEAA@XZ,public: __cdecl render::RenderLineColorPack::RenderLineColorPack(void),method,render,RenderLineColorPack,RenderLineColorPack,void,False,False,False,False,False,False,True
13,12,0xC,??0RenderMoveManipulator@render@@QEAA@XZ,public: __cdecl render::RenderMoveManipulator::RenderMoveManipulator(void),method,render,RenderMoveManipulator,RenderMoveManipulator,void,False,False,False,False,False,False,True
14,13,0xD,??0RenderMultiPlotter@render@@QEAA@XZ,public: __cdecl render::RenderMultiPlotter::RenderMultiPlotter(void),method,render,RenderMultiPlotter,RenderMultiPlotter,void,False,False,False,False,False,False,True
15,14,0xE,??0RenderMultilineText@render@@QEAA@XZ,public: __cdecl render::RenderMultilineText::RenderMultilineText(void),method,render,RenderMultilineText,RenderMultilineText,void,False,False,False,False,False,False,True
16,15,0xF,??0RenderOutline@render@@QEAA@XZ,public: __cdecl render::RenderOutline::RenderOutline(void),method,render,RenderOutline,RenderOutline,void,False,False,False,False,False,False,True
17,16,0x10,??0RenderPlotter@render@@QEAA@XZ,public: __cdecl render::RenderPlotter::RenderPlotter(void),method,render,RenderPlotter,RenderPlotter,void,False,False,False,False,False,False,True
18,17,0x11,??0RenderPoints@render@@QEAA@XZ,public: __cdecl render::RenderPoints::RenderPoints(void),method,render,RenderPoints,RenderPoints,void,False,False,False,False,False,False,True
19,18,0x12,??0RenderPolyline@render@@QEAA@XZ,public: __cdecl render::RenderPolyline::RenderPolyline(void),method,render,RenderPolyline,RenderPolyline,void,False,False,False,False,False,False,True
20,19,0x13,??0RenderRect@render@@QEAA@XZ,public: __cdecl render::RenderRect::RenderRect(void),method,render,RenderRect,RenderRect,void,False,False,False,False,False,False,True
21,20,0x14,??0RenderScaleManipulator@render@@QEAA@XZ,public: __cdecl render::RenderScaleManipulator::RenderScaleManipulator(void),method,render,RenderScaleManipulator,RenderScaleManipulator,void,False,False,False,False,False,False,True
22,21,0x15,??0RenderSphere@render@@QEAA@MM@Z,"public: __cdecl render::RenderSphere::RenderSphere(float, float)",method,render,RenderSphere,RenderSphere,"float, float",False,False,False,False,False,False,True
23,22,0x16,??0RenderSpline@render@@QEAA@XZ,public: __cdecl render::RenderSpline::RenderSpline(void),method,render,RenderSpline,RenderSpline,void,False,False,False,False,False,False,True
24,23,0x17,??0RenderTexture@render@@QEAA@XZ,public: __cdecl render::RenderTexture::RenderTexture(void),method,render,RenderTexture,RenderTexture,void,False,False,False,False,False,False,True
25,24,0x18,??0RenderTriangles@render@@QEAA@XZ,public: __cdecl render::RenderTriangles::RenderTriangles(void),method,render,RenderTriangles,RenderTriangles,void,False,False,False,False,False,False,True
26,25,0x19,??0ScreenGrabber@render@@QEAA@XZ,public: __cdecl render::ScreenGrabber::ScreenGrabber(void),method,render,ScreenGrabber,ScreenGrabber,void,False,False,False,False,False,False,True
27,26,0x1A,??0TextRender2@render@@QEAA@XZ,public: __cdecl render::TextRender2::TextRender2(void),method,render,TextRender2,TextRender2,void,False,False,False,False,False,False,True
28,27,0x1B,??0TextRender@render@@QEAA@XZ,public: __cdecl render::TextRender::TextRender(void),method,render,TextRender,TextRender,void,False,False,False,False,False,False,True
29,28,0x1C,??0ViewerSceneHelper@render@@QEAA@XZ,public: __cdecl render::ViewerSceneHelper::ViewerSceneHelper(void),method,render,ViewerSceneHelper,ViewerSceneHelper,void,False,False,False,False,False,False,True
30,29,0x1D,??1GeometryQuad@render@@QEAA@XZ,public: __cdecl render::GeometryQuad::~GeometryQuad(void),method,render,GeometryQuad,~GeometryQuad,void,False,False,False,False,False,False,True
31,30,0x1E,??1GeometrySolidBox@render@@QEAA@XZ,public: __cdecl render::GeometrySolidBox::~GeometrySolidBox(void),method,render,GeometrySolidBox,~GeometrySolidBox,void,False,False,False,False,False,False,True
32,31,0x1F,??1GeometrySolidSphere@render@@QEAA@XZ,public: __cdecl render::GeometrySolidSphere::~GeometrySolidSphere(void),method,render,GeometrySolidSphere,~GeometrySolidSphere,void,False,False,False,False,False,False,True
33,32,0x20,??1RenderArc@render@@QEAA@XZ,public: __cdecl render::RenderArc::~RenderArc(void),method,render,RenderArc,~RenderArc,void,False,False,False,False,False,False,True
34,33,0x21,??1RenderBasis@render@@QEAA@XZ,public: __cdecl render::RenderBasis::~RenderBasis(void),method,render,RenderBasis,~RenderBasis,void,False,False,False,False,False,False,True
35,34,0x22,??1RenderBox@render@@QEAA@XZ,public: __cdecl render::RenderBox::~RenderBox(void),method,render,RenderBox,~RenderBox,void,False,False,False,False,False,False,True
