ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,_Cbuild,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,_Cmulcc,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,_Cmulcr,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,_CreateFrameInfo,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,_CxxThrowException,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,_Exit,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,_FCbuild,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,_FCmulcc,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,_FCmulcr,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,_FindAndUnlinkFrame,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,_GetImageBase,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,_GetThrowImageBase,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,_Getdays,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,_Getmonths,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,_Gettnames,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,_IsExceptionObjectToBeDestroyed,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,_LCbuild,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,_LCmulcc,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,_LCmulcr,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,_SetImageBase,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,_SetThrowImageBase,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,_SetWinRTOutOfMemoryExceptionCallback,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,_Strftime,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,_W_Getdays,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,_W_Getmonths,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,_W_Gettnames,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,_Wcsftime,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,__AdjustPointer,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,__BuildCatchObject,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,__BuildCatchObjectHelper,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,__C_specific_handler,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,__C_specific_handler_noexcept,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,__CxxDetectRethrow,,unknown,,,,,False,False,False,False,False,False,False
