ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ClipRectGuard@uiBaseRenderer@@QEAA@AEBV?$RectImpl@VVec2i@osg@@@osg@@@Z,public: __cdecl uiBaseRenderer::ClipRectGuard::ClipRectGuard(class osg::RectImpl<class osg::Vec2i> const &),method,uiBaseRenderer,ClipRectGuard,ClipRectGuard,class osg::RectImpl<class osg::Vec2i> const &,False,False,False,False,False,False,True
2,1,0x1,??0ModelViewMatrixGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ModelViewMatrixGuard::ModelViewMatrixGuard(void),method,uiBaseRenderer,ModelViewMatrixGuard,ModelViewMatrixGuard,void,False,False,False,False,False,False,True
3,2,0x2,??0OpacityGuard@uiBaseRenderer@@QEAA@M@Z,public: __cdecl uiBaseRenderer::OpacityGuard::OpacityGuard(float),method,uiBaseRenderer,OpacityGuard,OpacityGuard,float,False,False,False,False,False,False,True
4,3,0x3,??0ProjectionMatrixGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ProjectionMatrixGuard::ProjectionMatrixGuard(void),method,uiBaseRenderer,ProjectionMatrixGuard,ProjectionMatrixGuard,void,False,False,False,False,False,False,True
5,4,0x4,??0ShaderTechniqueGuard@uiBaseRenderer@@QEAA@W4TechniqueType@1@@Z,public: __cdecl uiBaseRenderer::ShaderTechniqueGuard::ShaderTechniqueGuard(enum uiBaseRenderer::TechniqueType),method,uiBaseRenderer,ShaderTechniqueGuard,ShaderTechniqueGuard,enum uiBaseRenderer::TechniqueType,False,False,False,False,False,False,True
6,5,0x5,??0ShiftPositionGuard@uiBaseRenderer@@QEAA@MMM@Z,"public: __cdecl uiBaseRenderer::ShiftPositionGuard::ShiftPositionGuard(float, float, float)",method,uiBaseRenderer,ShiftPositionGuard,ShiftPositionGuard,"float, float, float",False,False,False,False,False,False,True
7,6,0x6,??0ViewportGuard@uiBaseRenderer@@QEAA@AEBV?$RectImpl@VVec2i@osg@@@osg@@@Z,public: __cdecl uiBaseRenderer::ViewportGuard::ViewportGuard(class osg::RectImpl<class osg::Vec2i> const &),method,uiBaseRenderer,ViewportGuard,ViewportGuard,class osg::RectImpl<class osg::Vec2i> const &,False,False,False,False,False,False,True
8,7,0x7,??0uiBaseFont@@IEAA@PEAVuiBaseFontManager@@PEAUFT_LibraryRec_@@PEAUFT_FaceRec_@@AEBV?$basic_string@D@ed@@HW4Blur@0@@Z,"protected: __cdecl uiBaseFont::uiBaseFont(class uiBaseFontManager *, struct FT_LibraryRec_*, struct FT_FaceRec_*, class ed::basic_string<char> const &, int, enum uiBaseFont::Blur)",method,,uiBaseFont,uiBaseFont,"class uiBaseFontManager *, struct FT_LibraryRec_*, struct FT_FaceRec_*, class ed::basic_string<char> const &, int, enum uiBaseFont::Blur",False,False,False,False,False,False,True
9,8,0x8,??0uiBaseFontManager@@QEAA@XZ,public: __cdecl uiBaseFontManager::uiBaseFontManager(void),method,,uiBaseFontManager,uiBaseFontManager,void,False,False,False,False,False,False,True
10,9,0x9,??0uiBaseFrameBuffer@@QEAA@AEBVVec2i@osg@@HH@Z,"public: __cdecl uiBaseFrameBuffer::uiBaseFrameBuffer(class osg::Vec2i const &, int, int)",method,,uiBaseFrameBuffer,uiBaseFrameBuffer,"class osg::Vec2i const &, int, int",False,False,False,False,False,False,True
11,10,0xA,??0uiBaseGeometry@@QEAA@XZ,public: __cdecl uiBaseGeometry::uiBaseGeometry(void),method,,uiBaseGeometry,uiBaseGeometry,void,False,False,False,False,False,False,True
12,11,0xB,??0uiBaseShader@@QEAA@PEAVuiBaseRenderer@@@Z,public: __cdecl uiBaseShader::uiBaseShader(class uiBaseRenderer *),method,,uiBaseShader,uiBaseShader,class uiBaseRenderer *,False,False,False,False,False,False,True
13,12,0xC,??0uiBaseShaderBkgQuads@@QEAA@AEBV0@@Z,public: __cdecl uiBaseShaderBkgQuads::uiBaseShaderBkgQuads(class uiBaseShaderBkgQuads const &),method,,uiBaseShaderBkgQuads,uiBaseShaderBkgQuads,class uiBaseShaderBkgQuads const &,False,False,False,False,False,False,True
14,13,0xD,??0uiBaseShaderBkgQuads@@QEAA@XZ,public: __cdecl uiBaseShaderBkgQuads::uiBaseShaderBkgQuads(void),method,,uiBaseShaderBkgQuads,uiBaseShaderBkgQuads,void,False,False,False,False,False,False,True
15,14,0xE,??0uiBaseShaderQuads@@QEAA@AEBV0@@Z,public: __cdecl uiBaseShaderQuads::uiBaseShaderQuads(class uiBaseShaderQuads const &),method,,uiBaseShaderQuads,uiBaseShaderQuads,class uiBaseShaderQuads const &,False,False,False,False,False,False,True
16,15,0xF,??0uiBaseShaderQuads@@QEAA@XZ,public: __cdecl uiBaseShaderQuads::uiBaseShaderQuads(void),method,,uiBaseShaderQuads,uiBaseShaderQuads,void,False,False,False,False,False,False,True
17,16,0x10,??0uiBaseTextString@@QEAA@XZ,public: __cdecl uiBaseTextString::uiBaseTextString(void),method,,uiBaseTextString,uiBaseTextString,void,False,False,False,False,False,False,True
18,17,0x11,??0uiBaseTexture@@IEAA@XZ,protected: __cdecl uiBaseTexture::uiBaseTexture(void),method,,uiBaseTexture,uiBaseTexture,void,False,False,False,False,False,False,True
19,18,0x12,??0uiBaseTextureArray@@QEAA@XZ,public: __cdecl uiBaseTextureArray::uiBaseTextureArray(void),method,,uiBaseTextureArray,uiBaseTextureArray,void,False,False,False,False,False,False,True
20,19,0x13,??0uiBaseTextureManager@@QEAA@XZ,public: __cdecl uiBaseTextureManager::uiBaseTextureManager(void),method,,uiBaseTextureManager,uiBaseTextureManager,void,False,False,False,False,False,False,True
21,20,0x14,??0uiBaseWidgetShader@@QEAA@XZ,public: __cdecl uiBaseWidgetShader::uiBaseWidgetShader(void),method,,uiBaseWidgetShader,uiBaseWidgetShader,void,False,False,False,False,False,False,True
22,21,0x15,??1ClipRectGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ClipRectGuard::~ClipRectGuard(void),method,uiBaseRenderer,ClipRectGuard,~ClipRectGuard,void,False,False,False,False,False,False,True
23,22,0x16,??1ModelViewMatrixGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ModelViewMatrixGuard::~ModelViewMatrixGuard(void),method,uiBaseRenderer,ModelViewMatrixGuard,~ModelViewMatrixGuard,void,False,False,False,False,False,False,True
24,23,0x17,??1OpacityGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::OpacityGuard::~OpacityGuard(void),method,uiBaseRenderer,OpacityGuard,~OpacityGuard,void,False,False,False,False,False,False,True
25,24,0x18,??1ProjectionMatrixGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ProjectionMatrixGuard::~ProjectionMatrixGuard(void),method,uiBaseRenderer,ProjectionMatrixGuard,~ProjectionMatrixGuard,void,False,False,False,False,False,False,True
26,25,0x19,??1ShaderTechniqueGuard@uiBaseRenderer@@QEAA@XZ,public: __cdecl uiBaseRenderer::ShaderTechniqueGuard::~ShaderTechniqueGuard(void),method,uiBaseRenderer,ShaderTechniqueGuard,~ShaderTechniqueGuard,void,False,False,False,False,False,False,True
