ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,_CreateFrameInfo,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,_CxxThrowException,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,_FindAndUnlinkFrame,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,_IsExceptionObjectToBeDestroyed,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,_SetWinRTOutOfMemoryExceptionCallback,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,__AdjustPointer,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,__BuildCatchObject,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,__BuildCatchObjectHelper,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,__C_specific_handler,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,__C_specific_handler_noexcept,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,__CxxDetectRethrow,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,__CxxExceptionFilter,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,__CxxFrameHandler,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,__CxxFrameHandler2,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,__CxxFrameHandler3,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,__CxxQueryExceptionSize,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,__CxxRegisterExceptionObject,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,__CxxUnregisterExceptionObject,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,__DestructExceptionObject,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,__FrameUnwindFilter,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,__GetPlatformExceptionInfo,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,__NLG_Dispatch2,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,__NLG_Return2,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,__RTCastToVoid,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,__RTDynamicCast,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,__RTtypeid,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,__TypeMatch,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,__current_exception,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,__current_exception_context,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,__intrinsic_setjmp,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,__intrinsic_setjmpex,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,__processing_throw,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,__report_gsfailure,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,__std_exception_copy,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,__std_exception_destroy,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,__std_terminate,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,__std_type_info_compare,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,__std_type_info_destroy_list,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,__std_type_info_hash,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,__std_type_info_name,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,__telemetry_main_invoke_trigger,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,__telemetry_main_return_trigger,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,__unDName,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,__unDNameEx,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,__uncaught_exception,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,__uncaught_exceptions,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,__vcrt_GetModuleFileNameW,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,__vcrt_GetModuleHandleW,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,__vcrt_InitializeCriticalSectionEx,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,__vcrt_LoadLibraryExW,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,_get_purecall_handler,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,_get_unexpected,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,_is_exception_typeof,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,_local_unwind,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,_purecall,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,_set_purecall_handler,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,_set_se_translator,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,longjmp,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,memchr,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,memcmp,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,memcpy,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,memmove,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,memset,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,set_unexpected,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,strchr,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,strrchr,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,strstr,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,unexpected,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,wcschr,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,wcsrchr,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,wcsstr,,unknown,,,,,False,False,False,False,False,False,False
