ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??getAltitudeQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getAltitudeQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??getElevationQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getElevationQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,?$TSS0@?1??getGeodeticPositionQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getGeodeticPositionQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,?$TSS0@?1??getPositionQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getPositionQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
5,4,0x4,?$TSS0@?1??getRelativeAzimuthQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getRelativeAzimuthQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
6,5,0x5,?$TSS0@?1??getStr@msgParser@AFAPD@@SAAEBV?$base_fixed_string@D$0BE@@ed@@W4DataElement@3@H@Z@4HA,"int `public: static class ed::base_fixed_string<char, 20> const & __cdecl AFAPD::msgParser::getStr(enum AFAPD::DataElement, int)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,?$TSS0@?1??getStrengthPercentOfTrackedVehicles@TADIL_J@@YAE_NN@Z@4HA,"int `unsigned char __cdecl TADIL_J::getStrengthPercentOfTrackedVehicles(bool, double)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
8,7,0x7,?$TSS0@?1??getStrengthTotalNumberOfVehicles@TADIL_J@@YAE_N_K@Z@4HA,"int `unsigned char __cdecl TADIL_J::getStrengthTotalNumberOfVehicles(bool, unsigned __int64)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
9,8,0x8,?$TSS0@?1??getTimeQuality@TADIL_J@@YAEN@Z@4HA,int `unsigned char __cdecl TADIL_J::getTimeQuality(double)'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
10,9,0x9,?$TSS0@?1??getTrackQuality@TADIL_J@@YAE_NN@Z@4HA,"int `unsigned char __cdecl TADIL_J::getTrackQuality(bool, double)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
