ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,adler32,,unknown,,,,,False,False,False,False,False,False,False
140,1,0x1,adler32_combine,,unknown,,,,,False,False,False,False,False,False,False
174,2,0x2,adler32_z,,unknown,,,,,False,False,False,False,False,False,False
2,3,0x3,compress,,unknown,,,,,False,False,False,False,False,False,False
39,4,0x4,compress2,,unknown,,,,,False,False,False,False,False,False,False
46,5,0x5,compressBound,,unknown,,,,,False,False,False,False,False,False,False
3,6,0x6,crc32,,unknown,,,,,False,False,False,False,False,False,False
142,7,0x7,crc32_combine,,unknown,,,,,False,False,False,False,False,False,False
176,8,0x8,crc32_combine_gen,,unknown,,,,,False,False,False,False,False,False,False
177,9,0x9,crc32_combine_gen64,,unknown,,,,,False,False,False,False,False,False,False
178,10,0xA,crc32_combine_op,,unknown,,,,,False,False,False,False,False,False,False
175,11,0xB,crc32_z,,unknown,,,,,False,False,False,False,False,False,False
4,12,0xC,deflate,,unknown,,,,,False,False,False,False,False,False,False
47,13,0xD,deflateBound,,unknown,,,,,False,False,False,False,False,False,False
5,14,0xE,deflateCopy,,unknown,,,,,False,False,False,False,False,False,False
6,15,0xF,deflateEnd,,unknown,,,,,False,False,False,False,False,False,False
173,16,0x10,deflateGetDictionary,,unknown,,,,,False,False,False,False,False,False,False
7,17,0x11,deflateInit2_,,unknown,,,,,False,False,False,False,False,False,False
8,18,0x12,deflateInit_,,unknown,,,,,False,False,False,False,False,False,False
9,19,0x13,deflateParams,,unknown,,,,,False,False,False,False,False,False,False
52,20,0x14,deflatePending,,unknown,,,,,False,False,False,False,False,False,False
51,21,0x15,deflatePrime,,unknown,,,,,False,False,False,False,False,False,False
10,22,0x16,deflateReset,,unknown,,,,,False,False,False,False,False,False,False
164,23,0x17,deflateResetKeep,,unknown,,,,,False,False,False,False,False,False,False
11,24,0x18,deflateSetDictionary,,unknown,,,,,False,False,False,False,False,False,False
144,25,0x19,deflateSetHeader,,unknown,,,,,False,False,False,False,False,False,False
145,26,0x1A,deflateTune,,unknown,,,,,False,False,False,False,False,False,False
110,27,0x1B,fill_win32_filefunc,,unknown,,,,,False,False,False,False,False,False,False
111,28,0x1C,fill_win32_filefunc64,,unknown,,,,,False,False,False,False,False,False,False
112,29,0x1D,fill_win32_filefunc64A,,unknown,,,,,False,False,False,False,False,False,False
113,30,0x1E,fill_win32_filefunc64W,,unknown,,,,,False,False,False,False,False,False,False
38,31,0x1F,get_crc_table,,unknown,,,,,False,False,False,False,False,False,False
146,32,0x20,gzbuffer,,unknown,,,,,False,False,False,False,False,False,False
48,33,0x21,gzclearerr,,unknown,,,,,False,False,False,False,False,False,False
12,34,0x22,gzclose,,unknown,,,,,False,False,False,False,False,False,False
147,35,0x23,gzclose_r,,unknown,,,,,False,False,False,False,False,False,False
148,36,0x24,gzclose_w,,unknown,,,,,False,False,False,False,False,False,False
149,37,0x25,gzdirect,,unknown,,,,,False,False,False,False,False,False,False
13,38,0x26,gzdopen,,unknown,,,,,False,False,False,False,False,False,False
34,39,0x27,gzeof,,unknown,,,,,False,False,False,False,False,False,False
14,40,0x28,gzerror,,unknown,,,,,False,False,False,False,False,False,False
15,41,0x29,gzflush,,unknown,,,,,False,False,False,False,False,False,False
171,42,0x2A,gzfread,,unknown,,,,,False,False,False,False,False,False,False
172,43,0x2B,gzfwrite,,unknown,,,,,False,False,False,False,False,False,False
30,44,0x2C,gzgetc,,unknown,,,,,False,False,False,False,False,False,False
161,45,0x2D,gzgetc_,,unknown,,,,,False,False,False,False,False,False,False
41,46,0x2E,gzgets,,unknown,,,,,False,False,False,False,False,False,False
150,47,0x2F,gzoffset,,unknown,,,,,False,False,False,False,False,False,False
16,48,0x30,gzopen,,unknown,,,,,False,False,False,False,False,False,False
165,49,0x31,gzopen_w,,unknown,,,,,False,False,False,False,False,False,False
28,50,0x32,gzprintf,,unknown,,,,,False,False,False,False,False,False,False
29,51,0x33,gzputc,,unknown,,,,,False,False,False,False,False,False,False
40,52,0x34,gzputs,,unknown,,,,,False,False,False,False,False,False,False
17,53,0x35,gzread,,unknown,,,,,False,False,False,False,False,False,False
32,54,0x36,gzrewind,,unknown,,,,,False,False,False,False,False,False,False
31,55,0x37,gzseek,,unknown,,,,,False,False,False,False,False,False,False
35,56,0x38,gzsetparams,,unknown,,,,,False,False,False,False,False,False,False
33,57,0x39,gztell,,unknown,,,,,False,False,False,False,False,False,False
49,58,0x3A,gzungetc,,unknown,,,,,False,False,False,False,False,False,False
167,59,0x3B,gzvprintf,,unknown,,,,,False,False,False,False,False,False,False
18,60,0x3C,gzwrite,,unknown,,,,,False,False,False,False,False,False,False
19,61,0x3D,inflate,,unknown,,,,,False,False,False,False,False,False,False
44,62,0x3E,inflateBack,,unknown,,,,,False,False,False,False,False,False,False
45,63,0x3F,inflateBackEnd,,unknown,,,,,False,False,False,False,False,False,False
43,64,0x40,inflateBackInit_,,unknown,,,,,False,False,False,False,False,False,False
168,65,0x41,inflateCodesUsed,,unknown,,,,,False,False,False,False,False,False,False
42,66,0x42,inflateCopy,,unknown,,,,,False,False,False,False,False,False,False
20,67,0x43,inflateEnd,,unknown,,,,,False,False,False,False,False,False,False
166,68,0x44,inflateGetDictionary,,unknown,,,,,False,False,False,False,False,False,False
156,69,0x45,inflateGetHeader,,unknown,,,,,False,False,False,False,False,False,False
21,70,0x46,inflateInit2_,,unknown,,,,,False,False,False,False,False,False,False
22,71,0x47,inflateInit_,,unknown,,,,,False,False,False,False,False,False,False
157,72,0x48,inflateMark,,unknown,,,,,False,False,False,False,False,False,False
158,73,0x49,inflatePrime,,unknown,,,,,False,False,False,False,False,False,False
23,74,0x4A,inflateReset,,unknown,,,,,False,False,False,False,False,False,False
159,75,0x4B,inflateReset2,,unknown,,,,,False,False,False,False,False,False,False
163,76,0x4C,inflateResetKeep,,unknown,,,,,False,False,False,False,False,False,False
24,77,0x4D,inflateSetDictionary,,unknown,,,,,False,False,False,False,False,False,False
25,78,0x4E,inflateSync,,unknown,,,,,False,False,False,False,False,False,False
37,79,0x4F,inflateSyncPoint,,unknown,,,,,False,False,False,False,False,False,False
160,80,0x50,inflateUndermine,,unknown,,,,,False,False,False,False,False,False,False
169,81,0x51,inflateValidate,,unknown,,,,,False,False,False,False,False,False,False
26,82,0x52,uncompress,,unknown,,,,,False,False,False,False,False,False,False
170,83,0x53,uncompress2,,unknown,,,,,False,False,False,False,False,False,False
62,84,0x54,unzClose,,unknown,,,,,False,False,False,False,False,False,False
72,85,0x55,unzCloseCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
64,86,0x56,unzGetCurrentFileInfo,,unknown,,,,,False,False,False,False,False,False,False
124,87,0x57,unzGetCurrentFileInfo64,,unknown,,,,,False,False,False,False,False,False,False
125,88,0x58,unzGetCurrentFileZStreamPos64,,unknown,,,,,False,False,False,False,False,False,False
100,89,0x59,unzGetFilePos,,unknown,,,,,False,False,False,False,False,False,False
127,90,0x5A,unzGetFilePos64,,unknown,,,,,False,False,False,False,False,False,False
73,91,0x5B,unzGetGlobalComment,,unknown,,,,,False,False,False,False,False,False,False
63,92,0x5C,unzGetGlobalInfo,,unknown,,,,,False,False,False,False,False,False,False
122,93,0x5D,unzGetGlobalInfo64,,unknown,,,,,False,False,False,False,False,False,False
76,94,0x5E,unzGetLocalExtrafield,,unknown,,,,,False,False,False,False,False,False,False
101,95,0x5F,unzGoToFilePos,,unknown,,,,,False,False,False,False,False,False,False
128,96,0x60,unzGoToFilePos64,,unknown,,,,,False,False,False,False,False,False,False
65,97,0x61,unzGoToFirstFile,,unknown,,,,,False,False,False,False,False,False,False
66,98,0x62,unzGoToNextFile,,unknown,,,,,False,False,False,False,False,False,False
75,99,0x63,unzLocateFile,,unknown,,,,,False,False,False,False,False,False,False
61,100,0x64,unzOpen,,unknown,,,,,False,False,False,False,False,False,False
77,101,0x65,unzOpen2,,unknown,,,,,False,False,False,False,False,False,False
121,102,0x66,unzOpen2_64,,unknown,,,,,False,False,False,False,False,False,False
120,103,0x67,unzOpen64,,unknown,,,,,False,False,False,False,False,False,False
67,104,0x68,unzOpenCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
78,105,0x69,unzOpenCurrentFile2,,unknown,,,,,False,False,False,False,False,False,False
69,106,0x6A,unzOpenCurrentFile3,,unknown,,,,,False,False,False,False,False,False,False
79,107,0x6B,unzOpenCurrentFilePassword,,unknown,,,,,False,False,False,False,False,False,False
68,108,0x6C,unzReadCurrentFile,,unknown,,,,,False,False,False,False,False,False,False
74,109,0x6D,unzStringFileNameCompare,,unknown,,,,,False,False,False,False,False,False,False
71,110,0x6E,unzeof,,unknown,,,,,False,False,False,False,False,False,False
70,111,0x6F,unztell,,unknown,,,,,False,False,False,False,False,False,False
126,112,0x70,unztell64,,unknown,,,,,False,False,False,False,False,False,False
36,113,0x71,zError,,unknown,,,,,False,False,False,False,False,False,False
84,114,0x72,zipClose,,unknown,,,,,False,False,False,False,False,False,False
83,115,0x73,zipCloseFileInZip,,unknown,,,,,False,False,False,False,False,False,False
87,116,0x74,zipCloseFileInZipRaw,,unknown,,,,,False,False,False,False,False,False,False
136,117,0x75,zipCloseFileInZipRaw64,,unknown,,,,,False,False,False,False,False,False,False
80,118,0x76,zipOpen,,unknown,,,,,False,False,False,False,False,False,False
88,119,0x77,zipOpen2,,unknown,,,,,False,False,False,False,False,False,False
131,120,0x78,zipOpen2_64,,unknown,,,,,False,False,False,False,False,False,False
130,121,0x79,zipOpen64,,unknown,,,,,False,False,False,False,False,False,False
